"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDR205_03035_SEQ_00<tab>Nero seems unusually anxious to move things along.","TEXT_STMBDR205_03035_SEQ_00<tab>Nero n'a pas l'air dans son assiette.","","False","0x00000000","",""
"","TEXT_STMBDR205_03035_SEQ_01<tab>Together, Nero and Cid present a profile of your final opponent in the Sigmascape─a magic-using jester by the name of “Kefka.” According to their research, the mage is wont to confound his opponents with subtle feints. Accordingly, Nero has adjusted his monitor to give him an unusually clear view of the battle, and will attempt to warn you of impending deceptions. Speak with Alpha to put Nero's strategy to the test.

※In the event that you leave the Interdimensional Rift, you may re-enter by speaking with the Ironworks hand at the Yawn.","TEXT_STMBDR205_03035_SEQ_01<tab>Cid et Nero vous ont appris ce qu'ils savaient à propos du dernier sujet de test du Sigmastice, un clown psychopathe nommé Kefka. Puisque son attitude semble im<var 16 /var>pré<var 16 /var>vi<var 16 /var>si<var 16 /var>ble, Nero a mis au point un appareil qui devrait vous permettre d'y voir plus clair dans son jeu machiavélique. Adressez-vous à Alpha pour obtenir l'au<var 16 /var>to<var 16 /var>ri<var 16 /var>sa<var 16 /var>tion d'entrer une dernière fois dans le monde de test.
* Si vous êtes <var 08 E905 ((sortie)) ((sorti)) /var> de la fissure interdimensionnelle, parlez à l'employé des Forges qui se trouve au Bâillement pour revenir à l'intérieur.","","False","0x00000001","",""
"","TEXT_STMBDR205_03035_SEQ_02<tab>Alpha stands ready to enter the Sigmascape with you. Keep your eyes open and your mind sharp, for it is time to do battle with the illusive Kefka!

※Sigmascape V4.0 can be accessed via the Duty Finder.","TEXT_STMBDR205_03035_SEQ_02<tab>Alpha a partagé avec vous son au<var 16 /var>to<var 16 /var>ri<var 16 /var>sa<var 16 /var>tion de pénétrer dans le prochain secteur du monde de test. Il ne vous reste plus qu'à entrer dans le Sigmastice v4.0 pour affronter un autre candidat du test d'Oméga<var 1D /var>!
* Vous pouvez utiliser l'outil de mission afin de trouver des équipiers pour relever ce défi.","","False","0x00000002","",""
"","TEXT_STMBDR205_03035_SEQ_03<tab>You have defeated Kefka, a victory which should signal the end of your struggles within the Sigmascape. It is time to leave and return to the Fringes.","TEXT_STMBDR205_03035_SEQ_03<tab>Après un combat haut en re<var 16 /var>bon<var 16 /var>dis<var 16 /var>se<var 16 /var>ments et empreint de folie, vous êtes finalement <var 08 E905 ((venue)) ((venu)) /var> à bout de Kefka. Cette victoire marque la fin de vos tests dans le Sigmastice. Retournez dans Les Marges de Gyr Abania.","","False","0x00000003","",""
"","TEXT_STMBDR205_03035_SEQ_04<tab>After descending to congratulate you on your triumph, Omega proceeds to deliver its theory on the secret of your inexplicable combat potential. You are, it contends, subconsciously restricting your own performance save when placed in mortal danger. As such, unlocking your “true” capabilities should logically be a matter of threatening you with death... Before you know what is happening, you find yourself trapped in a prism of energy, with scant moments to live. But just when all seems lost, Midgardsormr uses the last of his strength to assume his original form, and intervenes to rescue you from an untimely end. The Father of Dragons then fades into slumber, satisfied that his guidance is no longer required... You are still reeling from your ordeal when Cid arrives, yelling about Nero. But at the sight of you, he bites his tongue, and bids you make a swift exit to the lip of the Yawn.","TEXT_STMBDR205_03035_SEQ_04<tab>La joie de votre victoire fut de courte durée, puisque Nero s'est écroulé, victime d'une précédente attaque d'Oméga. L'arme autonome s'en est ensuite pris à vous, mais après les tentatives d'Alpha, et l'in<var 16 /var>ter<var 16 /var>ven<var 16 /var>tion autoritaire de Midgardsormr, vous vous en êtes finalement <var 08 E905 ((sortie)) ((sorti)) /var> indemne. Cid s'est ensuite précipité à l'extérieur pour porter les premiers secours à Nero. Rendez-vous à votre tour au Bâillement et parlez à l'employé des Forges de Garlond qui s'y trouve.","","False","0x00000004","",""
"","TEXT_STMBDR205_03035_SEQ_05<tab>You return to the outside world to learn that Nero has been transported to Rhalgr's Reach having collapsed. Make your own way back to the settlement, and call on the waiting Jessie.","TEXT_STMBDR205_03035_SEQ_05<tab>L'employé des Forges de Garlond vous a appris que Cid était finalement rentré à L'Étendue de Rhalgr pour que Nero soit soigné le plus vite possible. Emboîtez-leur le pas pour retrouver Jessie et lui raconter tout ce qui s'est passé.","","False","0x00000005","",""
"","TEXT_STMBDR205_03035_SEQ_06<tab>As you are speaking with Jessie, a weary Cid approaches bearing the news that Nero will be incapacitated for some time. Even as exhaustion and injury begin to take their toll on your companions, it is plain that Omega's trials will only become more dangerous. You have little choice therefore but to take Cid's exhortations to heart, and temper body and mind to withstand whatever monstrous opponents Omega has in store for you next.","TEXT_STMBDR205_03035_SEQ_06<tab>Alors que vous racontiez en détail le dernier épisode de vos aventures dans la fissure interdimensionnelle à Jessie, Cid est venu vous retrouver. L'ingénieur en chef des Forges de Garlond vous a confirmé que les blessures de Nero étaient graves et qu'il allait avoir besoin de temps pour guérir com<var 16 /var>plè<var 16 /var>te<var 16 /var>ment. Puisque sa par<var 16 /var>ti<var 16 /var>ci<var 16 /var>pa<var 16 /var>tion aux prochains tests d'Oméga semble compromise, Jessie a généreusement proposé de le remplacer au pied levé. Une seule chose est sûre, l'arme autonome n'en a pas fini avec vous, et c'est uniquement en vous serrant les coudes que vous aurez une chance de réussir son prochain défi.","","False","0x00000006","",""
"","TEXT_STMBDR205_03035_SEQ_07<tab>","TEXT_STMBDR205_03035_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_STMBDR205_03035_SEQ_08<tab>","TEXT_STMBDR205_03035_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_STMBDR205_03035_SEQ_09<tab>","TEXT_STMBDR205_03035_SEQ_09<tab>","","False","0x00000009","",""
