"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANNAM507_03121_SEQ_00<tab>Seigetsu the Enlightened would enlist your talent for enlisting others.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANNAM507_03121_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête avec limitation de job ou de classe<var 49 01 /var><var 48 01 /var><br><var 1A 02 /var>* Il n'est possible de progresser dans cette quête qu'avec la classe qui a servi à la commencer.<var 1A 01 /var><br><br>Seigetsu manque de bénévoles.","","False","0x00000000","",""
"","TEXT_BANNAM507_03121_SEQ_01<tab>","TEXT_BANNAM507_03121_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_BANNAM507_03121_SEQ_02<tab>","TEXT_BANNAM507_03121_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_BANNAM507_03121_SEQ_03<tab>","TEXT_BANNAM507_03121_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_BANNAM507_03121_SEQ_04<tab>","TEXT_BANNAM507_03121_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANNAM507_03121_SEQ_05<tab>","TEXT_BANNAM507_03121_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANNAM507_03121_SEQ_06<tab>","TEXT_BANNAM507_03121_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANNAM507_03121_SEQ_07<tab>","TEXT_BANNAM507_03121_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANNAM507_03121_SEQ_08<tab>","TEXT_BANNAM507_03121_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANNAM507_03121_SEQ_09<tab>","TEXT_BANNAM507_03121_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANNAM507_03121_SEQ_10<tab>","TEXT_BANNAM507_03121_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANNAM507_03121_SEQ_11<tab>","TEXT_BANNAM507_03121_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANNAM507_03121_SEQ_12<tab>","TEXT_BANNAM507_03121_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANNAM507_03121_SEQ_13<tab>","TEXT_BANNAM507_03121_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANNAM507_03121_SEQ_14<tab>","TEXT_BANNAM507_03121_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANNAM507_03121_SEQ_15<tab>","TEXT_BANNAM507_03121_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANNAM507_03121_SEQ_16<tab>","TEXT_BANNAM507_03121_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANNAM507_03121_SEQ_17<tab>","TEXT_BANNAM507_03121_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANNAM507_03121_SEQ_18<tab>","TEXT_BANNAM507_03121_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANNAM507_03121_SEQ_19<tab>","TEXT_BANNAM507_03121_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANNAM507_03121_SEQ_20<tab>","TEXT_BANNAM507_03121_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANNAM507_03121_SEQ_21<tab>","TEXT_BANNAM507_03121_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANNAM507_03121_SEQ_22<tab>","TEXT_BANNAM507_03121_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANNAM507_03121_SEQ_23<tab>","TEXT_BANNAM507_03121_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_BANNAM507_03121_TODO_00<tab>Speak with Gyotaku.","TEXT_BANNAM507_03121_TODO_00<tab>Parler à Gyotaku","","False","0x00000018","",""
"","TEXT_BANNAM507_03121_TODO_01<tab>Ride a mikoshi to the edges of Nhaama's Retreat and use the Wasshoi ability for the Namazu gatherers.","TEXT_BANNAM507_03121_TODO_01<tab>Monter sur le mikoshi et utiliser “Oh hisse<var 1D /var>!” à l'endroit indiqué","","False","0x00000019","",""
"","TEXT_BANNAM507_03121_TODO_02<tab>Report to Seigetsu the Enlightened.","TEXT_BANNAM507_03121_TODO_02<tab>Faire un rapport à Seigetsu","","False","0x0000001A","",""
"","TEXT_BANNAM507_03121_TODO_03<tab>","TEXT_BANNAM507_03121_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_BANNAM507_03121_TODO_04<tab>","TEXT_BANNAM507_03121_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_BANNAM507_03121_TODO_05<tab>","TEXT_BANNAM507_03121_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_BANNAM507_03121_TODO_06<tab>","TEXT_BANNAM507_03121_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_BANNAM507_03121_TODO_07<tab>","TEXT_BANNAM507_03121_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_BANNAM507_03121_TODO_08<tab>","TEXT_BANNAM507_03121_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_BANNAM507_03121_TODO_09<tab>","TEXT_BANNAM507_03121_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_BANNAM507_03121_TODO_10<tab>","TEXT_BANNAM507_03121_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_BANNAM507_03121_TODO_11<tab>","TEXT_BANNAM507_03121_TODO_11<tab>","","False","0x00000023","",""
