"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESHLW501_03169_SEQ_00<tab>The Adventurers' Guild investigator is eyeing the troupe currently occupying Mih Khetto's Amphitheatre with suspicion.<br>※This quest is available for a limited time only.","TEXT_FESHLW501_03169_SEQ_00<tab>※本クエストは、期間限定のクエストとなります。<br><br>グリダニアの冒険者ギルドの調査員は、冒険者に相談したいことがあるようだ。","","False","0x00000000","",""
"","TEXT_FESHLW501_03169_SEQ_01<tab>The Adventurers' Guild investigator speaks to you of unsettling rumors regarding the Continental Circus's All Saints' Wake masquerade. He's heard tell of revelers going missing from the manor in which the gala is held, and given the Impresario's history of mischief─and more─thinks it prudent to further investigate these claims. For reasons related to the investigator's own lack of subtlety, it falls to you to speak with the Impresario and attempt to divine whether his intentions are malicious.<br><br>※Please note that you will not be able to complete this quest after the seasonal event has ended. For details, check the Lodestone.","TEXT_FESHLW501_03169_SEQ_01<tab>※本クエストは、シーズナルイベント開催中にかぎり、<br>　受注、進行できます。<br>　開催期間終了後は進行できませんので、ご注意ください。<br>　期間等の詳細についてはLodestoneをご覧ください。<br><br>冒険者ギルドの調査員から、コンチネンタル・サーカスが主催している仮装パーティーの会場で、行方不明者が出ていると相談を受けた。彼は、コンチネンタル・サーカスの関与を疑っているようだ。真相を探るため、ミィ・ケット野外音楽堂にいる「ダンチョー」と話そう。","","False","0x00000001","",""
"","TEXT_FESHLW501_03169_SEQ_02<tab>You approach the Impresario, and in the course of your conversation cannot help but notice that he is indeed plotting something sinister in order to revive the legendary Night of Devilry, though you know not what. He also appears to be concerned that someone is watching him─though not concerned enough to cease uttering his thoughts aloud, it seems. When he at last stops talking, you hear another voice, no more than a whisper, from somewhere behind you.","TEXT_FESHLW501_03169_SEQ_02<tab>ダンチョーと話した。やはり何かを企んでいるようだ。冒険者が戻ろうとしたところ、ダンチョーが周囲を気にしていることに気付いた。そこへ、どこからともなく謎の声がきこえた。ミィ・ケット野外音楽堂付近の「<var 28 ((EObj)) F61EAA2D01 /var>」で、辺りを見渡してみよう。","","False","0x00000002","",""
"","TEXT_FESHLW501_03169_SEQ_03<tab>Your search for the source of the mysterious voice leads you to the gates of the amphitheatre, where you once again hear its haunting words. It beckons to you in a way rather too overtly ghostly to be believable, but it's best to let it carry on while you seek its owner.","TEXT_FESHLW501_03169_SEQ_03<tab>辺りを見渡した。周囲には怪しい人影はないが、またしても謎の声がきこえた。どうやら、冒険者を呼んでいるようだ。口笛粉屋付近の「<var 28 ((EObj)) F61EAA1F01 /var>」で、更に辺りを見渡してみよう。","","False","0x00000003","",""
"","TEXT_FESHLW501_03169_SEQ_04<tab>To your surprise, the source of the voice belongs to the more chipper one of two ghost-shaped All Saints' Wake decorations, which you later learn have been magicked to life. The sort-of ghosts reveal that they are privy to the Impresario's plan─to turn party guests into pumpkins, thereby generating sufficient terror to bring about the Night of Devilry─and have also witnessed a young girl being kidnapped from the masquerade by a member of the troupe for this purpose.","TEXT_FESHLW501_03169_SEQ_04<tab>再び周囲を見渡すと、2体のゴースト人形が現れた。彼らは、特別な力によって、言葉を話したり動いたりすることができるようになった人形のようだ。ゴースト人形たちによると、コンチネンタル・サーカスは、仮装パーティーの参加者をカボチャの姿に変身させ、「恐怖の力」を集めようと計画しているらしい。ゴースト人形たちから得た情報を、ミィ・ケット野外音楽堂付近にいる「冒険者ギルドの調査員」に報告しよう。","","False","0x00000004","",""
"","TEXT_FESHLW501_03169_SEQ_05<tab>Upon hearing the tale of the kidnapped girl, the investigator immediately connects it with a report made to the Wood Wailers, and concludes that the child must be a missing girl, T'maritaa. You must work fast if you are to save her from the Impresario's clutches before she comes to harm, so the investigator encourages you to infiltrate the masquerade while he prepares a more robust rescue unit.","TEXT_FESHLW501_03169_SEQ_05<tab>冒険者ギルドの調査員に報告した。仮装パーティーで行方不明となっているのは、チャ・マリターという名の女の子ということだ。ミィ・ケット野外音楽堂にいる「仮装パーティーの招待係」と話し、仮装パーティーの参加者として廃屋敷に潜入し調査しよう。","","False","0x00000005","",""
"","TEXT_FESHLW501_03169_SEQ_06<tab>You successfully pose as a party guest to enter the manor, which is remarkably thoroughly decorated for the venue of a mere ruse. Somewhere, T'maritaa is presumably being held, and where your unlikely co-conspirators await.","TEXT_FESHLW501_03169_SEQ_06<tab>仮装パーティーの招待係と話し、廃屋敷に移動した。まずは、廃屋敷の「陰気なゴースト人形」たちと合流しよう。","","False","0x00000006","",""
"","TEXT_FESHLW501_03169_SEQ_07<tab>Wading through the sea of jack-o'-lanterns and other garish decorations, you seek out the two non-ghosts whose acquaintance you made in Old Gridania, Little Yin and Yang. They have a notion to change your appearance to that of a fell fiend─the sort of creature that the troupe's mummers are in truth─that you may more easily extract information regarding T'maritaa's whereabouts. Little Yin gives you some time to mentally prepare, and awaits your go-ahead.","TEXT_FESHLW501_03169_SEQ_07<tab>陰気なゴースト人形と話した。行方不明者たちの居場所を探るためには、道化師たちを油断させて手がかりとなる情報を引き出すことが、近道となりそうだ。引き続き、ゴースト人形たちと協力してコンチネンタル・サーカスの悪巧みを阻止しよう。","","False","0x00000007","",""
"","TEXT_FESHLW501_03169_SEQ_08<tab>","TEXT_FESHLW501_03169_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESHLW501_03169_SEQ_09<tab>","TEXT_FESHLW501_03169_SEQ_09<tab>","","False","0x00000009","",""
