"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDI301_03187_SEQ_00<tab>The worried look on Lina Mewrilah's face suggests she bears grave tidings. Or not.","TEXT_STMBDI301_03187_SEQ_00<tab>Lina Mewrilah wirkt ziemlich betrübt.","","False","0x00000000","",""
"","TEXT_STMBDI301_03187_SEQ_01<tab>Alma is unwell, but as to what ails her, none can say. Lina suggests you continue your conversation on the <var 1A 02 /var>Prima Vista<var 1A 01 /var>.","TEXT_STMBDI301_03187_SEQ_01<tab>Lina Mewrilah macht sich Sorgen, denn um Almas Gesundheitszustand ist es schlecht bestellt. Sie bittet dich, mit ihr die <var 1A 02 /var>Prima Vista<var 1A 01 /var> zu besuchen. Begib dich zur Theater<var 16 /var>werk<var 16 /var>statt.","","False","0x00000001","",""
"","TEXT_STMBDI301_03187_SEQ_02<tab>Jenomis is near a decision on where to next take his expedition, or at least so Lina believes.","TEXT_STMBDI301_03187_SEQ_02<tab>Auf der <var 1A 02 /var>Prima Vista<var 1A 01 /var> diskutieren Jenomis und Ramza gerade angeregt darüber, was sie als Nächstes untersuchen sollen.","","False","0x00000002","",""
"","TEXT_STMBDI301_03187_SEQ_03<tab>According to Jenomis's newest findings, the auracite are creations of an otherworldly being sealed beneath the Orbonne Monastery─an ancient sanctuary deep within the heart of a Dalmascan jungle. During the principal's speech, Cid appears to deliver Mikoto a device she requisitioned the chief engineer to build, then leaves without as much as a farewell.","TEXT_STMBDI301_03187_SEQ_03<tab>Jenomis und die anderen sind zu dem Schluss gekommen, dass ihre Wege zum Kloster von Orbonne führen, wo Cherub Ultima eingekerkert sein soll, ein Wesen, das angeblich die Auraciten geschaffen hat. Sprich mit Mikoto, die in der Theater<var 16 /var>werk<var 16 /var>statt ein neues Artefakt von Cid erhalten hat.","","False","0x00000003","",""
"","TEXT_STMBDI301_03187_SEQ_04<tab>The device conceived by Mikoto is, in fact, a means of protecting Alma from the aetherial influence of the Otius.","TEXT_STMBDI301_03187_SEQ_04<tab>Von Mikoto erfährst du, dass der Gegenstand, den Cid ihr gebaut hat, Alma vor dem Einfluss des Otius schützen soll. Sprich nun mit Bwagi, der am Luftschiff-Landeplatz von Kugane auf dich wartet.","","False","0x00000004","",""
"","TEXT_STMBDI301_03187_SEQ_05<tab>Former royal fusilier and sky pirate Bwagi invites you aboard his airship that he may take you to speak with a general for the resistance movement to which he and his companions now belong.","TEXT_STMBDI301_03187_SEQ_05<tab>Bwagi erwähnt eine Person, die dich gerne treffen möchte. Sprich ein weiteres Mal mit ihm, um dich von ihm mitnehmen zu lassen.","","False","0x00000005","",""
"","TEXT_STMBDI301_03187_SEQ_06<tab>General Fran of the Dalmascan resistance group, Lente's Tears, promises her assistance in locating the Orbonne Monastery in return for financial and military aid from both the Eorzean and Doman alliances, and the East Aldenard Trading Company.","TEXT_STMBDI301_03187_SEQ_06<tab>Bwagi bringt dich nach Rabanastre, wo du auf eine Viera namens Fran triffst, die Kommandantin der Widerstandsgruppe namens Lentes Träne. Sie erhofft sich Hilfe von der Eorzäischen Allianz, dem domanischen Königreich sowie der Ostaldenard-Handelsgesellschaft und bittet dich, als <var 08 E905 ((Vermittlerin)) ((Vermittler)) /var> für sie zu fungieren. Besprich dich mit Montblanc am Luftschiff-Landeplatz von Kugane.","","False","0x00000006","",""
"","TEXT_STMBDI301_03187_SEQ_07<tab>Montblanc appears both frightened and excited at the notion of aiding the Dalmascan resistance in their plight against the Garlean Empire; though, perhaps you should speak with Jenomis first before sharpening your blade.","TEXT_STMBDI301_03187_SEQ_07<tab>Montblanc stimmt der Gedanke, bei der Befreiung Dalmascas helfen zu können, ganz aufgeregt. Auf jeden Fall muss Jenomis von dieser neuen Wendung erfahren.","","False","0x00000007","",""
"","TEXT_STMBDI301_03187_SEQ_08<tab>","TEXT_STMBDI301_03187_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_STMBDI301_03187_SEQ_09<tab>","TEXT_STMBDI301_03187_SEQ_09<tab>","","False","0x00000009","",""
