"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKBC009_03218_SEQ_00<tab>Alka Zolka appears to be on the point of setting out somewhere.","TEXT_LUCKBC009_03218_SEQ_00<tab>Alka Zolka respire la motivation.","","False","0x00000000","",""
"","TEXT_LUCKBC009_03218_SEQ_01<tab>You speak with Alka Zolka, who is pleased to see you again. He invites you to join him at a training session in upper La Noscea, where he will be meeting Surito Carito─and you agree, as one can never know too many martial tactics.","TEXT_LUCKBC009_03218_SEQ_01<tab>Alka Zolka était sur le point de rendre visite à votre ami érudit de Nym, Surito Carito, et il vous a invité<var 08 E905 ((e)) (()) /var> à vous joindre à lui. Rendez-vous en Haute-Noscea sur la rive du lac d'Airain et parlez à Surito Carito.","","False","0x00000001","",""
"","TEXT_LUCKBC009_03218_SEQ_02<tab>You and Alka Zolka locate Surito Carito near the Wanderer's Palace, where you are shortly joined by Setoto. The plan to train in Nymian mariner stratagems is soon left by the wayside, however, once you relate your experiences in the First. The story of how Lamitt cured stoneblight, in particular, catches Surito Carito's attention, and he exclaims that he may have an idea by which the same principles might be applied in the curing of the Nymian plague. It would not do to neglect any possible avenues that may lead to such a cure, of course, so the remaining three of you readily sign on to test his theory.","TEXT_LUCKBC009_03218_SEQ_02<tab>Vous et Alka Zolka avez retrouvé Surito Carito, puis Setoto s'est jointe à votre groupe. Vous avez profité de cette occasion pour leur raconter vos aventures avec Giott, ce qui n'a pas manqué d'intriguer le tomberry savant. Surito Carito pense pouvoir mettre au point un remède à la lèpre du tomberry et a requis l'aide de chacun. Rendez-vous dans la Forêt du Sud au bocage de la Mue afin de vous procurer <var 33 ((EventItem)) 02F61E8E4D0202 /var>.","","False","0x00000002","",""
"","TEXT_LUCKBC009_03218_SEQ_03<tab>You travel to the South Shroud and obtain the root that Surito Carito assigned you to procure with little trouble. As your errand took you farthest from upper La Noscea, it would be reasonable to expect that the others will have completed their own portions of the preparation ere you return.","TEXT_LUCKBC009_03218_SEQ_03<tab>Vous avez obtenu <var 33 ((EventItem)) 03F61E8E4D0202 /var>. Retournez en Haute-Noscea et remettez-la à Surito Carito.","","False","0x00000003","",""
"","TEXT_LUCKBC009_03218_SEQ_04<tab>Alas, you are not the last to arrive back at the Wanderer's Palace─Alka Zolka, it transpires, was delayed by another run-in with a certain infamous goldsmith. Though all of the necessary materials are now assembled, there remains one more step to be taken: the testing of the experimental compound. Surito Carito hypothesizes that, in the unlikely event that he has miscalculated, consuming the concoction could result in an irreversible transformation into a mindless monster. Given the severity of the danger, he volunteers himself as test subject; however, Setoto points out that without him, the rest of the tonberries have little hope of finding a cure. She suggests that the compound be tested on her instead, but Alka Zolka is entirely unwilling to entertain the idea. Both become increasingly agitated, Setoto at last stalking off to spend time alone with her thoughts.","TEXT_LUCKBC009_03218_SEQ_04<tab>Surito Carito était prêt à servir de cobaye afin de tester son nouveau traitement, mais à la surprise de tous, Setoto s'est proposée pour remplir ce rôle. Alka Zolka a objecté, et les deux amoureux ont eu leur première dispute. Surito Carito leur a conseillé de se calmer et d'y réfléchir pendant que lui s'occupe de la synthèse du remède. Parlez à Alka Zolka.","","False","0x00000004","",""
"","TEXT_LUCKBC009_03218_SEQ_05<tab>You speak with Alka Zolka, who seems genuinely not to understand why Setoto does not appreciate his objections to her plan. After sending him off to cool his head, Surito Carito privately shares with you that he is concerned that Setoto's willingness to volunteer herself as test subject stems more from her love for Alka Zolka and desire to be a normal girl than it does from the logic she presented. He begs you seek her out and determine whether she has truly thought her choice through.","TEXT_LUCKBC009_03218_SEQ_05<tab>Surito Carito a envoyé Alka Zolka se changer les idées et vous a demandé d'interroger Setoto quant à ses motivations pour servir de cobaye. Il craint en effet que ces dernières ne soient pas suffisantes pour risquer la mort en testant un dangereux traitement. Allez dans la Noscea extérieure et parlez à Setoto.","","False","0x00000005","",""
"","TEXT_LUCKBC009_03218_SEQ_06<tab>When you confront Setoto, she admits to being in love with Alka Zolka, but maintains that this is not her primary reason for putting herself forth to test the cure. Rather, her experiences have imparted a keen awareness of the suffering that the tonberries are ever plagued by, and she is determined to help her countrymen─something that she is uniquely physiologically suited to do, as one of the youngest and last to have been afflicted with the disease.","TEXT_LUCKBC009_03218_SEQ_06<tab>Setoto vous a expliqué avoir pris sa décision, d'une part par amour pour Alka Zolka, mais aussi et surtout car c'est avec elle que l'expérience a le plus de chances de réussite. Retournez voir Surito Carito en Haute-Noscea.","","False","0x00000006","",""
"","TEXT_LUCKBC009_03218_SEQ_07<tab>Back at the Wanderer's Palace, Setoto reiterates her commitment to undergoing the experiment. This time, Surito Carito is convinced by her logic, and Alka Zolka by her heartfelt words. Thus, the test begins, Setoto drinking the concoction to destabilize her own aether, Alka Zolka holding the Amdapori focus aloft, and you and your faerie channeling as much restorative aether as you can manage together. Though the experience appears to be excruciating, Setoto bears the pain, and in the end stands before you a Lalafell, with nary a trace of green to be seen.","TEXT_LUCKBC009_03218_SEQ_07<tab>Setoto a exposé ses arguments pour servir de cobaye et est parvenue à convaincre Alka Zolka ainsi que Surito Carito. Vous quatre avez ensuite procédé au traitement qui a été couronné de succès. Setoto a repris forme humaine<var 1D /var>! Parlez à Alka Zolka.","","False","0x00000007","",""
"","TEXT_LUCKBC009_03218_SEQ_08<tab>You speak with Alka Zolka, who is delighted that the cure was successful. He rambles about how admirable Surito Carito, you, and especially Setoto are before rushing off to continue his training, apparently seized with inspiration.","TEXT_LUCKBC009_03218_SEQ_08<tab>Alka Zolka a exulté de voir Setoto guérie de la lèpre du tomberry. Impressionné par le courage de sa bien-aimée et par votre maîtrise de la magie, il s'est mis en tête de reprendre aussitôt son en<var 16 /var>traî<var 16 /var>ne<var 16 /var>ment afin de ne pas démériter aux yeux de ses idoles d'antan. Parlez à Setoto.","","False","0x00000008","",""
"","TEXT_LUCKBC009_03218_SEQ_09<tab>Setoto comments on Alka Zolka's abrupt departure with fondness, and affirms to you that she will find a way to convey her feelings to him someday, though she is in no hurry to do so. At last, she has a real future ahead of her─with ample time to live, to love, and to pursue her dreams of becoming a scholar.","TEXT_LUCKBC009_03218_SEQ_09<tab>Setoto, qui s'attendait sans doute à une effusion de sentiment plus prononcée de la part d'Alka Zolka, a maintenant l'intention de reprendre son ap<var 16 /var>pren<var 16 /var>tis<var 16 /var>sage d'érudite militaire afin de venir en aide aux autres tomberrys. Elle vous a quitté pour rejoindre celui qu'elle aime et, par la même occasion, poursuivre son en<var 16 /var>traî<var 16 /var>ne<var 16 /var>ment. Parlez à Surito Carito.","","False","0x00000009","",""
"","TEXT_LUCKBC009_03218_SEQ_10<tab>Surito Carito, too, is pleased with the experiment's success. He vows to continue his research, and is confident that, in due course, he will be able to cure many more victims of the Nymian plague with the same methods tested on Setoto. Perhaps on some morn not far in the future, the sun will rise to see all tonberries restored to their former selves...","TEXT_LUCKBC009_03218_SEQ_10<tab>Surito Carito gardera un œil sur Setoto pour s'assurer qu'aucun effet indésirable n'apparaisse. Il reste néanmoins certain qu'un jour les autres malades pourront être soignés, et il vous a quitté<var 08 E905 ((e)) (()) /var> afin de poursuivre encore et toujours ses recherches.","","False","0x0000000A","",""
"","TEXT_LUCKBC009_03218_SEQ_11<tab>","TEXT_LUCKBC009_03218_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKBC009_03218_SEQ_12<tab>","TEXT_LUCKBC009_03218_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKBC009_03218_SEQ_13<tab>","TEXT_LUCKBC009_03218_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKBC009_03218_SEQ_14<tab>","TEXT_LUCKBC009_03218_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKBC009_03218_SEQ_15<tab>","TEXT_LUCKBC009_03218_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKBC009_03218_SEQ_16<tab>","TEXT_LUCKBC009_03218_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKBC009_03218_SEQ_17<tab>","TEXT_LUCKBC009_03218_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKBC009_03218_SEQ_18<tab>","TEXT_LUCKBC009_03218_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKBC009_03218_SEQ_19<tab>","TEXT_LUCKBC009_03218_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKBC009_03218_SEQ_20<tab>","TEXT_LUCKBC009_03218_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKBC009_03218_SEQ_21<tab>","TEXT_LUCKBC009_03218_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKBC009_03218_SEQ_22<tab>","TEXT_LUCKBC009_03218_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKBC009_03218_SEQ_23<tab>","TEXT_LUCKBC009_03218_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKBC009_03218_TODO_00<tab>Speak with Surito Carito outside of the Wanderer's Palace.","TEXT_LUCKBC009_03218_TODO_00<tab>Parler à Surito Carito, en Haute-Noscea ","","False","0x00000018","",""
"","TEXT_LUCKBC009_03218_TODO_01<tab>Survey the designated location and slay a verdant treant for its root.","TEXT_LUCKBC009_03218_TODO_01<tab>Obtenir <var 33 ((EventItem)) 02F61E8E4D0202 /var> sur un tréant à l'endroit indiqué dans la Forêt du Sud","","False","0x00000019","",""
"","TEXT_LUCKBC009_03218_TODO_02<tab>Deliver the revival root to Surito Carito at the Wanderer's Palace.","TEXT_LUCKBC009_03218_TODO_02<tab>Donner <var 33 ((EventItem)) 03F61E8E4D0202 /var> à Surito Carito, en Haute-Noscea ","","False","0x0000001A","",""
"","TEXT_LUCKBC009_03218_TODO_03<tab>Speak with Alka Zolka.","TEXT_LUCKBC009_03218_TODO_03<tab>Parler à Alka Zolka","","False","0x0000001B","",""
"","TEXT_LUCKBC009_03218_TODO_04<tab>Speak with Setoto on the Long Climb.","TEXT_LUCKBC009_03218_TODO_04<tab>Parler à Setoto, dans la Noscea extérieure","","False","0x0000001C","",""
"","TEXT_LUCKBC009_03218_TODO_05<tab>Speak with Surito Carito at the Wanderer's Palace.","TEXT_LUCKBC009_03218_TODO_05<tab>Parler à Surito Carito, en Haute-Noscea ","","False","0x0000001D","",""
"","TEXT_LUCKBC009_03218_TODO_06<tab>Speak with Alka Zolka.","TEXT_LUCKBC009_03218_TODO_06<tab>Parler à Alka Zolka","","False","0x0000001E","",""
"","TEXT_LUCKBC009_03218_TODO_07<tab>Speak with Setoto.","TEXT_LUCKBC009_03218_TODO_07<tab>Parler à Setoto","","False","0x0000001F","",""
"","TEXT_LUCKBC009_03218_TODO_08<tab>Speak with Surito Carito.","TEXT_LUCKBC009_03218_TODO_08<tab>Parler à Surito Carito","","False","0x00000020","",""
"","TEXT_LUCKBC009_03218_TODO_09<tab>","TEXT_LUCKBC009_03218_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKBC009_03218_TODO_10<tab>","TEXT_LUCKBC009_03218_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_LUCKBC009_03218_TODO_11<tab>","TEXT_LUCKBC009_03218_TODO_11<tab>","","False","0x00000023","",""
