"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBCTS825_03200_SEQ_00<tab>The news hawker is displaying a worrying degree of interest in you.","TEXT_SUBCTS825_03200_SEQ_00<tab>転魂塔広場のかわら版売りは、冒険者に訊きたいことがあるようだ。","","False","0x00000000","",""
"","TEXT_SUBCTS825_03200_SEQ_01<tab>As you pass through Kugane, you are called over by a news hawker. Rather than attempting to sell you a local publication as one might expect, he instead asks if you are aware of someone known as the Kamuy Whisperer. Being familiar with several such mystical hounds, you have the sneaking suspicion that he is referring to you. He suggests that you visit his crimson-garbed employer in Namai, claiming only that it will be “worth your while.”","TEXT_SUBCTS825_03200_SEQ_01<tab>かわら版売りから、赤い着物の侍と会うように依頼された。ヤンサのナマイ村で、冒険者を待つ人物と話そう。","","False","0x00000001","",""
"","TEXT_SUBCTS825_03200_SEQ_02<tab>Shortly after arriving in Namai, you locate the news hawker's mysterious client, the wandering minstrel. Having wandered even further than usual, he wastes little time in revealing the reason for his visit. He wishes for you, as the Kamuy Whisperer, to call forth the fabled Kamuy of the Nine Tails, the most divine even among their mystical kind. The auspice is said to be centuries old, yet has led a life of solitude, the pain of living on while loved ones pass away being too much to bear. However, the creature yet searches for a companion it can consider its equal, and the itinerant bard believes that you have the necessary credentials. He hands you a magical fife and requests that you play it in a specific location in hopes that the legendary beast will heed your call.","TEXT_SUBCTS825_03200_SEQ_02<tab>冒険者を待っていたのは、異邦の詩人だった。彼によると、神々に祝福されし聖狗を従えた冒険者ならば、伝説の瑞獣「九尾」に相棒と認められるだろうという。ヤンサの玄水連山付近にある「<var 28 ((EObj)) F61EAA3F01 /var>」にて、「<var 28 ((EventItem)) F61E8E4001 /var>」を吹き鳴らそう。","","False","0x00000002","",""
"","TEXT_SUBCTS825_03200_SEQ_03<tab>Upon playing the fife, the Kamuy of the Nine Tails descends from the heavens. As formidable as its assembled kin may be, their powers pale in comparison to the might of the ferocious beast that has answered your summons. Yet for all its strength, you sense a gentle spirit, and it soon becomes clear that you are in no danger. The minstrel, coming to the same conclusion, steps forward for a closer look and conjures a heartfelt tanka to mark this fateful encounter. Finally, he says his farewells, wishing you luck in your adventures with the Kamuy of the Nine Tails.","TEXT_SUBCTS825_03200_SEQ_03<tab>「<var 28 ((EventItem)) F61E8E4001 /var>」を吹き鳴らしたところ、九尾が現れた。九尾は、冒険者を相棒と認め、旅路をともにしてくれるようだ。再び魔笛を吹き鳴らし、永久なる友愛を求め舞い降りた九尾のカムイとともに、紅蓮の解放者として魔を祓い、新たな英雄譚を創りあげていこう。","","False","0x00000003","",""
"","TEXT_SUBCTS825_03200_SEQ_04<tab>","TEXT_SUBCTS825_03200_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_SUBCTS825_03200_SEQ_05<tab>","TEXT_SUBCTS825_03200_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_SUBCTS825_03200_SEQ_06<tab>","TEXT_SUBCTS825_03200_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_SUBCTS825_03200_SEQ_07<tab>","TEXT_SUBCTS825_03200_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBCTS825_03200_SEQ_08<tab>","TEXT_SUBCTS825_03200_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBCTS825_03200_SEQ_09<tab>","TEXT_SUBCTS825_03200_SEQ_09<tab>","","False","0x00000009","",""
