"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKMB120_03321_SEQ_00<tab>Thancred wishes to have a word with the hero of the hour.","TEXT_LUCKMB120_03321_SEQ_00<tab>Танкред хочет поговорить с <var 08 E905 ((героиней)) ((героем)) /var> дня.","","False","0x00000000","",""
"","TEXT_LUCKMB120_03321_SEQ_01<tab>","","","False","0x00000001","",""
"","TEXT_LUCKMB120_03321_SEQ_02<tab>","","","False","0x00000002","",""
"","TEXT_LUCKMB120_03321_SEQ_03<tab>","","","False","0x00000003","",""
"","TEXT_LUCKMB120_03321_SEQ_04<tab>","","","False","0x00000004","",""
"","TEXT_LUCKMB120_03321_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_LUCKMB120_03321_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_LUCKMB120_03321_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_LUCKMB120_03321_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_LUCKMB120_03321_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_LUCKMB120_03321_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_LUCKMB120_03321_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_LUCKMB120_03321_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_LUCKMB120_03321_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_LUCKMB120_03321_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_LUCKMB120_03321_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_LUCKMB120_03321_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_LUCKMB120_03321_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_LUCKMB120_03321_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_LUCKMB120_03321_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_LUCKMB120_03321_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_LUCKMB120_03321_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_LUCKMB120_03321_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_LUCKMB120_03321_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_LUCKMB120_03321_TODO_00<tab>Speak with Alisaie in the Crystarium.","TEXT_LUCKMB120_03321_TODO_00<tab>Поговорите с Ализе в Кристариуме.","","False","0x00000018","",""
"","TEXT_LUCKMB120_03321_TODO_01<tab>Speak with Alisaie.","TEXT_LUCKMB120_03321_TODO_01<tab>Поговорите с Ализе.","","False","0x00000019","",""
"","TEXT_LUCKMB120_03321_TODO_02<tab>Speak with the manager of suites in the Pendants.","TEXT_LUCKMB120_03321_TODO_02<tab>Поговорите с владельцем гостиницы «Кулон».","","False","0x0000001A","",""
