"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKZA026_03368_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>The bleary-eyed guard appears to be suffering from a lack of sleep.","TEXT_LUCKZA026_03368_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête<var 49 01 /var><var 48 01 /var><br>Ce garde aux traits fatigués semble avoir besoin d'aide.","","False","0x00000000","",""
"","TEXT_LUCKZA026_03368_SEQ_01<tab>","TEXT_LUCKZA026_03368_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKZA026_03368_SEQ_02<tab>","TEXT_LUCKZA026_03368_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKZA026_03368_SEQ_03<tab>","TEXT_LUCKZA026_03368_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKZA026_03368_SEQ_04<tab>","TEXT_LUCKZA026_03368_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKZA026_03368_SEQ_05<tab>","TEXT_LUCKZA026_03368_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKZA026_03368_SEQ_06<tab>","TEXT_LUCKZA026_03368_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKZA026_03368_SEQ_07<tab>","TEXT_LUCKZA026_03368_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKZA026_03368_SEQ_08<tab>","TEXT_LUCKZA026_03368_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKZA026_03368_SEQ_09<tab>","TEXT_LUCKZA026_03368_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKZA026_03368_SEQ_10<tab>","TEXT_LUCKZA026_03368_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKZA026_03368_SEQ_11<tab>","TEXT_LUCKZA026_03368_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKZA026_03368_SEQ_12<tab>","TEXT_LUCKZA026_03368_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKZA026_03368_SEQ_13<tab>","TEXT_LUCKZA026_03368_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKZA026_03368_SEQ_14<tab>","TEXT_LUCKZA026_03368_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKZA026_03368_SEQ_15<tab>","TEXT_LUCKZA026_03368_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKZA026_03368_SEQ_16<tab>","TEXT_LUCKZA026_03368_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKZA026_03368_SEQ_17<tab>","TEXT_LUCKZA026_03368_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKZA026_03368_SEQ_18<tab>","TEXT_LUCKZA026_03368_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKZA026_03368_SEQ_19<tab>","TEXT_LUCKZA026_03368_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKZA026_03368_SEQ_20<tab>","TEXT_LUCKZA026_03368_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKZA026_03368_SEQ_21<tab>","TEXT_LUCKZA026_03368_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKZA026_03368_SEQ_22<tab>","TEXT_LUCKZA026_03368_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKZA026_03368_SEQ_23<tab>","TEXT_LUCKZA026_03368_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKZA026_03368_TODO_00<tab>Speak with the bleary-eyed guard.","TEXT_LUCKZA026_03368_TODO_00<tab>Parler avec le garde aux traits fatigués","","False","0x00000018","",""
"","TEXT_LUCKZA026_03368_TODO_01<tab>Use the blowgun to shoot ghilman from the designated location.","TEXT_LUCKZA026_03368_TODO_01<tab>Terrasser les ghilmans à l'endroit indiqué","","False","0x00000019","",""
"","TEXT_LUCKZA026_03368_TODO_02<tab>Speak with the bleary-eyed guard.","TEXT_LUCKZA026_03368_TODO_02<tab>Aller retrouver le garde aux traits fatigués","","False","0x0000001A","",""
"","TEXT_LUCKZA026_03368_TODO_03<tab>","TEXT_LUCKZA026_03368_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_LUCKZA026_03368_TODO_04<tab>","TEXT_LUCKZA026_03368_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_LUCKZA026_03368_TODO_05<tab>","TEXT_LUCKZA026_03368_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_LUCKZA026_03368_TODO_06<tab>","TEXT_LUCKZA026_03368_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_LUCKZA026_03368_TODO_07<tab>","TEXT_LUCKZA026_03368_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_LUCKZA026_03368_TODO_08<tab>","TEXT_LUCKZA026_03368_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_LUCKZA026_03368_TODO_09<tab>","TEXT_LUCKZA026_03368_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKZA026_03368_TODO_10<tab>","TEXT_LUCKZA026_03368_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_LUCKZA026_03368_TODO_11<tab>","TEXT_LUCKZA026_03368_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_LUCKZA026_03368_TODO_12<tab>","TEXT_LUCKZA026_03368_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_LUCKZA026_03368_TODO_13<tab>","TEXT_LUCKZA026_03368_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_LUCKZA026_03368_TODO_14<tab>","TEXT_LUCKZA026_03368_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_LUCKZA026_03368_TODO_15<tab>","TEXT_LUCKZA026_03368_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_LUCKZA026_03368_TODO_16<tab>","TEXT_LUCKZA026_03368_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_LUCKZA026_03368_TODO_17<tab>","TEXT_LUCKZA026_03368_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_LUCKZA026_03368_TODO_18<tab>","TEXT_LUCKZA026_03368_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_LUCKZA026_03368_TODO_19<tab>","TEXT_LUCKZA026_03368_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_LUCKZA026_03368_TODO_20<tab>","TEXT_LUCKZA026_03368_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_LUCKZA026_03368_TODO_21<tab>","TEXT_LUCKZA026_03368_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_LUCKZA026_03368_TODO_22<tab>","TEXT_LUCKZA026_03368_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_LUCKZA026_03368_TODO_23<tab>","TEXT_LUCKZA026_03368_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_LUCKZA026_03368_GUARD03368_000_000<tab>You're one of Alisaie's friends, aren't you? I hear you lot have a knack for putting down troublesome beasts.","TEXT_LUCKZA026_03368_GUARD03368_000_000<tab>Bonjour, voyage<var 08 E905 ((use)) ((ur)) /var><var 1D /var>! Alisaie m'a parlé de vous<var 1D /var>! Elle m'a dit que vous étiez plutôt fiable, et j'ai justement besoin d'aide...","","False","0x00000030","",""
"","TEXT_LUCKZA026_03368_GUARD03368_000_001<tab>I'm not sure if that includes the supernatural, but walking corses known as ghilman have been running amok outside of the south entrance. They grab anyone who wanders too close, and drag them under the sand.","TEXT_LUCKZA026_03368_GUARD03368_000_001<tab>J'ai fait tomber la seule chose qui me restait de ma mère décédée pendant ma patrouille... Heu<var 16 /var>reu<var 16 /var>se<var 16 /var>ment, je sais à quel endroit il se trouve.","","False","0x00000031","",""
"","TEXT_LUCKZA026_03368_GUARD03368_000_002<tab>I almost fell victim to them myself, and I was lucky to escape. Thing is, I dropped my mother's pendant as I fled, and I'll do anything to get it back. She was a patient here, you see, and it's all I have to remember her by.","TEXT_LUCKZA026_03368_GUARD03368_000_002<tab>Le problème, c'est que cet endroit grouille de ghilmans. Vous le savez peut-être, mais ce sont des créatures ex<var 16 /var>trê<var 16 /var>me<var 16 /var>ment dangereuses...","","False","0x00000032","",""
