"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKZE016_03450_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Ersabel looks at you expectantly, which can mean only one thing.","TEXT_LUCKZE016_03450_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト<var 49 01 /var><var 48 01 /var><br>スリザーバウのエルサベルは、冒険者に急ぎの頼みがあるようだ。","","False","0x00000000","",""
"","TEXT_LUCKZE016_03450_SEQ_01<tab>","TEXT_LUCKZE016_03450_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKZE016_03450_SEQ_02<tab>","TEXT_LUCKZE016_03450_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKZE016_03450_SEQ_03<tab>","TEXT_LUCKZE016_03450_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKZE016_03450_SEQ_04<tab>","TEXT_LUCKZE016_03450_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKZE016_03450_SEQ_05<tab>","TEXT_LUCKZE016_03450_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKZE016_03450_SEQ_06<tab>","TEXT_LUCKZE016_03450_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKZE016_03450_SEQ_07<tab>","TEXT_LUCKZE016_03450_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKZE016_03450_SEQ_08<tab>","TEXT_LUCKZE016_03450_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKZE016_03450_SEQ_09<tab>","TEXT_LUCKZE016_03450_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKZE016_03450_SEQ_10<tab>","TEXT_LUCKZE016_03450_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKZE016_03450_SEQ_11<tab>","TEXT_LUCKZE016_03450_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKZE016_03450_SEQ_12<tab>","TEXT_LUCKZE016_03450_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKZE016_03450_SEQ_13<tab>","TEXT_LUCKZE016_03450_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKZE016_03450_SEQ_14<tab>","TEXT_LUCKZE016_03450_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKZE016_03450_SEQ_15<tab>","TEXT_LUCKZE016_03450_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKZE016_03450_SEQ_16<tab>","TEXT_LUCKZE016_03450_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKZE016_03450_SEQ_17<tab>","TEXT_LUCKZE016_03450_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKZE016_03450_SEQ_18<tab>","TEXT_LUCKZE016_03450_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKZE016_03450_SEQ_19<tab>","TEXT_LUCKZE016_03450_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKZE016_03450_SEQ_20<tab>","TEXT_LUCKZE016_03450_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKZE016_03450_SEQ_21<tab>","TEXT_LUCKZE016_03450_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKZE016_03450_SEQ_22<tab>","TEXT_LUCKZE016_03450_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKZE016_03450_SEQ_23<tab>","TEXT_LUCKZE016_03450_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKZE016_03450_TODO_00<tab>Use the sickly sweet nectar at the designated location and slay the snapmint for its leaves.","TEXT_LUCKZE016_03450_TODO_00<tab><var 28 ((EObj)) F61EAAC801 /var>に<var 28 ((EventItem)) F61E8E5C01 /var>を使い、<br>現れた<var 28 ((BNpcName)) F2232001 /var>を討伐","","False","0x00000018","",""
"","TEXT_LUCKZE016_03450_TODO_01<tab>Deliver the snapmint leaves to Ersabel.","TEXT_LUCKZE016_03450_TODO_01<tab>エルサベルに<var 28 ((EventItem)) F61E8E5D01 /var>を渡す","","False","0x00000019","",""
"","TEXT_LUCKZE016_03450_TODO_02<tab>","TEXT_LUCKZE016_03450_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_LUCKZE016_03450_TODO_03<tab>","TEXT_LUCKZE016_03450_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_LUCKZE016_03450_TODO_04<tab>","TEXT_LUCKZE016_03450_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_LUCKZE016_03450_TODO_05<tab>","TEXT_LUCKZE016_03450_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_LUCKZE016_03450_TODO_06<tab>","TEXT_LUCKZE016_03450_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_LUCKZE016_03450_TODO_07<tab>","TEXT_LUCKZE016_03450_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_LUCKZE016_03450_TODO_08<tab>","TEXT_LUCKZE016_03450_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_LUCKZE016_03450_TODO_09<tab>","TEXT_LUCKZE016_03450_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKZE016_03450_TODO_10<tab>","TEXT_LUCKZE016_03450_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_LUCKZE016_03450_TODO_11<tab>","TEXT_LUCKZE016_03450_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_LUCKZE016_03450_TODO_12<tab>","TEXT_LUCKZE016_03450_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_LUCKZE016_03450_TODO_13<tab>","TEXT_LUCKZE016_03450_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_LUCKZE016_03450_TODO_14<tab>","TEXT_LUCKZE016_03450_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_LUCKZE016_03450_TODO_15<tab>","TEXT_LUCKZE016_03450_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_LUCKZE016_03450_TODO_16<tab>","TEXT_LUCKZE016_03450_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_LUCKZE016_03450_TODO_17<tab>","TEXT_LUCKZE016_03450_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_LUCKZE016_03450_TODO_18<tab>","TEXT_LUCKZE016_03450_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_LUCKZE016_03450_TODO_19<tab>","TEXT_LUCKZE016_03450_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_LUCKZE016_03450_TODO_20<tab>","TEXT_LUCKZE016_03450_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_LUCKZE016_03450_TODO_21<tab>","TEXT_LUCKZE016_03450_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_LUCKZE016_03450_TODO_22<tab>","TEXT_LUCKZE016_03450_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_LUCKZE016_03450_TODO_23<tab>","TEXT_LUCKZE016_03450_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_LUCKZE016_03450_ERSABEL_000_001<tab>Pardon me, <var 08 E905 ((miss)) ((sir)) /var>, but could I trouble you to help me with preparations for <var 08 E3E90C0D ((<var 08 E3E90C05 ((mealtime)) ((supper)) /var>)) ((<var 08 E3E90C12 ((supper)) ((mealtime)) /var>)) /var>?","TEXT_LUCKZE016_03450_ERSABEL_000_001<tab>炊事の時間が近いんだけれど、少し手を借りられないかい？<br>今日の献立の風味付けに欠かせないものを、<br>すっかり切らしていることに気が付いてね。","","False","0x00000030","",""
"","TEXT_LUCKZE016_03450_ERSABEL_000_002<tab>Thank you. I have need of a rather peculiar herb, but I fear I am ill-suited to gathering it myself.","TEXT_LUCKZE016_03450_ERSABEL_000_002<tab>ありがとう、助かるよ！<br>あたしが出向いて奮闘するより、<br>手練のあんたに頼むほうが、ずっと早いだろうからね。","","False","0x00000031","",""
"","TEXT_LUCKZE016_03450_ERSABEL_000_003<tab>It grows on snapmint, you see. Their camouflage makes them difficult to find, and even if I should, I would likely be devoured before I could pluck even a single leaf from their hides. ","TEXT_LUCKZE016_03450_ERSABEL_000_003<tab><var 28 ((BNpcName)) F2232001 /var>の胴体に生えている、<br>「<var 28 ((EventItem)) F61E8E5D01 /var>」が2枚必要なんだけれど、<br>擬態が上手くて、なかなか見つけ出せなくてね。","","False","0x00000032","",""
"","TEXT_LUCKZE016_03450_ERSABEL_000_004<tab>Take this nectar and sprinkle it about the fields to the north. When they come out of hiding, that will be your chance to strike.","TEXT_LUCKZE016_03450_ERSABEL_000_004<tab>北の朽ちた木のあたりで、この「<var 28 ((EventItem)) F61E8E5C01 /var>」を撒いておくれ。<br>同族に縄張りを荒らされたと勘違いして、<br>茂みから飛び出してくるはずさ。","","False","0x00000033","",""
"","TEXT_LUCKZE016_03450_ERSABEL_000_005<tab>Once they catch the scent of the nectar, they will be compelled to show themselves. That will be your chance to strike.","TEXT_LUCKZE016_03450_ERSABEL_000_005<tab>まず、北の朽ちた木のあたりで「<var 28 ((EventItem)) F61E8E5C01 /var>」を撒くんだよ。<br>そうして現れた魔物を倒して、「<var 28 ((EventItem)) F61E8E5D01 /var>」を2枚、<br>集めてきてほしいのさ、頼んだよ。","","False","0x00000034","",""
"","TEXT_LUCKZE016_03450_ERSABEL_000_020<tab>Were you able to find any snapmint?","TEXT_LUCKZE016_03450_ERSABEL_000_020<tab>やぁ、手間をかけたねぇ。<br>「<var 28 ((EventItem)) F61E8E5D01 /var>」は手に入れられたかい？","","False","0x00000035","",""
"","TEXT_LUCKZE016_03450_ERSABEL_000_021<tab>Goodness, these leaves are so large. Thank you.","TEXT_LUCKZE016_03450_ERSABEL_000_021<tab>おやまあ、立派な大きさだね！<br>ありがとう、早速使わせてもらうよ。","","False","0x00000036","",""
"","TEXT_LUCKZE016_03450_ERSABEL_000_022<tab>I could never hope to cook my prahok without this.","TEXT_LUCKZE016_03450_ERSABEL_000_022<tab>これは、スリザーバウで造られる発酵食品、<br>プラホックの調理に欠かせない品なのさ。","","False","0x00000037","",""
