"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKZE018_03452_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>This well-meaning mentor would ask for your help with unfinished business.","TEXT_LUCKZE018_03452_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête<var 49 01 /var><var 48 01 /var><br>Le jeune prêtre de Serpentige espère retrouver la trace de l'anémone...","","False","0x00000000","",""
"","TEXT_LUCKZE018_03452_SEQ_01<tab>","TEXT_LUCKZE018_03452_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKZE018_03452_SEQ_02<tab>","TEXT_LUCKZE018_03452_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKZE018_03452_SEQ_03<tab>","TEXT_LUCKZE018_03452_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKZE018_03452_SEQ_04<tab>","TEXT_LUCKZE018_03452_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKZE018_03452_SEQ_05<tab>","TEXT_LUCKZE018_03452_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKZE018_03452_SEQ_06<tab>","TEXT_LUCKZE018_03452_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKZE018_03452_SEQ_07<tab>","TEXT_LUCKZE018_03452_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKZE018_03452_SEQ_08<tab>","TEXT_LUCKZE018_03452_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKZE018_03452_SEQ_09<tab>","TEXT_LUCKZE018_03452_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKZE018_03452_SEQ_10<tab>","TEXT_LUCKZE018_03452_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKZE018_03452_SEQ_11<tab>","TEXT_LUCKZE018_03452_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKZE018_03452_SEQ_12<tab>","TEXT_LUCKZE018_03452_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKZE018_03452_SEQ_13<tab>","TEXT_LUCKZE018_03452_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKZE018_03452_SEQ_14<tab>","TEXT_LUCKZE018_03452_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKZE018_03452_SEQ_15<tab>","TEXT_LUCKZE018_03452_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKZE018_03452_SEQ_16<tab>","TEXT_LUCKZE018_03452_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKZE018_03452_SEQ_17<tab>","TEXT_LUCKZE018_03452_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKZE018_03452_SEQ_18<tab>","TEXT_LUCKZE018_03452_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKZE018_03452_SEQ_19<tab>","TEXT_LUCKZE018_03452_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKZE018_03452_SEQ_20<tab>","TEXT_LUCKZE018_03452_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKZE018_03452_SEQ_21<tab>","TEXT_LUCKZE018_03452_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKZE018_03452_SEQ_22<tab>","TEXT_LUCKZE018_03452_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKZE018_03452_SEQ_23<tab>","TEXT_LUCKZE018_03452_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKZE018_03452_TODO_00<tab>Survey the designated areas and slay the anemone should it appear.","TEXT_LUCKZE018_03452_TODO_00<tab>Inspecter les endroits indiqués au nord des marécages du Citia, vaincre <var 33 ((BNpcName)) 03F223220202 /var> et récupérer sa carcasse","","False","0x00000018","",""
"","TEXT_LUCKZE018_03452_TODO_01<tab>Deliver the anemone corpse to the well-meaning mentor.","TEXT_LUCKZE018_03452_TODO_01<tab>Apporter la carcasse de l'anémone au jeune prêtre à Serpentige","","False","0x00000019","",""
"","TEXT_LUCKZE018_03452_TODO_02<tab>","TEXT_LUCKZE018_03452_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_LUCKZE018_03452_TODO_03<tab>","TEXT_LUCKZE018_03452_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_LUCKZE018_03452_TODO_04<tab>","TEXT_LUCKZE018_03452_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_LUCKZE018_03452_TODO_05<tab>","TEXT_LUCKZE018_03452_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_LUCKZE018_03452_TODO_06<tab>","TEXT_LUCKZE018_03452_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_LUCKZE018_03452_TODO_07<tab>","TEXT_LUCKZE018_03452_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_LUCKZE018_03452_TODO_08<tab>","TEXT_LUCKZE018_03452_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_LUCKZE018_03452_TODO_09<tab>","TEXT_LUCKZE018_03452_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKZE018_03452_TODO_10<tab>","TEXT_LUCKZE018_03452_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_LUCKZE018_03452_TODO_11<tab>","TEXT_LUCKZE018_03452_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_LUCKZE018_03452_TODO_12<tab>","TEXT_LUCKZE018_03452_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_LUCKZE018_03452_TODO_13<tab>","TEXT_LUCKZE018_03452_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_LUCKZE018_03452_TODO_14<tab>","TEXT_LUCKZE018_03452_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_LUCKZE018_03452_TODO_15<tab>","TEXT_LUCKZE018_03452_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_LUCKZE018_03452_TODO_16<tab>","TEXT_LUCKZE018_03452_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_LUCKZE018_03452_TODO_17<tab>","TEXT_LUCKZE018_03452_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_LUCKZE018_03452_TODO_18<tab>","TEXT_LUCKZE018_03452_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_LUCKZE018_03452_TODO_19<tab>","TEXT_LUCKZE018_03452_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_LUCKZE018_03452_TODO_20<tab>","TEXT_LUCKZE018_03452_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_LUCKZE018_03452_TODO_21<tab>","TEXT_LUCKZE018_03452_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_LUCKZE018_03452_TODO_22<tab>","TEXT_LUCKZE018_03452_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_LUCKZE018_03452_TODO_23<tab>","TEXT_LUCKZE018_03452_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_LUCKZE018_03452_MENTOR03452_000_000<tab>Your travels have led you back to Slitherbough, I see. Your timing is fortuitous. Preparations for the anemone hunt are complete. If you are of a mind to join me, your aid would be most appreciated.","TEXT_LUCKZE018_03452_MENTOR03452_000_000<tab>Bien, cherchons maintenant l'anémone égarée. Cette créature a l'habitude de manger des plantes vénéneuses et des araignées venimeuses, alors elle est peut-être partie au sud-ouest de la cabane des clercs, où on en trouve en quantité.","","False","0x00000030","",""
