"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKZF012_03471_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>The light-hearted hunter is eager to see what you can do.","TEXT_LUCKZF012_03471_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Schwierigkeitsanpassung<var 49 01 /var><var 48 01 /var><br>Die heitere Viis möchte mit dir auf die Jagd gehen.","","False","0x00000000","",""
"","TEXT_LUCKZF012_03471_SEQ_01<tab>","TEXT_LUCKZF012_03471_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKZF012_03471_SEQ_02<tab>","TEXT_LUCKZF012_03471_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKZF012_03471_SEQ_03<tab>","TEXT_LUCKZF012_03471_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKZF012_03471_SEQ_04<tab>","TEXT_LUCKZF012_03471_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKZF012_03471_SEQ_05<tab>","TEXT_LUCKZF012_03471_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKZF012_03471_SEQ_06<tab>","TEXT_LUCKZF012_03471_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKZF012_03471_SEQ_07<tab>","TEXT_LUCKZF012_03471_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKZF012_03471_SEQ_08<tab>","TEXT_LUCKZF012_03471_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKZF012_03471_SEQ_09<tab>","TEXT_LUCKZF012_03471_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKZF012_03471_SEQ_10<tab>","TEXT_LUCKZF012_03471_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKZF012_03471_SEQ_11<tab>","TEXT_LUCKZF012_03471_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKZF012_03471_SEQ_12<tab>","TEXT_LUCKZF012_03471_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKZF012_03471_SEQ_13<tab>","TEXT_LUCKZF012_03471_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKZF012_03471_SEQ_14<tab>","TEXT_LUCKZF012_03471_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKZF012_03471_SEQ_15<tab>","TEXT_LUCKZF012_03471_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKZF012_03471_SEQ_16<tab>","TEXT_LUCKZF012_03471_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKZF012_03471_SEQ_17<tab>","TEXT_LUCKZF012_03471_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKZF012_03471_SEQ_18<tab>","TEXT_LUCKZF012_03471_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKZF012_03471_SEQ_19<tab>","TEXT_LUCKZF012_03471_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKZF012_03471_SEQ_20<tab>","TEXT_LUCKZF012_03471_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKZF012_03471_SEQ_21<tab>","TEXT_LUCKZF012_03471_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKZF012_03471_SEQ_22<tab>","TEXT_LUCKZF012_03471_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKZF012_03471_SEQ_23<tab>","TEXT_LUCKZF012_03471_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKZF012_03471_TODO_00<tab>Speak with the light-hearted hunter.","TEXT_LUCKZF012_03471_TODO_00<tab>Vor der Großen Pyramide von Ux'ner mit der heiteren Viis sprechen","","False","0x00000018","",""
"","TEXT_LUCKZF012_03471_TODO_01<tab>Use the leather sack on a weakened Greatwood rail.","TEXT_LUCKZF012_03471_TODO_01<tab><var 2B ((<var 32 ((BNpcName)) 06F22199020502 /var>)) /var> schwächen und mit <var 32 ((EventItem)) 03F61E8FC4020402 /var> fangen","","False","0x00000019","",""
"","TEXT_LUCKZF012_03471_TODO_02<tab>Deliver the bulging leather sack to the light-hearted hunter.","TEXT_LUCKZF012_03471_TODO_02<tab>Der heiteren Viis <var 32 ((EventItem)) 03F61E8FC5020502 /var> bringen","","False","0x0000001A","",""
"","TEXT_LUCKZF012_03471_TODO_03<tab>Speak with the light-hearted hunter.","TEXT_LUCKZF012_03471_TODO_03<tab>Der heiteren Viis zurüch nach Fanow folgen","","False","0x0000001B","",""
"","TEXT_LUCKZF012_03471_TODO_04<tab>","TEXT_LUCKZF012_03471_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_LUCKZF012_03471_TODO_05<tab>","TEXT_LUCKZF012_03471_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_LUCKZF012_03471_TODO_06<tab>","TEXT_LUCKZF012_03471_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_LUCKZF012_03471_TODO_07<tab>","TEXT_LUCKZF012_03471_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_LUCKZF012_03471_TODO_08<tab>","TEXT_LUCKZF012_03471_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_LUCKZF012_03471_TODO_09<tab>","TEXT_LUCKZF012_03471_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKZF012_03471_TODO_10<tab>","TEXT_LUCKZF012_03471_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_LUCKZF012_03471_TODO_11<tab>","TEXT_LUCKZF012_03471_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_LUCKZF012_03471_TODO_12<tab>","TEXT_LUCKZF012_03471_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_LUCKZF012_03471_TODO_13<tab>","TEXT_LUCKZF012_03471_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_LUCKZF012_03471_TODO_14<tab>","TEXT_LUCKZF012_03471_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_LUCKZF012_03471_TODO_15<tab>","TEXT_LUCKZF012_03471_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_LUCKZF012_03471_TODO_16<tab>","TEXT_LUCKZF012_03471_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_LUCKZF012_03471_TODO_17<tab>","TEXT_LUCKZF012_03471_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_LUCKZF012_03471_TODO_18<tab>","TEXT_LUCKZF012_03471_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_LUCKZF012_03471_TODO_19<tab>","TEXT_LUCKZF012_03471_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_LUCKZF012_03471_TODO_20<tab>","TEXT_LUCKZF012_03471_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_LUCKZF012_03471_TODO_21<tab>","TEXT_LUCKZF012_03471_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_LUCKZF012_03471_TODO_22<tab>","TEXT_LUCKZF012_03471_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_LUCKZF012_03471_TODO_23<tab>","TEXT_LUCKZF012_03471_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_LUCKZF012_03471_VIISHUNTER03471_000_000<tab>Well met, ally of Ronka. Did you hear? Almet's recently returned with an astounding catch.","TEXT_LUCKZF012_03471_VIISHUNTER03471_000_000<tab><var 08 E905 ((Verbündete)) ((Verbündeter)) /var> von Ronka, würdest du mir die große Ehre erweisen, mit mir auf die Jagd zu gehen?","","False","0x00000030","",""
"","TEXT_LUCKZF012_03471_VIISHUNTER03471_000_001<tab>She slew five Greatwood rails single-handedly. <var 1A 02 /var>Five<var 1A 01 /var>.","TEXT_LUCKZF012_03471_VIISHUNTER03471_000_001<tab>Almet hat mich damit beauftragt, Waldrallen zu fangen. Und zwar nicht nur eine, sondern gleich fünf! Daraus wird Leder für unsere Kleidung hergestellt. ","","False","0x00000031","",""
