"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKZI009_03545_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>The restless hunter is scanning the horizon.","TEXT_LUCKZI009_03545_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト<var 49 01 /var><var 48 01 /var><br>アミティーの狩人らしき女性は、誰かを探しているようだ。","","False","0x00000000","",""
"","TEXT_LUCKZI009_03545_SEQ_01<tab>","TEXT_LUCKZI009_03545_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKZI009_03545_SEQ_02<tab>","TEXT_LUCKZI009_03545_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKZI009_03545_SEQ_03<tab>","TEXT_LUCKZI009_03545_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKZI009_03545_SEQ_04<tab>","TEXT_LUCKZI009_03545_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKZI009_03545_SEQ_05<tab>","TEXT_LUCKZI009_03545_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKZI009_03545_SEQ_06<tab>","TEXT_LUCKZI009_03545_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKZI009_03545_SEQ_07<tab>","TEXT_LUCKZI009_03545_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKZI009_03545_SEQ_08<tab>","TEXT_LUCKZI009_03545_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKZI009_03545_SEQ_09<tab>","TEXT_LUCKZI009_03545_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKZI009_03545_SEQ_10<tab>","TEXT_LUCKZI009_03545_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKZI009_03545_SEQ_11<tab>","TEXT_LUCKZI009_03545_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKZI009_03545_SEQ_12<tab>","TEXT_LUCKZI009_03545_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKZI009_03545_SEQ_13<tab>","TEXT_LUCKZI009_03545_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKZI009_03545_SEQ_14<tab>","TEXT_LUCKZI009_03545_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKZI009_03545_SEQ_15<tab>","TEXT_LUCKZI009_03545_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKZI009_03545_SEQ_16<tab>","TEXT_LUCKZI009_03545_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKZI009_03545_SEQ_17<tab>","TEXT_LUCKZI009_03545_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKZI009_03545_SEQ_18<tab>","TEXT_LUCKZI009_03545_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKZI009_03545_SEQ_19<tab>","TEXT_LUCKZI009_03545_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKZI009_03545_SEQ_20<tab>","TEXT_LUCKZI009_03545_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKZI009_03545_SEQ_21<tab>","TEXT_LUCKZI009_03545_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKZI009_03545_SEQ_22<tab>","TEXT_LUCKZI009_03545_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKZI009_03545_SEQ_23<tab>","TEXT_LUCKZI009_03545_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKZI009_03545_TODO_00<tab>Search for the lanky lass.","TEXT_LUCKZI009_03545_TODO_00<tab>背の高い女性を探す","","False","0x00000018","",""
"","TEXT_LUCKZI009_03545_TODO_01<tab>Aid the lanky lass.","TEXT_LUCKZI009_03545_TODO_01<tab>背の高い女性を救助する","","False","0x00000019","",""
"","TEXT_LUCKZI009_03545_TODO_02<tab>Report to the restless hunter.","TEXT_LUCKZI009_03545_TODO_02<tab>狩人らしき女性に報告","","False","0x0000001A","",""
"","TEXT_LUCKZI009_03545_TODO_03<tab>","TEXT_LUCKZI009_03545_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_LUCKZI009_03545_TODO_04<tab>","TEXT_LUCKZI009_03545_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_LUCKZI009_03545_TODO_05<tab>","TEXT_LUCKZI009_03545_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_LUCKZI009_03545_TODO_06<tab>","TEXT_LUCKZI009_03545_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_LUCKZI009_03545_TODO_07<tab>","TEXT_LUCKZI009_03545_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_LUCKZI009_03545_TODO_08<tab>","TEXT_LUCKZI009_03545_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_LUCKZI009_03545_TODO_09<tab>","TEXT_LUCKZI009_03545_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKZI009_03545_TODO_10<tab>","TEXT_LUCKZI009_03545_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_LUCKZI009_03545_TODO_11<tab>","TEXT_LUCKZI009_03545_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_LUCKZI009_03545_TODO_12<tab>","TEXT_LUCKZI009_03545_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_LUCKZI009_03545_TODO_13<tab>","TEXT_LUCKZI009_03545_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_LUCKZI009_03545_TODO_14<tab>","TEXT_LUCKZI009_03545_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_LUCKZI009_03545_TODO_15<tab>","TEXT_LUCKZI009_03545_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_LUCKZI009_03545_TODO_16<tab>","TEXT_LUCKZI009_03545_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_LUCKZI009_03545_TODO_17<tab>","TEXT_LUCKZI009_03545_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_LUCKZI009_03545_TODO_18<tab>","TEXT_LUCKZI009_03545_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_LUCKZI009_03545_TODO_19<tab>","TEXT_LUCKZI009_03545_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_LUCKZI009_03545_TODO_20<tab>","TEXT_LUCKZI009_03545_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_LUCKZI009_03545_TODO_21<tab>","TEXT_LUCKZI009_03545_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_LUCKZI009_03545_TODO_22<tab>","TEXT_LUCKZI009_03545_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_LUCKZI009_03545_TODO_23<tab>","TEXT_LUCKZI009_03545_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_LUCKZI009_03545_HUNTER03545_000_000<tab>Excuse me, <var 08 E905 ((miss)) ((sir)) /var>, have you seen a tall, skinny Hume girl on your travels?","TEXT_LUCKZI009_03545_HUNTER03545_000_000<tab>あ、ねえ貴方、この辺りで私の友達を見なかった？<br>背の高い、ヒュム族の女性なんだけど……。","","False","0x00000030","",""
"","TEXT_LUCKZI009_03545_HUNTER03545_000_001<tab>...No? Do you think you might lend a hand in finding her, then? She has a terrible habit of wandering away when left to her own devices─not the safest pastime when you consider the wildlife around here.","TEXT_LUCKZI009_03545_HUNTER03545_000_001<tab>そう……突然で悪いけど、彼女を探すのを手伝ってくれない？<br>時々こうやって、フラっといなくなっちゃうの。<br>この辺りには、魔物も多いから心配で……。","","False","0x00000031","",""
"","TEXT_LUCKZI009_03545_HUNTER03545_000_002<tab>I'll start looking near the Ladder, but it would make me feel better if I knew someone was searching along the cliff at the same time. Would you do that for me?","TEXT_LUCKZI009_03545_HUNTER03545_000_002<tab>私は昇降機の方を探すから、<br>貴方は、崖の方を探してきてくれないかしら？<br>彼女を見つけたら、ここに連れ帰ってくれると嬉しいわ。","","False","0x00000032","",""
"","TEXT_LUCKZI009_03545_HUNTER03545_000_003<tab>Thank you! I've seen her walk off to the southeast before, so you might want to try that way first. If you do find her, please send her back to Amity!","TEXT_LUCKZI009_03545_HUNTER03545_000_003<tab>ありがとう、頼もしいわ！<br>それじゃあ、南東の方で「背の高い女性」を探してね。<br>よろしくお願いするわ！","","False","0x00000033","",""
"","TEXT_LUCKZI009_03545_FRIEND03545_000_010<tab>N-No! Leave me alone!","TEXT_LUCKZI009_03545_FRIEND03545_000_010<tab>ひ、ひいい……！<br>お願い、来ないでぇ……！","","False","0x00000034","",""
"","TEXT_LUCKZI009_03545_FRIEND03545_000_020<tab>Oh, thank you! Thank you, uh... Who are you?","TEXT_LUCKZI009_03545_FRIEND03545_000_020<tab>あ……ありがとうございます、助かりました！<br>えっと……旅のお方ですか？","","False","0x00000035","",""
"","TEXT_LUCKZI009_03545_FRIEND03545_000_021<tab>...Ah. Sent you to find me, did she? My little brother lives down there, you see, and this place offers the best view of Gatetown.","TEXT_LUCKZI009_03545_FRIEND03545_000_021<tab>そうですか……彼女には、心配をかけてしまいましたね。<br>ゲートタウンに住んでいる弟が心配で、<br>ついここに来てしまうんです。","","False","0x00000036","",""
"","TEXT_LUCKZI009_03545_FRIEND03545_000_022<tab>I'd wanted us to leave together─to give up on being chosen─but he'd become obsessed with the idea of Eulmore. And when I heard about the fighting and such, I got so worried...","TEXT_LUCKZI009_03545_FRIEND03545_000_022<tab>ユールモアに移住するのは諦め、一緒に逃げようと言ったのに、<br>あの子は、絶対に「上がって」みせるんだって……。<br>街で大きな騒動があったと聞いて、心配で心配で。","","False","0x00000037","",""
"","TEXT_LUCKZI009_03545_FRIEND03545_000_023<tab>And now here I am, causing the same kind of worry for my neighbors. My apologies─I'll be more careful in the future.","TEXT_LUCKZI009_03545_FRIEND03545_000_023<tab>弟を心配する私が、隣人を心配させていたら仕方ないですね。<br>これからは、もっと気を付けるようにします。<br>旅人さん、ありがとうございました。","","False","0x00000038","",""
"","TEXT_LUCKZI009_03545_HUNTER03545_000_030<tab>My friend came back safe and sound, saying how she was saved by a stranger. I assume that was you!","TEXT_LUCKZI009_03545_HUNTER03545_000_030<tab>さっき、彼女が戻ってきたわ！<br>貴方がいてくれて助かった……本当にありがとう！","","False","0x00000039","",""
"","TEXT_LUCKZI009_03545_HUNTER03545_000_031<tab>She seemed...less brooding than usual. What did you two talk about?","TEXT_LUCKZI009_03545_HUNTER03545_000_031<tab>……彼女、いつもより晴れ晴れとした顔をしていたわ。<br>もしかして貴方、なにか話でもしたの？","","False","0x0000003A","",""
"","TEXT_LUCKZI009_03545_HUNTER03545_000_032<tab>...I never knew she had a brother. Many here have lost their families─maybe that's why she thought to keep it secret.","TEXT_LUCKZI009_03545_HUNTER03545_000_032<tab>そう、そんな事情が……。<br>きっと、ここには家族のいない人の方が多いから、<br>気を遣って、弟さんのことを内緒にしていたのね……。","","False","0x0000003B","",""
