"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANPIX003_03685_SEQ_00<tab>Tyr Beq is ready to take the next step with you.<br>※The difficulty of this quest will be synced to your current level.","TEXT_BANPIX003_03685_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête avec limitation de job ou de classe<var 49 01 /var><var 48 01 /var><br><br>Tyr Beq vous observe, un sourire malicieux aux lèvres...","","False","0x00000000","",""
"","TEXT_BANPIX003_03685_SEQ_01<tab>You can't blame a pixie for trying, and try Tyr Beq does to woo you into living with them in Lyhe Mheg. Having experienced no joy, they head into Lyhe Mheg to arrange a meeting with the little boy whose nightmare you vanquished in Wright, and you and Ezel follow after them.<br><br>※You may enter Lyhe Mheg by speaking with Thon Sul in Lydha Lran.<br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANPIX003_03685_SEQ_01<tab>* <var 1A 02 /var>Cette quête est <var 48 F201FC /var><var 49 F201FD /var> synchronisée<var 49 01 /var><var 48 01 /var> avec votre niveau.<var 1A 01 /var><br>* <var 1A 02 /var>Il n'est possible de progresser dans cette quête qu'avec la classe ou le job qui a servi à la commencer.<var 1A 01 /var><br><br>Ezel II désirait savoir ce qu'il était advenu du garçon de Cherpant et a demandé à Tyr Beq si elle pouvait faire venir son âme dans le Lyhe Mheg. La Tisse-rêve a accepté, et tous deux ont pris le chemin du jardin aux rêves. Rejoignez-les là-bas et parlez au garçon de Cherpant.<br>* Vous pouvez entrer dans le Lyhe Mheg en parlant à Thon Sul, à Lydha Lran.","","False","0x00000001","",""
"","TEXT_BANPIX003_03685_SEQ_02<tab>Inside Lyhe Mheg, you meet with the boy, who happily reports that he is no longer plagued by nightmares.","TEXT_BANPIX003_03685_SEQ_02<tab>Le garçon semble désormais passer des nuits tranquilles. Cela aurait dû rassurer Ezel II, mais quelque chose l'a de toute évidence quelque peu indigné. Parlez-lui pour savoir de quoi il s'agit.","","False","0x00000002","",""
"","TEXT_BANPIX003_03685_SEQ_03<tab>Satisfied that the dreams of Kholusia are secure, Tyr Beq suggests next investigating nightmares in Amh Araeng. Based on Ezel's preliminary sniffing, the smell appears to be concentrated in the settlement of Mord Souq, and thither do you make your way.","TEXT_BANPIX003_03685_SEQ_03<tab>Ezel II, après s'être quelque peu indigné du com<var 16 /var>por<var 16 /var>te<var 16 /var>ment de Tyr Beq, a proposé de se remettre au travail. Le mange-rêve a identifié une grande con<var 16 /var>cen<var 16 /var>tra<var 16 /var>tion de cauchemars aux alentours de Mord Souq. Rendez-vous donc là-bas et parlez à Tyr Beq pour commencer les recherches.","","False","0x00000003","",""
"","TEXT_BANPIX003_03685_SEQ_04<tab>Arriving in scorching, sand-scoured Mord Souq, you begin your search for a child locked in an unnatural slumber.","TEXT_BANPIX003_03685_SEQ_04<tab>Vous êtes arrivé<var 08 E905 ((e)) (()) /var> à Mord Souq et devez maintenant trouver l'enfant qu'An Lad fait ré<var 16 /var>gu<var 16 /var>liè<var 16 /var>re<var 16 /var>ment cauchemarder. Cherchez un enfant endormi.","","False","0x00000004","",""
"","TEXT_BANPIX003_03685_SEQ_05<tab>Your search brings you to a little boy tossing and turning in his sleep, the absence of a scent marking him as the source. His father hints at a tragedy that befell his daughter, but he is reluctant to talk about the incident in detail. When the man departs on an errand, Ezel proceeds to devour the boy's nightmare, prompting An Lad to appear once more. The pixie sternly warns you against further interference before leaving you with more cryptic words. Ezel then flies off to find a suitable place to be sick and you hurry after, ready to strike down the nightmare given form.","TEXT_BANPIX003_03685_SEQ_05<tab>Vous avez trouvé un garçon hanté par des cauchemars. Ezel II les a aspirés, et comme vous pouviez vous y attendre, An Lad est apparue peu après. La Pixie s'est sentie persécutée, et vous a même menacés de mort avant de s'éclipser cette fois encore. Ezel II s'est retenu aussi longtemps qu'il le pouvait et a tout juste eu le temps de s'éloigner de Mord Souq avant de vomir le puissant cauchemar qu'il avait avalé. Tyr Beq a donné forme à ce dernier, et il ne vous reste plus qu'à le vaincre.","","False","0x00000005","",""
"","TEXT_BANPIX003_03685_SEQ_06<tab>Like the ones before, this nightmare creature falls by your hand, and you turn to your delighted companions.","TEXT_BANPIX003_03685_SEQ_06<tab>Le cauchemar incarné n'a pas fait le poids face à vous. Parlez à Tyr Beq.","","False","0x00000006","",""
"","TEXT_BANPIX003_03685_SEQ_07<tab>Having received your due praise, you head back to Mord Souq to look in on the little boy.","TEXT_BANPIX003_03685_SEQ_07<tab>Tyr Beq s'est réjouie de votre victoire. Quant à Ezel II, il désire maintenant retourner auprès du garçon de Mord Souq pour s'assurer de son état. Parlez à l'enfant une fois que vous serez rentré<var 08 E905 ((e)) (()) /var> à Mord Souq.","","False","0x00000007","",""
"","TEXT_BANPIX003_03685_SEQ_08<tab>Finally awakening, the boy looks at you as if still seeing a dream. It is revealed that he had been tormented by the death of his little sister, who had succumbed to thirst in the desert. Your victory over his nightmare has allowed him to find peace, but as he leaves, you are surprised to hear him give thanks to a pale pixie. Ironically, it appears that it was the existence of the nightmare itself, planted by An Lad, that brought him hope. Given yet more to ponder, you turn your steps back to Lyhe Mheg.","TEXT_BANPIX003_03685_SEQ_08<tab>Le garçon est parvenu à surmonter son trauma, et détail étonnant, semble avoir aussi remercié An Lad. Ces mots dirigés à la Pixie pâle ont troublé un peu plus Tyr Beq qui est restée incrédule<var 1D /var>: le cauchemar insufflé par sa congénère aurait-il aidé l'enfant humain<var 1D /var>? Cette hypothèse n'a pas semblé contrarier Ezel II qui a tout de suite proposé de rentrer au Lyhe Mheg. Retrouvez vos amis là-bas et parlez à Tyr Beq.","","False","0x00000008","",""
"","TEXT_BANPIX003_03685_SEQ_09<tab>Arriving back in Lyhe Mheg, you waste no time lifting the seal over the gate to Amh Araeng, thereby reclaiming the dreams of another region.","TEXT_BANPIX003_03685_SEQ_09<tab>Vous avez débloqué un troisième portail onirique, et cette fois encore, des bulles de rêve ont voyagé jusque dans le Lyhe Mheg. Parlez à Tyr Beq.","","False","0x00000009","",""
"","TEXT_BANPIX003_03685_SEQ_10<tab>Satisfied with your steady progress, Tyr Beq heads back outside to Lydha Lran and bids you join them when you are ready.","TEXT_BANPIX003_03685_SEQ_10<tab>Tyr Beq s'est réjouie que les choses avancent bien. Retrouvez-la à Lydha Lran.","","False","0x0000000A","",""
