"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKMG104_03676_SEQ_00<tab>Beq Lugg is ready to speak of the metaphysical.","TEXT_LUCKMG104_03676_SEQ_00<tab>Beq Lugg a une idée derrière la tête.","","False","0x00000000","",""
"","TEXT_LUCKMG104_03676_SEQ_01<tab>","TEXT_LUCKMG104_03676_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKMG104_03676_SEQ_02<tab>","TEXT_LUCKMG104_03676_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKMG104_03676_SEQ_03<tab>","TEXT_LUCKMG104_03676_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKMG104_03676_SEQ_04<tab>","TEXT_LUCKMG104_03676_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKMG104_03676_SEQ_05<tab>","TEXT_LUCKMG104_03676_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKMG104_03676_SEQ_06<tab>","TEXT_LUCKMG104_03676_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKMG104_03676_SEQ_07<tab>","TEXT_LUCKMG104_03676_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKMG104_03676_SEQ_08<tab>","TEXT_LUCKMG104_03676_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKMG104_03676_SEQ_09<tab>","TEXT_LUCKMG104_03676_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKMG104_03676_SEQ_10<tab>","TEXT_LUCKMG104_03676_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKMG104_03676_SEQ_11<tab>","TEXT_LUCKMG104_03676_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKMG104_03676_SEQ_12<tab>","TEXT_LUCKMG104_03676_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKMG104_03676_SEQ_13<tab>","TEXT_LUCKMG104_03676_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKMG104_03676_SEQ_14<tab>","TEXT_LUCKMG104_03676_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKMG104_03676_SEQ_15<tab>","TEXT_LUCKMG104_03676_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKMG104_03676_SEQ_16<tab>","TEXT_LUCKMG104_03676_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKMG104_03676_SEQ_17<tab>","TEXT_LUCKMG104_03676_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKMG104_03676_SEQ_18<tab>","TEXT_LUCKMG104_03676_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKMG104_03676_SEQ_19<tab>","TEXT_LUCKMG104_03676_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKMG104_03676_SEQ_20<tab>","TEXT_LUCKMG104_03676_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKMG104_03676_SEQ_21<tab>","TEXT_LUCKMG104_03676_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKMG104_03676_SEQ_22<tab>","TEXT_LUCKMG104_03676_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKMG104_03676_SEQ_23<tab>","TEXT_LUCKMG104_03676_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKMG104_03676_TODO_00<tab>Speak with Beq Lugg.","TEXT_LUCKMG104_03676_TODO_00<tab>Parler à Beq Lugg","","False","0x00000018","",""
"","TEXT_LUCKMG104_03676_TODO_01<tab>Speak with Magnus.","TEXT_LUCKMG104_03676_TODO_01<tab>Parler à Magnus, à Queues-liées","","False","0x00000019","",""
"","TEXT_LUCKMG104_03676_TODO_02<tab>Search Mount Biran Mines for lumps of pristine clay.","TEXT_LUCKMG104_03676_TODO_02<tab>Examiner les gisements aux grandes mines de Biran et obtenir <var 33 ((EventItem)) 02F61E8FD90302 /var>","","False","0x0000001A","",""
"","TEXT_LUCKMG104_03676_TODO_03<tab>Deliver the lumps of pristine clay to Beq Lugg.","TEXT_LUCKMG104_03676_TODO_03<tab>Donner <var 33 ((EventItem)) 03F61E8FD90302 /var> à Beq Lugg, à l'auberge du Grand Départ","","False","0x0000001B","",""
"","TEXT_LUCKMG104_03676_TODO_04<tab>Speak with Alisaie.","TEXT_LUCKMG104_03676_TODO_04<tab>Parler à Alisaie","","False","0x0000001C","",""
"","TEXT_LUCKMG104_03676_TODO_05<tab>","TEXT_LUCKMG104_03676_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_LUCKMG104_03676_TODO_06<tab>","TEXT_LUCKMG104_03676_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_LUCKMG104_03676_TODO_07<tab>","TEXT_LUCKMG104_03676_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_LUCKMG104_03676_TODO_08<tab>","TEXT_LUCKMG104_03676_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_LUCKMG104_03676_TODO_09<tab>","TEXT_LUCKMG104_03676_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKMG104_03676_TODO_10<tab>","TEXT_LUCKMG104_03676_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_LUCKMG104_03676_TODO_11<tab>","TEXT_LUCKMG104_03676_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_LUCKMG104_03676_TODO_12<tab>","TEXT_LUCKMG104_03676_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_LUCKMG104_03676_TODO_13<tab>","TEXT_LUCKMG104_03676_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_LUCKMG104_03676_TODO_14<tab>","TEXT_LUCKMG104_03676_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_LUCKMG104_03676_TODO_15<tab>","TEXT_LUCKMG104_03676_TODO_15<tab>","","False","0x00000027","",""
