"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKMG110_03682_SEQ_00<tab>Alphinaud wears a satisfied smile, seemingly content with the state of Eulmore.","TEXT_LUCKMG110_03682_SEQ_00<tab>グランドデイム・パーラーのアルフィノは、クリスタリウムに戻りたいようだ。","","False","0x00000000","",""
"","TEXT_LUCKMG110_03682_SEQ_01<tab>Eulmore is in Master Chai's capable hands, the future looks bright, and even the long-suffering Kai-Shirr seems to have found both a place and purpose. Yet there are still problems that remain to be solved, not least those of your fellow Scions. Alphinaud suggests returning to the Crystarium, hopeful that Beq Lugg has made headway in their research.","TEXT_LUCKMG110_03682_SEQ_01<tab>アルフィノは、本来の目的に戻るべくクリスタリウムへ向かった。クリスタリウムの星見の間で「水晶公」と話そう。","","False","0x00000001","",""
"","TEXT_LUCKMG110_03682_SEQ_02<tab>You arrive to discover that work on the white auracite has not gone as intended. In fact, your comrades have decided to pursue an alternative solution, having realized that their original plans would inevitably have broken the link between mind and soul. While they labor on, Y'shtola suggests you return to the Source and apprise Krile and the others of all that has transpired.","TEXT_LUCKMG110_03682_SEQ_02<tab>ベーク＝ラグを中心に、「白聖石」を改良させる研究に全力で取り組んでいくことになった。原初世界に戻り、石の家の「タタル」に計画を伝えよう。","","False","0x00000002","",""
"","TEXT_LUCKMG110_03682_SEQ_03<tab>Back at the Rising Stones, Tataru greets your return with customary enthusiasm. Though she is eager to hear of your exploits in the First, she insists you wait for Krile, who is in the process of completing routine ministrations on your stricken comrades. No sooner have you told your tale than you are joined─to your considerable surprise─by the elusive Estinien, who brings troubling tidings from the Empire.","TEXT_LUCKMG110_03682_SEQ_03<tab>タタルが呼んだ「助っ人」のエスティニアンから、彼が帝国に潜入していたときの過去を視た。エスティニアンは魔導兵器の攻撃を掻い潜り、魔導城からの脱出を試みていた。石の家で、彼の戦いの結末を見届けよう。","","False","0x00000003","",""
"","TEXT_LUCKMG110_03682_SEQ_04<tab>Estinien's account of his journey into imperial territory is interrupted when both you and Krile are overcome by the power of the Echo. In a series of visions from the dragoon's recent past, you bear witness to the murder of Emperor Varis; a grueling battle with Zenos himself; and an encounter with a mechanical monstrosity bearing a striking resemblance to the Ultima Weapon. When you eventually return to your senses, Estinien presses on with his report, concluding at length that the Empire poses no threat for the present, though it remains to be seen where Zenos will next resurface. His contract with Tataru thus fulfilled, your old friend gruffly takes his leave to the disappointment of all present.","TEXT_LUCKMG110_03682_SEQ_04<tab>エスティニアンから、ヴァリスの死、そしてゼノスが肉体を取り戻したという情報が得られた。石の家の「タタル」と話そう。","","False","0x00000004","",""
"","TEXT_LUCKMG110_03682_SEQ_05<tab>Everyone else has resumed their work, leaving you the rare opportunity to enjoy a moment's respite. But can there ever truly be rest for the righteous? The presence of Zenos alone is proof that powerful forces are yet at play, waiting unseen to pounce on any weakness. Until they see fit to reveal themselves, however, you can do naught but steel yourself for what is to come.","TEXT_LUCKMG110_03682_SEQ_05<tab>タタルと話した。しばらくは、ベーク＝ラグの研究が進展することを信じて待つことになった。それぞれが思惑を持ち、果たすべき誓いを立てていく。その誓いが今後に何をもたらすのか、混迷の未来に立ち向かえるよう、英気を養っておこう。","","False","0x00000005","",""
"","TEXT_LUCKMG110_03682_SEQ_06<tab>","TEXT_LUCKMG110_03682_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKMG110_03682_SEQ_07<tab>","TEXT_LUCKMG110_03682_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKMG110_03682_SEQ_08<tab>","TEXT_LUCKMG110_03682_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKMG110_03682_SEQ_09<tab>","TEXT_LUCKMG110_03682_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKMG110_03682_SEQ_10<tab>","TEXT_LUCKMG110_03682_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKMG110_03682_SEQ_11<tab>","TEXT_LUCKMG110_03682_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKMG110_03682_SEQ_12<tab>","TEXT_LUCKMG110_03682_SEQ_12<tab>","","False","0x0000000C","",""
