"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKYA003_03671_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>A new rumor has the dwarves of Komra in a right tizzy.","TEXT_LUCKYA003_03671_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト<var 49 01 /var><var 48 01 /var><br>トメラの村の噂好きのドワーフは、冒険者に頼みたいことがあるようだ。","","False","0x00000000","",""
"","TEXT_LUCKYA003_03671_SEQ_01<tab>","TEXT_LUCKYA003_03671_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKYA003_03671_SEQ_02<tab>","TEXT_LUCKYA003_03671_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKYA003_03671_SEQ_03<tab>","TEXT_LUCKYA003_03671_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKYA003_03671_SEQ_04<tab>","TEXT_LUCKYA003_03671_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKYA003_03671_SEQ_05<tab>","TEXT_LUCKYA003_03671_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKYA003_03671_SEQ_06<tab>","TEXT_LUCKYA003_03671_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKYA003_03671_SEQ_07<tab>","TEXT_LUCKYA003_03671_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKYA003_03671_SEQ_08<tab>","TEXT_LUCKYA003_03671_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKYA003_03671_SEQ_09<tab>","TEXT_LUCKYA003_03671_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKYA003_03671_SEQ_10<tab>","TEXT_LUCKYA003_03671_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKYA003_03671_SEQ_11<tab>","TEXT_LUCKYA003_03671_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKYA003_03671_SEQ_12<tab>","TEXT_LUCKYA003_03671_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKYA003_03671_SEQ_13<tab>","TEXT_LUCKYA003_03671_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKYA003_03671_SEQ_14<tab>","TEXT_LUCKYA003_03671_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKYA003_03671_SEQ_15<tab>","TEXT_LUCKYA003_03671_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKYA003_03671_SEQ_16<tab>","TEXT_LUCKYA003_03671_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKYA003_03671_SEQ_17<tab>","TEXT_LUCKYA003_03671_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKYA003_03671_SEQ_18<tab>","TEXT_LUCKYA003_03671_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKYA003_03671_SEQ_19<tab>","TEXT_LUCKYA003_03671_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKYA003_03671_SEQ_20<tab>","TEXT_LUCKYA003_03671_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKYA003_03671_SEQ_21<tab>","TEXT_LUCKYA003_03671_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKYA003_03671_SEQ_22<tab>","TEXT_LUCKYA003_03671_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKYA003_03671_SEQ_23<tab>","TEXT_LUCKYA003_03671_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKYA003_03671_TODO_00<tab>Speak with the dig site watch.","TEXT_LUCKYA003_03671_TODO_00<tab>コメラの村の外れにある坑道前にいる坑道の番人と話す","","False","0x00000018","",""
"","TEXT_LUCKYA003_03671_TODO_01<tab>Speak with the dig site chief.","TEXT_LUCKYA003_03671_TODO_01<tab>ドワーフ族の親方と話す","","False","0x00000019","",""
"","TEXT_LUCKYA003_03671_TODO_02<tab>Speak with Anogg.","TEXT_LUCKYA003_03671_TODO_02<tab>アノッグと話す","","False","0x0000001A","",""
"","TEXT_LUCKYA003_03671_TODO_03<tab>Search for the automaton core.","TEXT_LUCKYA003_03671_TODO_03<tab><var 28 ((EventItem)) F61E8FD401 /var>を入手","","False","0x0000001B","",""
"","TEXT_LUCKYA003_03671_TODO_04<tab>Deliver the automaton core to Anogg.","TEXT_LUCKYA003_03671_TODO_04<tab>アノッグに<var 28 ((EventItem)) F61E8FD401 /var>を渡す","","False","0x0000001C","",""
"","TEXT_LUCKYA003_03671_TODO_05<tab>Search for the mining lantern.","TEXT_LUCKYA003_03671_TODO_05<tab><var 28 ((EventItem)) F61E8FD501 /var>を入手","","False","0x0000001D","",""
"","TEXT_LUCKYA003_03671_TODO_06<tab>Deliver the mining lantern to the dig site chief.","TEXT_LUCKYA003_03671_TODO_06<tab>ドワーフ族の親方に<var 28 ((EventItem)) F61E8FD501 /var>を渡す","","False","0x0000001E","",""
"","TEXT_LUCKYA003_03671_TODO_07<tab>Speak with the gossipy dwarf.","TEXT_LUCKYA003_03671_TODO_07<tab>トメラの村にいる噂好きのドワーフに報告","","False","0x0000001F","",""
"","TEXT_LUCKYA003_03671_TODO_08<tab>","TEXT_LUCKYA003_03671_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_LUCKYA003_03671_TODO_09<tab>","TEXT_LUCKYA003_03671_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKYA003_03671_TODO_10<tab>","TEXT_LUCKYA003_03671_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_LUCKYA003_03671_TODO_11<tab>","TEXT_LUCKYA003_03671_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_LUCKYA003_03671_TODO_12<tab>","TEXT_LUCKYA003_03671_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_LUCKYA003_03671_TODO_13<tab>","TEXT_LUCKYA003_03671_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_LUCKYA003_03671_TODO_14<tab>","TEXT_LUCKYA003_03671_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_LUCKYA003_03671_TODO_15<tab>","TEXT_LUCKYA003_03671_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_LUCKYA003_03671_TODO_16<tab>","TEXT_LUCKYA003_03671_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_LUCKYA003_03671_TODO_17<tab>","TEXT_LUCKYA003_03671_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_LUCKYA003_03671_TODO_18<tab>","TEXT_LUCKYA003_03671_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_LUCKYA003_03671_TODO_19<tab>","TEXT_LUCKYA003_03671_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_LUCKYA003_03671_TODO_20<tab>","TEXT_LUCKYA003_03671_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_LUCKYA003_03671_TODO_21<tab>","TEXT_LUCKYA003_03671_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_LUCKYA003_03671_TODO_22<tab>","TEXT_LUCKYA003_03671_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_LUCKYA003_03671_TODO_23<tab>","TEXT_LUCKYA003_03671_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_LUCKYA003_03671_RUMORSDWARF03671_000_001<tab>You heard the latest rumor out of Komra? The strangest find in recent memory, though actual details as to what said find actually is have yet to emerge.","TEXT_LUCKYA003_03671_RUMORSDWARF03671_000_001<tab>なあ、コメラの村の噂を知っているか？<br>何でも珍しい資源が発掘されたらしいのだが……<br>噂が本当かどうか確かめてきてくれないか？","","False","0x00000030","",""
"","TEXT_LUCKYA003_03671_RUMORSDWARF03671_000_002<tab>If you do happen to come into any juicy tidbits, I'd be keen to hear 'em. The suspense is killing me here...","TEXT_LUCKYA003_03671_RUMORSDWARF03671_000_002<tab>様子がわかったら、報告しにきてくれ。<br>うーん……どんな資源が発掘できるんだろう……？","","False","0x00000031","",""
"","TEXT_LUCKYA003_03671_RUMORSDWARF03671_000_003<tab>Remember: I'm the one what put you on the scent! So if you learn any exciting secrets, you'd best share them with me! 'Tis only fair!","TEXT_LUCKYA003_03671_RUMORSDWARF03671_000_003<tab>様子がわかったら、報告しにきてくれ。<br>うーん……どんな資源が発掘できるんだろう……？","","False","0x00000032","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_050<tab>I can neither confirm nor deny the existence of a new discovery of untold value that only a select few are allowed to see for themselves.","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_050<tab>ここは現在、貴重な資源を発掘しているんだ。<br>関係者以外は立ち入り禁止だよ。","","False","0x00000033","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_051<tab>That said...there may come a time when I find myself utterly fascinated by that pile of rocks over there and would be completely oblivious to anyone attempting to sneak past...","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_051<tab>でも……<br>まあ、時と場合によっては、ここを通してあげてもいい。","","False","0x00000034","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_052<tab>...","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_052<tab>…………。","","False","0x00000035","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_053<tab>...You're a <var 08 E905 ((woman)) ((man)) /var> of the world, ain't you? Don't make me say it plain.","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_053<tab>……ほら、大人だからわかるでしょう？","","False","0x00000036","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_054<tab>Wicked white! How bloody stupid are you!?","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_054<tab>もう～物わかりの悪い人だな！","","False","0x00000037","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_055<tab>You─the imbecile─give me─the guard─ten thousand gil. Then you─the imbecile─get to walk past me─the guard─and see the amazing find. Got it?","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_055<tab>具体的に言うと10000ギルを、<br>アナタが、ボクに、くれればいいの。<br>そうすれば、ここを通してあげるって言ってるの！","","False","0x00000038","",""
"","TEXT_LUCKYA003_03671_Q1_000_000<tab>Bribe the guard?","TEXT_LUCKYA003_03671_Q1_000_000<tab>通行料を支払いますか？","","False","0x00000039","",""
"","TEXT_LUCKYA003_03671_A1_000_001<tab>","TEXT_LUCKYA003_03671_A1_000_001<tab>（★未使用／削除予定★）","","False","0x0000003A","",""
"","TEXT_LUCKYA003_03671_A1_000_002<tab>","TEXT_LUCKYA003_03671_A1_000_002<tab>（★未使用／削除予定★）","","False","0x0000003B","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_057<tab>Then you do not get to pass. You go away! Good day, <var 08 E905 ((miss)) ((sir)) /var>!","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_057<tab>じゃあいいよ。<br>ここは永久に通さないから！","","False","0x0000003C","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_058<tab>Heh heh, about time you started playing by the rules...","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_058<tab>へへっ……最初からそうやってカネを出していれば……。","","False","0x0000003D","",""
"","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_059<tab>Lali-what in the blazing hells do you think you're doing man-ho!? Is that any way for a guard to behave? Is it!?","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_059<tab>コラアアアアアアアアッ！！！<br>ちゃんと番をしてろって言ってるだろうが！！！","","False","0x0000003E","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_060<tab>N-N-No sir, Chief! Sir!","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_060<tab>ヒイイッ！！　親方！！！","","False","0x0000003F","",""
"","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_061<tab>No rations for you tonight!","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_061<tab>今日の晩飯は抜きだ！！","","False","0x00000040","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_062<tab>Chief, no! Mercy! Meeeeeercy!","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_062<tab>ヒイイイッ……！！！","","False","0x00000041","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_063<tab>It's...<sniffle>...it's not fair, I tell you... A dwarf toils day in and day out for a pittance, only to try and make a little something extra on the side, and what does it get him... <sob>","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_063<tab>うううっ辛い……人にコキ使われるのは辛スギル……。<br>クソッ……カネだ……カネさえあれば……ボクは……。","","False","0x00000042","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_064<tab>Right, well, anyway─bugger off. None may pass without the Chief's permission, which I know you haven't got.","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_064<tab>というわけで、ここは立ち入り禁止だ……。<br>どうしても入りたきゃ、そこにいる「ドワーフ族の親方」に、<br>かけあってみるんだな。","","False","0x00000043","",""
"","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_065<tab>Oh look, it's the sinner who cost me my dinner. Go hassle the chief if you want to go in, 'cause I sure as hells ain't letting you pass.","TEXT_LUCKYA003_03671_TUNNELGUARD03671_000_065<tab>ここは立ち入り禁止だ。<br>どうしても入りたきゃ、そこにいる「ドワーフ族の親方」に、<br>かけあってみるんだな。","","False","0x00000044","",""
"","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_070<tab>No time for you, friend. We've our hands full with this latest find of ours...","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_070<tab>貴重な資源が出土したのでな、<br>採掘現場への道は「坑道の番人」に見張らせているんだ。","","False","0x00000045","",""
"","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_100<tab>Wait, wait, don't tell me. I assume you came all this way to put in for the position? Sorry, but it's already been filled.","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_100<tab>ところで……あんた、もしかして面接に応募してきた人か？<br>悪いが、実はもう決まっちまったんだ。","","False","0x00000046","",""
"","TEXT_LUCKYA003_03671_Q2_000_000<tab>What will you say?","TEXT_LUCKYA003_03671_Q2_000_000<tab>ドワーフ族の親方に何と言う？","","False","0x00000047","",""
"","TEXT_LUCKYA003_03671_A2_000_001<tab>Came all this way for the what-now?","TEXT_LUCKYA003_03671_A2_000_001<tab>面接って何のこと？","","False","0x00000048","",""
"","TEXT_LUCKYA003_03671_A2_000_002<tab>You know what they say about assumptions...","TEXT_LUCKYA003_03671_A2_000_002<tab>この洞窟は？","","False","0x00000049","",""
"","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_102<tab>Eh? Don't go playing silly buggers with me. The queer ruins we found deep in a cavern through a tunnel over there! The one filled with all kinds of machina? To the point we've started calling it a bloody machina graveyard?","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_102<tab>最近この洞窟の奥で、未知の遺跡が発掘されたんだ。<br>珍しい機械が沢山出てくるから、<br>俺たちは「機械遺跡」って呼んでる。","","False","0x0000004A","",""
"","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_103<tab>Yes, well, we were looking to hire on another guard, but the position's since been filled by that fellow what tried to swindle you a moment ago.","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_103<tab>それで、ここの門番を募集してたんだけどね。<br>ちょうど先週に決まったところなんだ。","","False","0x0000004B","",""
"","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_104<tab>So you're out of luck, I'm afraid. But chin up, <var 08 E905 ((lass)) ((lad)) /var>. Your time'll come round again soon enough.","TEXT_LUCKYA003_03671_DWARFMASTER03671_000_104<tab>まあ、こうやって経済を回すのは良い事だよな、うん。","","False","0x0000004C","",""
