"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKMI101_03771_SEQ_00<tab>The manager of suites is looking a little anxious.","TEXT_LUCKMI101_03771_SEQ_00<tab>ペンダント居住館の管理人は、不安げな様子だ。","","False","0x00000000","",""
"","TEXT_LUCKMI101_03771_SEQ_01<tab>As you converse with the manager of suites in the Pendants, Moren arrives to thank you for revealing the truth about Ardbert and his comrades to the people. While on the subject, you take the opportunity to ask him what he knows of Warriors of Light, and he seems all too eager to enlighten you─when suitably prepared. The librarian duly heads back to the Cabinet of Curiosity to gather up materials, and bids you join him there at your earliest convenience.","TEXT_LUCKMI101_03771_SEQ_01<tab>前回までの冒険録：<br>水晶公に召喚された「暁の血盟」の仲間たちを原初世界に返すため、魂と記憶を入れる魔具「ソウル・サイフォン」の製作を進める冒険者たち。一方で、死んだはずのアルバートが人々の前に姿を現し、新たな「光の戦士」を目指せと促しはじめる。かつての英雄の復活を不審に思った一行は、それが本物のアルバートではなく、彼の遺体に憑依したアシエン・エリディブスだということを突き止めた。彼は和解の余地はないと語りつつも、人々の「光の戦士」への目覚めを促し続けるのだった。<br>　　　　　　　　　　　　*　*　*<br>ペンダント居住館の管理人から見送られた。クリスタリウムの博物陳列館にいる「モーレン」と話そう。","","False","0x00000001","",""
"","TEXT_LUCKMI101_03771_SEQ_02<tab>Reporting for your lesson at the Cabinet, you are soon joined by Alphinaud, Alisaie, and Ryne, who chanced to be there on separate errands. His class duly assembled, Moren proceeds to explain that, despite sharing no apparent connection, many individuals have been hailed as Warriors of Light throughout Vrandtic history, and that in time the title came to be a synonym for hero. Intrigued, Alphinaud observes that the epithet is similarly used in the Source, and posits that Hydaelyn is likely the common thread. As you ponder what this might imply, you are interrupted by a little girl's excited voice followed by the rumble of tumbling tomes. You turn towards the commotion to find three Crystarium younglings, a shame-faced Riqi-Tio and her friends Arkil and Eirwel, whom Moren wastes no time chastising for their lack of care. Upon realizing she is in the presence of the great Warrior of Darkness, however, Riqi-Tio's chagrin reverts to excitement, and she can barely contain herself as she asks you what she must do to become a hero─or “Warrior of Light.”","TEXT_LUCKMI101_03771_SEQ_02<tab>モーレンから光の戦士にまつわる話を聞いた。博物陳列館の「リキ・ティオ」と話そう。","","False","0x00000002","",""
"","TEXT_LUCKMI101_03771_SEQ_03<tab>In impassioned tones, Riqi-Tio elaborates on her ambition. She wishes to become a specific kind of Warrior of Light─one who uses potions to fight─and has come to the Cabinet to study. Rather than through tomes, however, Alphinaud believes she stands to learn best by observing the chirurgeons at work, and to that end he bids you accompany the Mystel child to Spagyrics.","TEXT_LUCKMI101_03771_SEQ_03<tab>リキ・ティオと話した。クリスタリウムのスパジャイリクス医療館にいる「シェッサミール」と話そう。","","False","0x00000003","",""
"","TEXT_LUCKMI101_03771_SEQ_04<tab>The kindly Chessamile takes Riqi-Tio under her wing, and entrusts her with a task: retrieving a potion ingredient from Sweetsieve. Lest her new charge come to harm, the chief chirurgeon requests that you go along to keep a watchful eye, before directing you to seek out a woman named Gracine.","TEXT_LUCKMI101_03771_SEQ_04<tab>シェッサミールから手伝いを頼まれた。クリスタリウムのスウィートシーヴ果樹園にいる「グラシーヌ」と話そう。","","False","0x00000004","",""
"","TEXT_LUCKMI101_03771_SEQ_05<tab>Gracine informs you that Chessamile's order is for grapes, but apologetically adds that they have yet to be harvested. At her suggestion, you go to help Alphinaud and Riqi-Tio pick bunches of undersized fruit directly from the vines.","TEXT_LUCKMI101_03771_SEQ_05<tab>グラシーヌと話した。スウィートシーヴ果樹園の「<var 28 ((EObj)) F61EAFBF01 /var>」を入手しよう。","","False","0x00000005","",""
"","TEXT_LUCKMI101_03771_SEQ_06<tab>You pick what appears to be a reasonable haul of grapes, and take them to Riqi-Tio.","TEXT_LUCKMI101_03771_SEQ_06<tab><var 28 ((EventItem)) F61E903801 /var>を入手した。スウィートシーヴ果樹園の「リキ・ティオ」に「<var 28 ((EventItem)) F61E903801 /var>」を渡そう。","","False","0x00000006","",""
"","TEXT_LUCKMI101_03771_SEQ_07<tab>Fruit-picking concluded, Alphinaud asks Riqi-Tio what inspired her decision to become an apothecary and a Warrior of Light. The girl's response prompts him to reevaluate his belief that it was Elidibus who planted the desire to become Warriors of Light within people's hearts. Instead, he concludes, the desire to help their fellow man was present from the beginning. Having reaffirmed his resolve to settle matters in the First before departing for the Source, Alphinaud bends his steps back to Spagyrics, and you follow in turn.","TEXT_LUCKMI101_03771_SEQ_07<tab>リキ・ティオに<var 28 ((EventItem)) F61E903801 /var>を渡した。スパジャイリクス医療館の「シェッサミール」と話そう。","","False","0x00000007","",""
"","TEXT_LUCKMI101_03771_SEQ_08<tab>Riqi-Tio proudly delivers the grapes to Chessamile, and by the completion of this little task, takes her first step on the road to becoming a Warrior of Light. It falls to you to ensure that her pure intent is not twisted to serve some grand Ascian design...","TEXT_LUCKMI101_03771_SEQ_08<tab>シェッサミールと話した。こうしてまた、新たな英雄、新たな「光の戦士」を目指す若者の第一歩が刻まれた。彼らの夢が正しく叶うよう、エリディブスの企みに対処したいとアルフィノは語ったが……。","","False","0x00000008","",""
"","TEXT_LUCKMI101_03771_SEQ_09<tab>","TEXT_LUCKMI101_03771_SEQ_09<tab>","","False","0x00000009","",""
