"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKMI102_03772_SEQ_00<tab>Eirwel regards you expectantly.","TEXT_LUCKMI102_03772_SEQ_00<tab>Eirwel trépigne d'excitation.","","False","0x00000000","",""
"","TEXT_LUCKMI102_03772_SEQ_01<tab>","TEXT_LUCKMI102_03772_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKMI102_03772_SEQ_02<tab>","TEXT_LUCKMI102_03772_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKMI102_03772_SEQ_03<tab>","TEXT_LUCKMI102_03772_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKMI102_03772_SEQ_04<tab>","TEXT_LUCKMI102_03772_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKMI102_03772_SEQ_05<tab>","TEXT_LUCKMI102_03772_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKMI102_03772_SEQ_06<tab>","TEXT_LUCKMI102_03772_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKMI102_03772_SEQ_07<tab>","TEXT_LUCKMI102_03772_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKMI102_03772_SEQ_08<tab>","TEXT_LUCKMI102_03772_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKMI102_03772_SEQ_09<tab>","TEXT_LUCKMI102_03772_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKMI102_03772_SEQ_10<tab>","TEXT_LUCKMI102_03772_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKMI102_03772_SEQ_11<tab>","TEXT_LUCKMI102_03772_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKMI102_03772_SEQ_12<tab>","TEXT_LUCKMI102_03772_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKMI102_03772_SEQ_13<tab>","TEXT_LUCKMI102_03772_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKMI102_03772_SEQ_14<tab>","TEXT_LUCKMI102_03772_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKMI102_03772_SEQ_15<tab>","TEXT_LUCKMI102_03772_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKMI102_03772_SEQ_16<tab>","TEXT_LUCKMI102_03772_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKMI102_03772_SEQ_17<tab>","TEXT_LUCKMI102_03772_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKMI102_03772_SEQ_18<tab>","TEXT_LUCKMI102_03772_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKMI102_03772_SEQ_19<tab>","TEXT_LUCKMI102_03772_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKMI102_03772_SEQ_20<tab>","TEXT_LUCKMI102_03772_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKMI102_03772_SEQ_21<tab>","TEXT_LUCKMI102_03772_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKMI102_03772_SEQ_22<tab>","TEXT_LUCKMI102_03772_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKMI102_03772_SEQ_23<tab>","TEXT_LUCKMI102_03772_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKMI102_03772_TODO_00<tab>Speak with Alisaie at the Exarch Gate.","TEXT_LUCKMI102_03772_TODO_00<tab>Retrouver Alisaie à la porte de l'Exarque, côté Grand-Lac","","False","0x00000018","",""
"","TEXT_LUCKMI102_03772_TODO_01<tab>Use heat lures to draw out vampire bats and slay them for their fangs.","TEXT_LUCKMI102_03772_TODO_01<tab>Placer les <var 33 ((EventItem)) 0DF61E90390302 /var> aux emplacements indiqués et récupérer des crocs de chauve-souris","","False","0x00000019","",""
"","TEXT_LUCKMI102_03772_TODO_02<tab>Deliver bat fangs to Ryne.","TEXT_LUCKMI102_03772_TODO_02<tab>Remettre <var 33 ((EventItem)) 03F61E903A0302 /var> à Ryne","","False","0x0000001A","",""
"","TEXT_LUCKMI102_03772_TODO_03<tab>Go to the lookout in the Crystarium.","TEXT_LUCKMI102_03772_TODO_03<tab>Méditer à l'endroit indiqué, à Cristarium","","False","0x0000001B","",""
"","TEXT_LUCKMI102_03772_TODO_04<tab>Speak with the Crystal Exarch.","TEXT_LUCKMI102_03772_TODO_04<tab>Parler à l'exarque du Cristal","","False","0x0000001C","",""
"","TEXT_LUCKMI102_03772_TODO_05<tab>","TEXT_LUCKMI102_03772_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_LUCKMI102_03772_TODO_06<tab>","TEXT_LUCKMI102_03772_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_LUCKMI102_03772_TODO_07<tab>","TEXT_LUCKMI102_03772_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_LUCKMI102_03772_TODO_08<tab>","TEXT_LUCKMI102_03772_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_LUCKMI102_03772_TODO_09<tab>","TEXT_LUCKMI102_03772_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKMI102_03772_TODO_10<tab>","TEXT_LUCKMI102_03772_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_LUCKMI102_03772_TODO_11<tab>","TEXT_LUCKMI102_03772_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_LUCKMI102_03772_TODO_12<tab>","TEXT_LUCKMI102_03772_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_LUCKMI102_03772_TODO_13<tab>","TEXT_LUCKMI102_03772_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_LUCKMI102_03772_TODO_14<tab>","TEXT_LUCKMI102_03772_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_LUCKMI102_03772_TODO_15<tab>","TEXT_LUCKMI102_03772_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_LUCKMI102_03772_TODO_16<tab>","TEXT_LUCKMI102_03772_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_LUCKMI102_03772_TODO_17<tab>","TEXT_LUCKMI102_03772_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_LUCKMI102_03772_TODO_18<tab>","TEXT_LUCKMI102_03772_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_LUCKMI102_03772_TODO_19<tab>","TEXT_LUCKMI102_03772_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_LUCKMI102_03772_TODO_20<tab>","TEXT_LUCKMI102_03772_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_LUCKMI102_03772_TODO_21<tab>","TEXT_LUCKMI102_03772_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_LUCKMI102_03772_TODO_22<tab>","TEXT_LUCKMI102_03772_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_LUCKMI102_03772_TODO_23<tab>","TEXT_LUCKMI102_03772_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_LUCKMI102_03772_ALPHINAUD_000_000<tab>Riqi-Tio has duly delivered her grapes, as have I.","TEXT_LUCKMI102_03772_ALPHINAUD_000_000<tab>Riqi-Tio a remis tous les ingrédients à Chessamile, nos parts y compris.","","False","0x00000030","",""
"","TEXT_LUCKMI102_03772_ALISAIE_000_005<tab>After chatting with Arkil and Eirwel here, we came to an agreement─but I'll let them explain their request themselves.","TEXT_LUCKMI102_03772_ALISAIE_000_005<tab>J'ai réuni de quoi faire une dé<var 16 /var>mon<var 16 /var>stra<var 16 /var>tion de tes talents à Eirwel et Arkil. Il ne manque plus que toi<var 1D /var>!","","False","0x00000031","",""
"","TEXT_LUCKMI102_03772_RYNE_000_010<tab>Riqi-Tio was beaming with pride when she returned.","TEXT_LUCKMI102_03772_RYNE_000_010<tab>Riqi-Tio avait la joie au cœur à son arrivée.","","False","0x00000032","",""
"","TEXT_LUCKMI102_03772_RYNE_000_015<tab>It may only have been a simple task, but she won't soon forget this achievement.","TEXT_LUCKMI102_03772_RYNE_000_015<tab>Quel que soit le service rendu, la première fois qu'on vient en aide à quelqu'un est une expérience inoubliable.","","False","0x00000033","",""
"","TEXT_LUCKMI102_03772_RIQITIO_000_020<tab>Thanks for helping with the grapes, Warrior of Darkness. In return, I promise to brew you a potion one day!","TEXT_LUCKMI102_03772_RIQITIO_000_020<tab>Merci de m'avoir aidée à aller chercher les raisins, <var 08 E905 ((Madame la Guerrière)) ((Monsieur le Guerrier)) /var> des Ténèbres<var 1D /var>! En échange, je vous soignerai quand je serai devenue une grande apothicairrre<var 1D /var>!","","False","0x00000034","",""
"","TEXT_LUCKMI102_03772_ARKIL_000_025<tab>Riqi didn't make you drink one of her grass potions, did she?","TEXT_LUCKMI102_03772_ARKIL_000_025<tab>Riqi vous a pas fait boire son jus de gazon, j'espère...","","False","0x00000035","",""
"","TEXT_LUCKMI102_03772_CHESSAMILE_000_030<tab>","TEXT_LUCKMI102_03772_CHESSAMILE_000_030<tab>（★未使用／削除予定★）","","False","0x00000036","",""
"","TEXT_LUCKMI102_03772_EIRWEL_000_040<tab>Warrior of Darkness! If you've finished helping Riqi, won't you show us some fighting? Not play fighting, but honest-to-gods fighting?","TEXT_LUCKMI102_03772_EIRWEL_000_040<tab>Dites, dites<var 1D /var>! Vous avez fini d'aider Riqi, non<var 1D /var>? Vous allez pouvoir nous montrer comment les vrais guerriers se battent<var 1D /var>!?","","False","0x00000037","",""
"","TEXT_LUCKMI102_03772_EIRWEL_000_041<tab>We already have some enemies that you can deal with: vampire bats! The guards say they've become a pest around the Crystarium of late.","TEXT_LUCKMI102_03772_EIRWEL_000_041<tab>On a trouvé les cibles parfaites<var 1D /var>! Depuis quelque temps, les gardes disent que <var 33 ((BNpcName)) 03F2256E0302 /var> pullulent près de Cristarium<var 1D /var>!","","False","0x00000038","",""
"","TEXT_LUCKMI102_03772_EIRWEL_000_042<tab>We tried to sneak outside to hunt them, but the guards caught us and sent us home... But they shouldn't mind if you were doing the fighting and we were just watching!","TEXT_LUCKMI102_03772_EIRWEL_000_042<tab>À chaque fois qu'on veut y aller tout seuls pour s'entraîner, ils nous en empêchent. Paraît que c'est trop dangereux pour les enfants... Mais ils diront rien si on fait que vous accompagner<var 1D /var>! Génial comme idée, non<var 1D /var>!?","","False","0x00000039","",""
"","TEXT_LUCKMI102_03772_ALISAIE_000_043<tab>The children told us as much while you were away. And in preparation, Chessamile kindly furnished us with some lures for the bats.","TEXT_LUCKMI102_03772_ALISAIE_000_043<tab>J'ai demandé à Chessamile de nous préparer des appâts pendant que tu étais occupé<var 08 E905 ((e)) (()) /var> à faire les vendanges au Tamisucre.","","False","0x0000003A","",""
"","TEXT_LUCKMI102_03772_ALISAIE_000_044<tab>While the creatures won't give you any sport, bear in mind that the younglings will be watching. That's to say: put on a good show, yes?","TEXT_LUCKMI102_03772_ALISAIE_000_044<tab>Bon, ces chauves-souris n'ont aucune chance contre toi, mais autant montrer le bon exemple en se donnant à cent pour cent<var 1D /var>!","","False","0x0000003B","",""
"","TEXT_LUCKMI102_03772_ALISAIE_000_045<tab>Right, let's head outside at once. Everyone, follow me!","TEXT_LUCKMI102_03772_ALISAIE_000_045<tab>Allez, en avant, <var 08 E905 ((Guerrière)) ((Guerrier)) /var> des Ténèbres<var 1D /var>! Et vous, les bleus, ne nous lâchez pas d'une semelle<var 1D /var>! Au pas de course<var 1D /var>!","","False","0x0000003C","",""
"","TEXT_LUCKMI102_03772_RYNE_000_046<tab>A-Alisaie, wait just a─ <sigh> Come on, then, children.","TEXT_LUCKMI102_03772_RYNE_000_046<tab>A-Alisaie, attendez un...<var 1D /var>! Aaah... Vite, rattrapons-la<var 1D /var>!","","False","0x0000003D","",""
