"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKMI103_03773_SEQ_00<tab>Ryne's face is a picture of worry.","TEXT_LUCKMI103_03773_SEQ_00<tab>У Рин всё написано на лице.","","False","0x00000000","",""
"","TEXT_LUCKMI103_03773_SEQ_01<tab>Steadying her breath, Ryne informs you and the Exarch that Thancred collapsed shortly after returning to the Crystarium. Together you hasten to Spagyrics, where your comrade is currently being tended to.","","","False","0x00000001","",""
"","TEXT_LUCKMI103_03773_SEQ_02<tab>To your relief, you arrive in Spagyrics to find Thancred up and talking. He reveals that he has not been in the best of health since plucking Urianger from a watery grave, suffering regular bouts of dizziness prior to his recent mishap. In the absence of any obvious physical cause, it seems certain that the link between his body and soul has weakened further. With time growing short, the Exarch bids you make a trip to the Source to consult Krile regarding the plan to return everyone home. Thus do you set out for the Rising Stones, where your friends' unmoving bodies still lie.","","","False","0x00000002","",""
"","TEXT_LUCKMI103_03773_SEQ_03<tab>Though plainly pleased to see you, Tataru cannot conceal her unease. Your slumbering friends, she reveals, have taken a turn for the worse. Upon learning of your purpose, she suggests you go straight to Krile, who is tending to everyone in Dawn's Respite.","","","False","0x00000003","",""
"","TEXT_LUCKMI103_03773_SEQ_04<tab>You step into the dimly lit chamber, and are met with the unsettling sight of your friends locked in slumber. In somber tones, Krile admits that they now betray scant signs of life. Thanks to her ministrations, however, their condition remains stable for the present, and so she suggests that you continue your conversation outside.","","","False","0x00000004","",""
"","TEXT_LUCKMI103_03773_SEQ_05<tab>Back in the Rising Stones' main hall, you apprise Krile of the situation in the First, and she concurs that Thancred's symptoms indicate a further weakening of the link between body and soul. Though she has thus far been able to quell the fluctuations in your comrades' aether, there is no telling when that may change, and she stresses that their souls' return cannot come soon enough. Upon learning that you seek to draw upon Allagan wisdom in developing the spirit vessel, she offers to solicit the aid of an individual who is an expert in the field.","","","False","0x00000005","",""
"","TEXT_LUCKMI103_03773_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_LUCKMI103_03773_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_LUCKMI103_03773_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_LUCKMI103_03773_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_LUCKMI103_03773_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_LUCKMI103_03773_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_LUCKMI103_03773_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_LUCKMI103_03773_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_LUCKMI103_03773_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_LUCKMI103_03773_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_LUCKMI103_03773_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_LUCKMI103_03773_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_LUCKMI103_03773_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_LUCKMI103_03773_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_LUCKMI103_03773_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_LUCKMI103_03773_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_LUCKMI103_03773_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_LUCKMI103_03773_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_LUCKMI103_03773_TODO_00<tab>Speak with Thancred.","TEXT_LUCKMI103_03773_TODO_00<tab>Поговорите с Танкредом.","","False","0x00000018","",""
"","TEXT_LUCKMI103_03773_TODO_01<tab>Speak with Tataru at the Rising Stones.","TEXT_LUCKMI103_03773_TODO_01<tab>Поговорите с Татару в ""Могучих камнях"".","","False","0x00000019","",""
"","TEXT_LUCKMI103_03773_TODO_02<tab>Enter Dawn's Respite.","TEXT_LUCKMI103_03773_TODO_02<tab>Войдите в Покои Рассвета.","","False","0x0000001A","",""
"","TEXT_LUCKMI103_03773_TODO_03<tab>Speak with Krile.","TEXT_LUCKMI103_03773_TODO_03<tab>Поговорите с Крайл.","","False","0x0000001B","",""
"","TEXT_LUCKMI103_03773_TODO_04<tab>","","","False","0x0000001C","",""
"","TEXT_LUCKMI103_03773_TODO_05<tab>","","","False","0x0000001D","",""
"","TEXT_LUCKMI103_03773_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_LUCKMI103_03773_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_LUCKMI103_03773_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_LUCKMI103_03773_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_LUCKMI103_03773_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_LUCKMI103_03773_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_LUCKMI103_03773_TODO_12<tab>","","","False","0x00000024","",""
