"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKHZ002_03838_SEQ_00<tab>The earnest adventurer is staring wide-eyed at you.","TEXT_LUCKHZ002_03838_SEQ_00<tab>L'aventurière sérieuse vous observe at<var 16 /var>ten<var 16 /var>ti<var 16 /var>ve<var 16 /var>ment.","","False","0x00000000","",""
"","TEXT_LUCKHZ002_03838_SEQ_01<tab>","TEXT_LUCKHZ002_03838_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKHZ002_03838_SEQ_02<tab>","TEXT_LUCKHZ002_03838_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKHZ002_03838_SEQ_03<tab>","TEXT_LUCKHZ002_03838_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKHZ002_03838_SEQ_04<tab>","TEXT_LUCKHZ002_03838_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKHZ002_03838_SEQ_05<tab>","TEXT_LUCKHZ002_03838_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKHZ002_03838_SEQ_06<tab>","TEXT_LUCKHZ002_03838_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKHZ002_03838_SEQ_07<tab>","TEXT_LUCKHZ002_03838_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKHZ002_03838_SEQ_08<tab>","TEXT_LUCKHZ002_03838_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKHZ002_03838_SEQ_09<tab>","TEXT_LUCKHZ002_03838_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKHZ002_03838_SEQ_10<tab>","TEXT_LUCKHZ002_03838_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKHZ002_03838_SEQ_11<tab>","TEXT_LUCKHZ002_03838_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKHZ002_03838_SEQ_12<tab>","TEXT_LUCKHZ002_03838_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKHZ002_03838_SEQ_13<tab>","TEXT_LUCKHZ002_03838_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKHZ002_03838_SEQ_14<tab>","TEXT_LUCKHZ002_03838_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKHZ002_03838_SEQ_15<tab>","TEXT_LUCKHZ002_03838_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKHZ002_03838_SEQ_16<tab>","TEXT_LUCKHZ002_03838_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKHZ002_03838_SEQ_17<tab>","TEXT_LUCKHZ002_03838_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKHZ002_03838_SEQ_18<tab>","TEXT_LUCKHZ002_03838_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKHZ002_03838_SEQ_19<tab>","TEXT_LUCKHZ002_03838_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKHZ002_03838_SEQ_20<tab>","TEXT_LUCKHZ002_03838_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKHZ002_03838_SEQ_21<tab>","TEXT_LUCKHZ002_03838_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKHZ002_03838_SEQ_22<tab>","TEXT_LUCKHZ002_03838_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKHZ002_03838_SEQ_23<tab>","TEXT_LUCKHZ002_03838_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKHZ002_03838_TODO_00<tab>Search for the seasoned adventurer near Saint Reymanaud's Cathedral.","TEXT_LUCKHZ002_03838_TODO_00<tab>Retrouver l'aventurière ex<var 16 /var>pé<var 16 /var>ri<var 16 /var>men<var 16 /var>tée, près de la cathédrale Saint-Reymanaud","","False","0x00000018","",""
"","TEXT_LUCKHZ002_03838_TODO_01<tab>Speak with the earnest adventurer in the Firmament.","TEXT_LUCKHZ002_03838_TODO_01<tab>Parler à l'aventurière sérieuse, au Hoyau","","False","0x00000019","",""
"","TEXT_LUCKHZ002_03838_TODO_02<tab>Speak with the ravishing resident.","TEXT_LUCKHZ002_03838_TODO_02<tab>Parler à la demoiselle ravissante","","False","0x0000001A","",""
"","TEXT_LUCKHZ002_03838_TODO_03<tab>","TEXT_LUCKHZ002_03838_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_LUCKHZ002_03838_TODO_04<tab>","TEXT_LUCKHZ002_03838_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_LUCKHZ002_03838_TODO_05<tab>","TEXT_LUCKHZ002_03838_TODO_05<tab>","","False","0x0000001D","",""
