"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_XXAUSA203_03859_SEQ_00<tab>Buscarron could use an adventurer to douse a fight brewing at his establishment.","TEXT_XXAUSA203_03859_SEQ_00<tab>Баскаррону нужна помощь, чтобы разнять драчунов.","","False","0x00000000","",""
"","TEXT_XXAUSA203_03859_SEQ_01<tab>Buscarron has no information on the sylph elder as yet, but he has something for you to do in the meantime. It seems as though one of his customers is spoiling for a fight. To put an end to any fisticuffs before they begin, Buscarron would have you pour a tub of cold water over the lout in question.","TEXT_XXAUSA203_03859_SEQ_01<tab>У Баскаррона пока нет никакой информации касательно старейшины сильфов, но у него есть задачка, чтобы занять ваше время. Похоже, что один из гостей нарывается на драку. Чтобы положить конец любому рукоприкладству ещё до того, как оно произойдет, Баскаррон просит вас выплеснуть ведро холодной воды на деревенского хама.","","False","0x00000001","",""
"","TEXT_XXAUSA203_03859_SEQ_02<tab>Drenched with water, the drunkard runs off, having come to his senses enough to realize that Buscarron means business when he says there's to be no fighting in or about his establishment. Report your success to Buscarron.","TEXT_XXAUSA203_03859_SEQ_02<tab>Остудив пыл, пьяница ретируется, вовремя смекнув, что правила Баскаррона нельзя нарушать — когда тот говорит, что драки в его заведении запрещены, то так и будет. Сообщите Баскаррону об успехе.","","False","0x00000002","",""
"","TEXT_XXAUSA203_03859_SEQ_03<tab>Thanks to your actions, the tavern's regulars are able to enjoy their drinks in peace. Buscarron prides himself on opening his doors to all customers─even those with unsavory reputations─so long as they pay good coin and stay out of trouble.","TEXT_XXAUSA203_03859_SEQ_03<tab>Благодаря принятым вами мерам завсегдатаи таверны могут наконец выпить в спокойной обстановке. Двери Баскаррона открыты для всех — даже для людей с не очень хорошей репутацией — до тех пор, пока те не нарываются на неприятности и оплачивают свою выпивку.","","False","0x00000003","",""
"","TEXT_XXAUSA203_03859_SEQ_04<tab>","","","False","0x00000004","",""
"","TEXT_XXAUSA203_03859_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_XXAUSA203_03859_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_XXAUSA203_03859_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_XXAUSA203_03859_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_XXAUSA203_03859_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_XXAUSA203_03859_SEQ_10<tab>","","","False","0x0000000A","",""
