"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANDWA123_03924_SEQ_00<tab>Regitt would enlist your aid in fighting a duel against drowsiness.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANDWA123_03924_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<var 49 01 /var><var 48 01 /var><br>※本クエストは受注時のクラスでのみ進行します。<br><br>ワッツハンマー・ガレージのレギットは、みんなの悩みを解決したいようだ。","","True","0x00000000","",""
"","TEXT_BANDWA123_03924_SEQ_01<tab>Speak with Shigitt.","TEXT_BANDWA123_03924_SEQ_01<tab>ワッツハンマー・ガレージのシギットと話す","","True","0x00000001","",""
"","TEXT_BANDWA123_03924_SEQ_02<tab>Deliver the requested item to the drowsy dwarf at the Hour of Certain Durance.","TEXT_BANDWA123_03924_SEQ_02<tab>責苦の監獄のねむねむドワーフに依頼された品を納品","","True","0x00000002","",""
"","TEXT_BANDWA123_03924_SEQ_03<tab>Report to Regitt.","TEXT_BANDWA123_03924_SEQ_03<tab>レギットに報告","","True","0x00000003","",""
"","TEXT_BANDWA123_03924_SEQ_04<tab>","TEXT_BANDWA123_03924_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_BANDWA123_03924_SEQ_05<tab>","TEXT_BANDWA123_03924_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_BANDWA123_03924_SEQ_06<tab>","TEXT_BANDWA123_03924_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_BANDWA123_03924_SEQ_07<tab>","TEXT_BANDWA123_03924_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_BANDWA123_03924_SEQ_08<tab>","TEXT_BANDWA123_03924_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_BANDWA123_03924_SEQ_09<tab>","TEXT_BANDWA123_03924_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_BANDWA123_03924_SEQ_10<tab>","TEXT_BANDWA123_03924_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_BANDWA123_03924_SEQ_11<tab>","TEXT_BANDWA123_03924_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_BANDWA123_03924_SEQ_12<tab>","TEXT_BANDWA123_03924_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_BANDWA123_03924_SEQ_13<tab>","TEXT_BANDWA123_03924_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_BANDWA123_03924_SEQ_14<tab>","TEXT_BANDWA123_03924_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_BANDWA123_03924_SEQ_15<tab>","TEXT_BANDWA123_03924_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_BANDWA123_03924_SEQ_16<tab>","TEXT_BANDWA123_03924_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_BANDWA123_03924_SEQ_17<tab>","TEXT_BANDWA123_03924_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_BANDWA123_03924_SEQ_18<tab>","TEXT_BANDWA123_03924_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_BANDWA123_03924_SEQ_19<tab>","TEXT_BANDWA123_03924_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_BANDWA123_03924_SEQ_20<tab>","TEXT_BANDWA123_03924_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_BANDWA123_03924_SEQ_21<tab>","TEXT_BANDWA123_03924_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_BANDWA123_03924_SEQ_22<tab>","TEXT_BANDWA123_03924_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_BANDWA123_03924_SEQ_23<tab>","TEXT_BANDWA123_03924_SEQ_23<tab>","","True","0x00000017","",""
"","TEXT_BANDWA123_03924_TODO_00<tab>Speak with Shigitt.","TEXT_BANDWA123_03924_TODO_00<tab>ワッツハンマー・ガレージのシギットと話す","","True","0x00000018","",""
"","TEXT_BANDWA123_03924_TODO_01<tab><var 08 E4E8050A ((<var 08 E3E802E803 ((Synthesize <var 31 ((Item)) 02E8060202 /var>)) ((Deliver <var 31 ((Item)) 03E8060202 /var> to the drowsy dwarf at the Hour of Certain Durance)) /var>)) ((<var 08 E4E8050B ((<var 08 E3E802E803 ((Synthesize <var 31 ((Item)) 02E8060202 /var>)) ((Deliver <var 31 ((Item)) 03E8060202 /var> to the drowsy dwarf at the Hour of Certain Durance)) /var>)) ((<var 08 E4E8050C ((<var 08 E3E802E803 ((Synthesize <var 31 ((Item)) 02E8060202 /var>)) ((Deliver <var 31 ((Item)) 03E8060202 /var> to the drowsy dwarf at the Hour of Certain Durance)) /var>)) ((<var 08 E4E80509 ((<var 08 E3E802E803 ((Synthesize <var 31 ((Item)) 02E8060202 /var>)) ((Deliver <var 31 ((Item)) 03E8060202 /var> to the drowsy dwarf at the Hour of Certain Durance)) /var>)) ((<var 08 E4E8050D ((<var 08 E3E802E803 ((Synthesize <var 31 ((Item)) 02E8060202 /var>)) ((Deliver <var 31 ((Item)) 03E8060202 /var> to the drowsy dwarf at the Hour of Certain Durance)) /var>)) ((<var 08 E4E8050E ((<var 08 E3E802E803 ((Synthesize <var 31 ((Item)) 02E8060202 /var>)) ((Deliver <var 31 ((Item)) 03E8060202 /var> to the drowsy dwarf at the Hour of Certain Durance)) /var>)) ((<var 08 E4E8050F ((<var 08 E3E802E803 ((Synthesize <var 31 ((Item)) 02E8060202 /var>)) ((Deliver <var 31 ((Item)) 03E8060202 /var> to the drowsy dwarf at the Hour of Certain Durance)) /var>)) ((<var 08 E4E80510 ((<var 08 E3E802E803 ((Synthesize <var 31 ((Item)) 02E8060202 /var>)) ((Deliver <var 31 ((Item)) 03E8060202 /var> to the drowsy dwarf at the Hour of Certain Durance)) /var>)) (()) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>.","TEXT_BANDWA123_03924_TODO_01<tab><var 08 E4E8050A ((<var 08 E3E802E803 ((製作手帳 蛮族クエスト：<var 28 ((Item)) E80601 /var>を製作)) ((責苦の監獄のねむねむドワーフに<var 28 ((Item)) E80601 /var>を納品)) /var>)) ((<var 08 E4E8050B ((<var 08 E3E802E803 ((製作手帳 蛮族クエスト：<var 28 ((Item)) E80601 /var>を製作)) ((責苦の監獄のねむねむドワーフに<var 28 ((Item)) E80601 /var>を納品)) /var>)) ((<var 08 E4E8050C ((<var 08 E3E802E803 ((製作手帳 蛮族クエスト：<var 28 ((Item)) E80601 /var>を製作)) ((責苦の監獄のねむねむドワーフに<var 28 ((Item)) E80601 /var>を納品)) /var>)) ((<var 08 E4E80509 ((<var 08 E3E802E803 ((製作手帳 蛮族クエスト：<var 28 ((Item)) E80601 /var>を製作)) ((責苦の監獄のねむねむドワーフに<var 28 ((Item)) E80601 /var>を納品)) /var>)) ((<var 08 E4E8050D ((<var 08 E3E802E803 ((製作手帳 蛮族クエスト：<var 28 ((Item)) E80601 /var>を製作)) ((責苦の監獄のねむねむドワーフに<var 28 ((Item)) E80601 /var>を納品)) /var>)) ((<var 08 E4E8050E ((<var 08 E3E802E803 ((製作手帳 蛮族クエスト：<var 28 ((Item)) E80601 /var>を製作)) ((責苦の監獄のねむねむドワーフに<var 28 ((Item)) E80601 /var>を納品)) /var>)) ((<var 08 E4E8050F ((<var 08 E3E802E803 ((製作手帳 蛮族クエスト：<var 28 ((Item)) E80601 /var>を製作)) ((責苦の監獄のねむねむドワーフに<var 28 ((Item)) E80601 /var>を納品)) /var>)) ((<var 08 E4E80510 ((<var 08 E3E802E803 ((製作手帳 蛮族クエスト：<var 28 ((Item)) E80601 /var>を製作)) ((責苦の監獄のねむねむドワーフに<var 28 ((Item)) E80601 /var>を納品)) /var>)) (()) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>","","True","0x00000019","",""
"","TEXT_BANDWA123_03924_TODO_02<tab>Report to Regitt.","TEXT_BANDWA123_03924_TODO_02<tab>レギットに報告","","True","0x0000001A","",""
"","TEXT_BANDWA123_03924_TODO_03<tab>","TEXT_BANDWA123_03924_TODO_03<tab>","","True","0x0000001B","",""
"","TEXT_BANDWA123_03924_TODO_04<tab>","TEXT_BANDWA123_03924_TODO_04<tab>","","True","0x0000001C","",""
"","TEXT_BANDWA123_03924_TODO_05<tab>","TEXT_BANDWA123_03924_TODO_05<tab>","","True","0x0000001D","",""
"","TEXT_BANDWA123_03924_TODO_06<tab>","TEXT_BANDWA123_03924_TODO_06<tab>","","True","0x0000001E","",""
"","TEXT_BANDWA123_03924_TODO_07<tab>","TEXT_BANDWA123_03924_TODO_07<tab>","","True","0x0000001F","",""
"","TEXT_BANDWA123_03924_TODO_08<tab>","TEXT_BANDWA123_03924_TODO_08<tab>","","True","0x00000020","",""
"","TEXT_BANDWA123_03924_TODO_09<tab>","TEXT_BANDWA123_03924_TODO_09<tab>","","True","0x00000021","",""
"","TEXT_BANDWA123_03924_TODO_10<tab>","TEXT_BANDWA123_03924_TODO_10<tab>","","True","0x00000022","",""
"","TEXT_BANDWA123_03924_TODO_11<tab>","TEXT_BANDWA123_03924_TODO_11<tab>","","True","0x00000023","",""
"","TEXT_BANDWA123_03924_TODO_12<tab>","TEXT_BANDWA123_03924_TODO_12<tab>","","True","0x00000024","",""
"","TEXT_BANDWA123_03924_TODO_13<tab>","TEXT_BANDWA123_03924_TODO_13<tab>","","True","0x00000025","",""
"","TEXT_BANDWA123_03924_TODO_14<tab>","TEXT_BANDWA123_03924_TODO_14<tab>","","True","0x00000026","",""
"","TEXT_BANDWA123_03924_TODO_15<tab>","TEXT_BANDWA123_03924_TODO_15<tab>","","True","0x00000027","",""
"","TEXT_BANDWA123_03924_TODO_16<tab>","TEXT_BANDWA123_03924_TODO_16<tab>","","True","0x00000028","",""
"","TEXT_BANDWA123_03924_TODO_17<tab>","TEXT_BANDWA123_03924_TODO_17<tab>","","True","0x00000029","",""
"","TEXT_BANDWA123_03924_TODO_18<tab>","TEXT_BANDWA123_03924_TODO_18<tab>","","True","0x0000002A","",""
"","TEXT_BANDWA123_03924_TODO_19<tab>","TEXT_BANDWA123_03924_TODO_19<tab>","","True","0x0000002B","",""
"","TEXT_BANDWA123_03924_TODO_20<tab>","TEXT_BANDWA123_03924_TODO_20<tab>","","True","0x0000002C","",""
"","TEXT_BANDWA123_03924_TODO_21<tab>","TEXT_BANDWA123_03924_TODO_21<tab>","","True","0x0000002D","",""
"","TEXT_BANDWA123_03924_TODO_22<tab>","TEXT_BANDWA123_03924_TODO_22<tab>","","True","0x0000002E","",""
"","TEXT_BANDWA123_03924_TODO_23<tab>","TEXT_BANDWA123_03924_TODO_23<tab>","","True","0x0000002F","",""
"","TEXT_BANDWA123_03924_REGITT_000_000<tab>With all the extra hours we've been working, it's become a struggle to stay focused. So I thought to myself, “a good gulp of strong dwarven ale'll perk me right up!”...only it seems to have had the opposite effect.","TEXT_BANDWA123_03924_REGITT_000_000<tab>はふ……みんな作業続きで、どうにも眠気がつらいみたいラリ。<br>ワシも眠気覚ましにドワーヴンエールをぐび～っといったら、<br>余計気持ちよくなって逆効果だったラリよ……。","","True","0x00000030","",""
"","TEXT_BANDWA123_03924_REGITT_000_001<tab><yawn> As luck would have it, Ronitt's designed some special tool he claims can solve our drowsiness dilemma─we just need someone alert enough to put it together.","TEXT_BANDWA123_03924_REGITT_000_001<tab>それでロニットに相談してみたら、<br>眠気覚ましにピッタリの秘密道具を考えてくれたラリ！<br>みんなのお悩み解決のために、それを製作することにしたラリよ。","","True","0x00000031","",""
"","TEXT_BANDWA123_03924_REGITT_000_002<tab>Do me a favor and talk to Shigitt before he passes out, will you? He'll have everything you need.","TEXT_BANDWA123_03924_REGITT_000_002<tab>お前さんには、試作品を作ってほしいラリ。<br>詳しい話は「シギット」から聞いてほしいラリ。<br>よろしく頼むラリ～。","","True","0x00000032","",""
"","TEXT_BANDWA123_03924_SHIGITT_000_010<tab><yawn> ...Oh, I must have dozed off for a moment. Yes. Supplies. For Ronitt's grandly named “Unfailing Eye Opener.”","TEXT_BANDWA123_03924_SHIGITT_000_010<tab>ふぁ～……っと、すまない。<br>僕も少し気が抜けていたようだ。<br>素材を渡すので、「<var 28 ((ItemHQ)) F279C901 /var>」を作ってくれ。","","True","0x00000033","",""
"","TEXT_BANDWA123_03924_SHIGITT_000_020<tab>With your skills, forging a simplified shock prod shouldn't prove too much of a challenge. And even if it does, I've stocked the automaton over yonder with surplus materials.","TEXT_BANDWA123_03924_SHIGITT_000_020<tab><var 28 ((ClassJob)) E94501 /var>の君には、<br>死なない程度に刺激的な雷撃発生器の製作を任せたい。<br>素材が足りなければ、資材調達オートマトンから受け取ってほしい。","","True","0x00000034","",""
"","TEXT_BANDWA123_03924_SHIGITT_000_030<tab>With your skills, crafting a nice whippy coeurl o' nine tails shouldn't prove too much of a challenge. And even if it does, I've stocked the automaton over yonder with surplus materials.","TEXT_BANDWA123_03924_SHIGITT_000_030<tab><var 28 ((ClassJob)) E94501 /var>の君には、<br>靭やかな9つの紐を束ねた鞭の製作を任せたい。<br>素材が足りなければ、資材調達オートマトンから受け取ってほしい。","","True","0x00000035","",""
"","TEXT_BANDWA123_03924_SHIGITT_000_040<tab>With your skills, mixing up a batch of sinus-singeing pepper powder shouldn't prove too much of a challenge. And even if it does, I've stocked the automaton over yonder with surplus materials.","TEXT_BANDWA123_03924_SHIGITT_000_040<tab><var 28 ((ClassJob)) E94501 /var>の君には、<br>天然のスパイスを配合した激辛粉末の製作を任せたい。<br>素材が足りなければ、資材調達オートマトンから受け取ってほしい。","","True","0x00000036","",""
