"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKTA401_03998_SEQ_00<tab>Konogg is still looking considerably worse for his sister's absence.","TEXT_LUCKTA401_03998_SEQ_00<tab>Konogg lässt die Schultern hängen und den kummervollen Blick über das Chaos schweifen.","","True","0x00000000","",""
"","TEXT_LUCKTA401_03998_SEQ_01<tab>Konogg, still inconsolable following the disappearance of his sister Anogg, explains that little has changed in Komra since last you spoke. This indeed seems to be the case, as several of the same villagers who previously spoke out against the twins soon arrive to further express their disgruntlement. Among them is a man you have not seen before, who hastens to chastise Konogg for his culpability in the tragedy that led to his wife's severe injury. Your dwarven friend is visibly shaken, and dissolves into tears on the spot.","TEXT_LUCKTA401_03998_SEQ_01<tab>Was bisher geschah:<br><br>Anogg und Konogg war es tatsächlich gelungen, die abgeschaltete 2P zu neuem Leben erwachen zu lassen. Kaum, dass sie wieder auf den Beinen war, griff sie nach dem ominösen Schlüssel und löste eine Art Erdbeben aus, das einen Teil des Duergar-Gebirges zum Einsturz brachte. Aber nicht nur das<var 1D /var>- als du mit den Zwillingen Hals über Kopf aus dem Stollen geflohen bist, erwartete dich die schockierende Szene des bombardierten Komra. Schweren Herzens musstet ihr feststellen, dass 2P euch für ihre bislang unbekannten Zwecke eingespannt und verraten hatte. Nur dank einer Androidin, die 2P wie aus dem Gesicht geschnitten ist, blieb euch noch Schlimmeres erspart. Gemeinsam mit 2B nahmt ihr die Verfolgung auf und habt euch in das Herz der Puppenfestung gewagt, doch euer Sieg währte nicht lange. Kaum, dass ihr zurückgekehrt wart, konfrontierte euch ein aufgebrachtes Dorf. Insbesondere Anogg war von 2Ps Verrat schwer getroffen und gab sich selbst die Schuld an der Tragödie. Zwar wurde durch 2Bs erneutes Eingreifen eine drastischere Konfrontation verhindert, aber die von Schuldgefühlen geplagte Anogg ist seither unauffindbar. Während eure mysteriöse Androiden-Verbündete an 9S' Seite weilt, bleibt Konogg nun unglücklich und alleine zurück<var 1D /var>...<br><br>　　　　　　　　　　　　*　*　*<br><br>Komra und seine Bewohner sind nach wie vor von dem schrecklichen Überfall gebeutelt. Es liegt nahe, dass sie einen Sündenbock suchen und ihn in Konogg auch sofort finden. Die Vorwürfe sind bitter und setzen dem jungen Zwerg derart zu, dass er seine Tränen letztlich nicht mehr zurückhalten kann. Tröste den armen Kerl. (Emote: Trösten).","","True","0x00000001","",""
"","TEXT_LUCKTA401_03998_SEQ_02<tab>With some effort and a few gentle pats on the back, you succeed in raising Konogg's spirits somewhat. He is determined to find a way to help the man and his wife, but fears that he will have little luck determining what might improve their situation while the other villagers are so ill-disposed toward civil conversation with him. Naturally, you volunteer to make inquiries in his stead.","TEXT_LUCKTA401_03998_SEQ_02<tab>Deine warme Geste scheint Konogg zumindest etwas zu beruhigen. In seiner Trauer sehnt er sich danach, irgendetwas für die Leidtragenden des Angriffs zu tun und hat die Idee, einem gebeutelten Ehepaar etwas Gutes zu tun. Angesichts seiner strittigen Stellung im Dorf bittet er allerdings dich darum, die Recherche zu über<var 16 /var>nehmen. Vielleicht kann dir der findige Gogg einen Hinweis geben, womit man dem Paar eine Freude machen kann.","","True","0x00000002","",""
"","TEXT_LUCKTA401_03998_SEQ_03<tab>You speak with two of the dwarves you saw previously, rightly guessing that they would have some idea of what might be of comfort to the injured parties. The answer─perhaps predictably─is alcohol, with mead being the beverage of choice.","TEXT_LUCKTA401_03998_SEQ_03<tab>Tatsächlich stellt sich der findige Gogg als eine zuverlässige Informationsquelle heraus. Er versteht sich gut mit dem Paar und erzählt dir von den Metfesten, zu denen die beiden regelmäßig einluden. Konogg kann mit diesem Hinweis sicherlich etwas anfangen.","","True","0x00000003","",""
"","TEXT_LUCKTA401_03998_SEQ_04<tab>Konogg is happy enough to seize upon the idea of a gift of mead for lack of any better ones, though the two of you soon realize that, with the village's liquor stores having gone up in flames, you will need to travel to Stilltide to purchase it. His sense of duty guides Konogg to insist on making the journey himself─with you as a guide, of course.","TEXT_LUCKTA401_03998_SEQ_04<tab>Konogg greift die Leidenschaft des Zwergenpaars sofort auf und hat die Idee, ihnen einen besonders köstlichen Met zukommen zu lassen. Bei Met fällt dir natürlich sofort der Leckende Kahn ein und du bietest an, dort eine Flasche zu besorgen. Der von Schuldgefühlen geplagte Zwerg besteht allerdings darauf, die Reise selbst anzutreten, und bittet dich stattdessen um Geleit. Triff dich nun mit ihm im Duergar-Gebirge, um ihm den Weg zu weisen.","","True","0x00000004","",""
"","TEXT_LUCKTA401_03998_SEQ_05<tab>You meet Konogg outside of Komra to explain the route you will be taking to Stilltide. Despite the unfortunate circumstances surrounding it─or perhaps because of them─he seems eager to make the trip.","TEXT_LUCKTA401_03998_SEQ_05<tab>Die Sache ist Konogg wirklich ernst und er brennt beinahe darauf, Abstand zwischen sich und Komra zu bringen. Euer nächster Zwischenstopp ist das Schotterfeld.","","True","0x00000005","",""
"","TEXT_LUCKTA401_03998_SEQ_06<tab>Konogg halts at the top of the Ladder to take in the sights. If they do not provide the enlightenment he seeks, perhaps you can.","TEXT_LUCKTA401_03998_SEQ_06<tab>Etwas unsicher ist sich Konogg schon, was den weiten Weg betrifft, aber besonders auf die Leiter scheint er sich zu freuen. Erkundige dich an der Obersten Sprosse noch einmal nach seinem Eindruck.","","True","0x00000006","",""
"","TEXT_LUCKTA401_03998_SEQ_07<tab>At Konogg's insistence, you regale him with the tale of how you and the people of Norvrandt restored the massive device to functionality. It is unclear whether he is more inspired or intimidated by this, but in any case, he presses on.","TEXT_LUCKTA401_03998_SEQ_07<tab>Konogg scheint sich ehrlich zu freuen, den riesigen Aufzug benutzen zu dürfen. Eine wohlverdiente Ruhepause im Drama um Komra. An der Untersten Sprosse wartet er nun auf eine weitere Weg<var 16 /var>be<var 16 /var>schreibung.","","True","0x00000007","",""
"","TEXT_LUCKTA401_03998_SEQ_08<tab>Fortunately, you have not provided Konogg with detailed information on the location of the Leaky Keel, so he cannot dash away the moment you alight from the Ladder. Once you confirm the direction of your destination; however, he is filled with vigor at the prospect of nearing his goal, and does just that.","TEXT_LUCKTA401_03998_SEQ_08<tab>Nun fehlt nur noch das letzte Stück! Angekommen in Stillwasser solltest du dem Zwerg noch einmal Mut zusprechen, falls es denn nötig ist.","","True","0x00000008","",""
"","TEXT_LUCKTA401_03998_SEQ_09<tab>You find Konogg mentally fortifying himself outside the Leaky Keel. Whether he is intimidated at the prospect of entering an establishment so far from his village or simply trying to remember how to make a polite request after so long bossing an indulgent adventurer around is anyone's guess. Fortunately, he has no cause to worry, as Theva is charmed by his earnestness and kindly brings him a bottle of her finest mead.","TEXT_LUCKTA401_03998_SEQ_09<tab>Theva begrüßt den ungewöhnlichen Gast mit ihrer rauen Herzlichkeit und kann euch selbst<var 16 /var>verständ<var 16 /var>lich weiterhelfen, was euren Wunsch nach einem außer<var 16 /var>ge<var 16 /var>wöhn<var 16 /var>lichen Met betrifft. Triff Konogg jetzt in Komra, um den nächsten Schritt eures Plans anzugehen.","","True","0x00000009","",""
