"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKBB111_04069_SEQ_00<tab>Lalah Jinjahl is eager to share tidings from the Sharlayan motherland.","TEXT_AKTKBB111_04069_SEQ_00<tab>Lalah Jinjahl a de nouvelles in<var 16 /var>for<var 16 /var>ma<var 16 /var>tions pour vous.","","True","0x00000000","",""
"","TEXT_AKTKBB111_04069_SEQ_01<tab>In eager tones, Lalah informs you that the analysis of the mystery plant is complete. It has been determined to be muscmaloi, a variety of herb that possesses potent aether-fortifying properties, owing to which its cultivation is outlawed. Having been thwarted from obtaining it at the arboretum, the fugitives will likely seek other means of procurement, and Lalah has identified an apothecary at Lost Hope as a source for the herb. On your way to find this individual, you next make for Black Brush Station in central Thanalan.","TEXT_AKTKBB111_04069_SEQ_01<tab>Lalah vous a informé<var 08 E905 ((e)) (()) /var> que l'herbe que vous avez découverte dans l'Arboretum est du chicotin, une plante médicinale très dangereuse mais pouvant servir à renforcer l'énergie vitale. Pressentant que Loifa essayerait d'obtenir cette herbe à nouveau, elle a obtenu les coordonnées d'un hameau dans le Thanalan central où l'on en vendrait. Retrouvez-la près de la gare de Roncenoire.","","True","0x00000001","",""
"","TEXT_AKTKBB111_04069_SEQ_02<tab>No sooner do you arrive at Black Brush Station than you meet with a distressed woman who fits the description of the apothecary. She breathlessly explains that three strangers have suddenly set upon a customer of hers, and you and Lalah rush to Lost Hope and the man's aid.","TEXT_AKTKBB111_04069_SEQ_02<tab>À peine arrivé<var 08 E905 ((e)) (()) /var>s à Roncenoire, vous êtes tombé<var 08 E905 ((e)) (()) /var>s sur la marchande spécialisée dont Lalah avait entendu parler, une Hyure avec un tatouage distinct au visage. Seulement, elle vous a expliqué qu'un groupe de malfrats avait agressé un de ses clients. Ni une ni deux, Lalah s'est lancée à son secours. Allez lui prêter main-forte.","","True","0x00000002","",""
"","TEXT_AKTKBB111_04069_SEQ_03<tab>True to your suspicions, the strangers are your fugitives─but who should the customer at their mercy be but Faldrinet. You force your way between the healer and his assailants, and a standoff ensues. After a tense exchange, Loifa uses his power to enhance an antling, but provoked to anger by Faldrinet, Mahaud and Ancel suddenly fall to their knees in pain. Though it is not immediately clear what is happening to them, your priority is to deal with the fell beast, which Faldrinet has lured away.","TEXT_AKTKBB111_04069_SEQ_03<tab>Alors que vous êtes arrivé<var 08 E905 ((e)) (()) /var>s sur les lieux de l'agression, vous avez découvert que Loifa et sa bande avaient encore pris le docteur Faldrinet pour cible. Le jeune Viéra a alors usé de sa magie pour renforcer une créature aux alentours et l'a dirigée contre le médecin. Afin de protéger les habitants du hameau de ce monstre, Faldrinet a décidé de battre en retraite. Retrouvez-le et abattez cette fourmi géante avant qu'il ne soit trop tard.","","True","0x00000003","",""
"","TEXT_AKTKBB111_04069_SEQ_04<tab>You catch up to the beast and put it down before it can cause harm. The deed done, you turn to assist Faldrinet.","TEXT_AKTKBB111_04069_SEQ_04<tab>Vous avez mis fin à la menace qui pesait sur le village. Parlez à Faldrinet.","","True","0x00000004","",""
"","TEXT_AKTKBB111_04069_SEQ_05<tab>Thanks to your ministrations, Faldrinet is soon back on his feet, and together you return to the scene of the confrontation with Loifa.","TEXT_AKTKBB111_04069_SEQ_05<tab>Vous avez secouru le docteur et il vous faut maintenant retourner voir Lalah Jinjahl dans le hameau.","","True","0x00000005","",""
"","TEXT_AKTKBB111_04069_SEQ_06<tab>You find Mahaud and Ancel still suffering from their mysterious ailment. Observing their symptoms prompts Lalah to recall rumors of a forbidden procedure said to have been conducted by a Sharlayan healer years ago─rumors that were summarily dismissed by the Forum. Nevertheless, the fugitives' plight gives her cause to wonder...but Loifa offers no confirmation and simply mocks her naivety. Again they make to teleport away, but ere they do so, the apothecary hesitantly steps forward, having recognized Mahaud and Ancel as her children...","TEXT_AKTKBB111_04069_SEQ_06<tab>À votre retour, vous avez retrouvé Lalah, toujours face à face avec Loifa. Ses compagnons étaient toujours souffrants, et leur état a ravivé la mémoire de votre amie à propos d'une série d'expériences interdites conduites à Sharlayan. Alors qu'elle allait questionner le jeune Viéra pour essayer de tirer cette histoire au clair, les trois évadés ont à nouveau réussi à s'éclipser. Parlez donc à Lalah. ","","True","0x00000006","",""
"","TEXT_AKTKBB111_04069_SEQ_07<tab>The confrontation thus concluded, the apothecary recounts her tale. Mahaud and Ancel are her adopted children, she explains, and when they were both gravely ill, a Sharlayan healer by the name of Guildivain appeared and offered to cure them. The man took them away, and she had not seen them for years...until they seemingly came for Faldrinet.","TEXT_AKTKBB111_04069_SEQ_07<tab>Votre amie vous a expliqué que la vue des deux comparses de Loifa à l'agonie a semé le doute dans son esprit. De plus, la marchande de chicotin que vous étiez venus chercher s'est révélée être la mère adoptive de Mahaud et Ancel. Elle vous en a appris un peu plus sur leur passé, et l'arrivée salvatrice d'un médecin sharlayanais nommé Guildivain, qui a promis de les aider, même si cela devait prendre plusieurs années. Reparlez à Lalah Jinjahl qui semble visiblement perturbée.","","True","0x00000007","",""
"","TEXT_AKTKBB111_04069_SEQ_08<tab>After Faldrinet takes his leave, the apothecary reveals that it was him rather than the fugitives who sought to purchase her muscmaloi. She also tells you about a merchant in Aleport from whom Faldrinet procures rare alchemical ingredients. The plot duly thickened, Lalah suggests returning to Idyllshire to ponder recent revelations.","TEXT_AKTKBB111_04069_SEQ_08<tab>Après le départ de Faldrinet, vous avez appris de la marchande que ce n'était pas Loifa mais Faldrinet qui venait acheter du chicotin chez elle. Bien décidée à mettre cette histoire au clair, Lalah Jinjahl vous invite à repartir pour Idyllée afin de faire le point.","","True","0x00000008","",""
"","TEXT_AKTKBB111_04069_SEQ_09<tab>Lalah confesses her confusion at recent developments, which seems to contradict her assumptions. The rumors of a renegade sage conducting depraved experiments are of particular concern, for the nature of the fugitives suggests there may be a kernel of truth to them─yet the Forum was nevertheless adamant in their denial. While she attempts to make sense of everything, you resolve to spend your time fruitfully by further honing your skills.<br><br>※The next sage quest will be available from Lalah Jinjahl upon reaching level 75.","TEXT_AKTKBB111_04069_SEQ_09<tab>Lalah a partagé avec vous ses doutes au vu des dernières révélations. Il semblerait que les in<var 16 /var>for<var 16 /var>ma<var 16 /var>tions qu'elle avait reçues sur Loifa et ses compagnons n'étaient pas tout à fait justes. Pendant que votre amie rumine ses théories, profitez-en pour continuer votre en<var 16 /var>traî<var 16 /var>ne<var 16 /var>ment et améliorer votre maîtrise des noulithes.<br>* Lalah propose la prochaine quête aux sages de niveau 75.","","True","0x00000009","",""
