"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESSUM701_04082_SEQ_00<tab>Mayaru Moyaru will stop at nothing to see that you enjoy the seasonal festivities to the fullest.<br>※This quest is available for a limited time only.","TEXT_FESSUM701_04082_SEQ_00<tab>* <var 1A 02 /var>Cette quête est un événement à durée limitée.<var 1A 01 /var><br><br>Mayaru Moyaru brûle d'impatience de vous parler des Feux de la Mort.","","True","0x00000000","",""
"","TEXT_FESSUM701_04082_SEQ_01<tab>Mayaru Moyaru eagerly welcomes you to celebrate this year's Moonfire Faire. As he tells it, the highlight of this year's festivities is to be a delightful dessert commissioned by the ever-generous Master Gegeruju, and his colleagues would welcome the aid of an adventurer like yourself in preparing it. He invites you to speak with his colleague Haermaga should you be so inclined to join the effort.<br><br>※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone.","TEXT_FESSUM701_04082_SEQ_01<tab>Cette quête ne peut être commencée et effectuée que pendant la durée de l'événement saisonnier correspondant. Pour plus de détails, veuillez consulter The Lodestone.<br><br>Mayaru Moyaru, un organisateur des Feux de la Mort, vous a parlé du festival se déroulant ac<var 16 /var>tu<var 16 /var>el<var 16 /var>le<var 16 /var>ment sur l'île de l'Éternel été, dans la Noscea orientale. Il vous a conseillé d'aller y faire un tour pour obtenir davantage de ren<var 16 /var>sei<var 16 /var>gne<var 16 /var>ments sur les desserts glacés qui seront à l'honneur cette année. Rendez-vous sur place et adressez-vous à Haermaga.","","True","0x00000001","",""
"","TEXT_FESSUM701_04082_SEQ_02<tab>Haermaga offers a hearty welcome, seemingly greatly relieved at your arrival. It would seem that preparations for the dessert Master Gegeruju has commissioned have hit an unfortunate snag─to wit, the ice that is to serve as the primary ingredient for the frosty delight is nowhere to be found. He encourages you to check in with his fellow faire attendant P'obyano and see what you might glean about its whereabouts.","TEXT_FESSUM701_04082_SEQ_02<tab>Bien embêté, Haermaga vous a demandé de l'approvisionner en glace pour préparer un maximum de desserts. Demandez de plus amples détails à P'obyano.","","True","0x00000002","",""
"","TEXT_FESSUM701_04082_SEQ_03<tab>P'obyano greets you and relates the situation in detail. Commissioned to craft the most delicious frozen dessert the realm has ever seen, a renowned confectioner named Nekeke struck out to the northern seas in search of the finest ice in all Eorzea─and naught has been heard from her since. As P'obyano ponders what might have befallen her special guest, you are interrupted by a scream coming from the beach. The faire attendant confirms that it is none other than Nekeke who appears to be drowning in the water, and you quickly rush to the confectioner's aid.","TEXT_FESSUM701_04082_SEQ_03<tab>Pendant que la Miqo'te vous expliquait la situation, vous avez entendu la voix d'un jeune baigneur appeler à l'aide. Quelqu'un serait en train de se noyer, et P'obyano craint qu'il ne s'agisse de Nekeke, la pâtissière qui s'occupait de préparer les fameux desserts. Qui que ce soit, allez vite sauver cette personne<var 1D /var>!","","True","0x00000003","",""
"","TEXT_FESSUM701_04082_SEQ_04<tab>Rescued from an untimely demise, Nekeke pieces together her fragmented memories and relates to you her travails. In retrieving a chunk of pristine ice from the harsh, snow-swept northern isles, it would appear that she inadvertently brought along with it a particularly blustery fiend that was responsible for sinking her ship, and now threatens to wreak havoc on the typically peaceful shores of Costa del Sol. P'obyano is quick to assure her, however, that you and your friends are more than up to the task of quelling this menace, and the two of you set off to consult with Haermaga about what might be done.","TEXT_FESSUM701_04082_SEQ_04<tab>La Lalafelle que vous avez secourue était bien Nekeke. Elle vous a expliqué que des bombardos givrés allergiques au soleil et aux températures élevées avaient fait naufrager son bateau. Retournez voir Haermaga pour mettre au point un plan d'attaque afin qu'ils ne viennent pas gâcher vos desserts.","","True","0x00000004","",""
"","TEXT_FESSUM701_04082_SEQ_05<tab>You apprise Haermaga of the situation, and are heartened indeed when a contingent of veteran battlers appears out of the blue to assist you in dispatching the Bombard threat. Steeling yourself for a heated battle, you prepare to face the explosive fiend. Make for the Isle of Endless Summer, and do your part to save the Moonfire Faire by defeating the Ice Bombards in the FATE “A Blizzard of Bombards.”<br><br>※The FATE “A Blizzard of Bombards” can only be completed as a Disciple of War or Magic.","TEXT_FESSUM701_04082_SEQ_05<tab>Les héritiers de la Brigade Anti-Bombardo et R'fhul Tia se sont proposés pour vous aider à débarrasser l'île de l'Éternel été des bombardos givrés. Accomplissez l'ALÉA “Des bombardos com<var 16 /var>plè<var 16 /var>te<var 16 /var>ment givrés” et faites revenir la paix et les cocktails sur la plage<var 1D /var>!<br>* Pour progresser dans cette quête, il est nécessaire d'accomplir l'ALÉA en tant que disciple de la guerre ou de la magie.","","True","0x00000005","",""
"","TEXT_FESSUM701_04082_SEQ_06<tab>Thanks to the bravery of you and your companions, the blustery Bombard menace has been banished from the Isle of Endless Summer, and Nekeke can at long last commence work on her masterpiece. Pay visit to the confectioner and let her know that she need worry about exploding balls of ice no longer.","TEXT_FESSUM701_04082_SEQ_06<tab>Vous avez exterminé les bombardos givrés. Retournez auprès de Nekeke.","","True","0x00000006","",""
"","TEXT_FESSUM701_04082_SEQ_07<tab>With the beaches of the Isle of Endless Summer safe once more, Nekeke vows to create a dessert that will please the Master Gegeruju's discerning palate and aesthetic eye. All that remains is to wait for her to complete her work before the festivities can truly begin.","TEXT_FESSUM701_04082_SEQ_07<tab>Maintenant que les Feux de la Mort peuvent se dérouler sans encombre, il est temps pour Nekeke de préparer les fameux desserts que tout le monde attend. Vous allez vous régaler<var 1D /var>!","","True","0x00000007","",""
"","TEXT_FESSUM701_04082_SEQ_08<tab>","TEXT_FESSUM701_04082_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_FESSUM701_04082_SEQ_09<tab>","TEXT_FESSUM701_04082_SEQ_09<tab>","","True","0x00000009","",""
