"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKLA406_04158_SEQ_00<tab>Hinageshi is in a reflective mood.","TEXT_AKTKLA406_04158_SEQ_00<tab>Hinageshi ist in Gedanken noch immer in Kugane.","","True","0x00000000","",""
"","TEXT_AKTKLA406_04158_SEQ_01<tab>Hinageshi has asked that you supply her with Elpis staples.

※Elpis staples can be gathered from the Hungering Gardens by miners, and from Anagnorisis by botanists.

※Minimum collectability rating for this delivery is 240. Delivering items with a rating of 600 or more will earn greater rewards.","TEXT_AKTKLA406_04158_SEQ_01<tab>Hinageshi bittet dich, sechs <var 32 ((ItemMP)) 06F28B13030502 /var> bei ihr abzuliefern.

※ Gärtner finden die Gegenstände an der Anagnorisis, Minenarbeiter beim Garten der tausend Klauen.
※ Die Gegenstände können ab einem Sammlerwert von 240 abgegeben werden. Ab einem Sammlerwert von 600 erhältst du jedoch zusätzliche Belohnungen.","","False","0x00000001","",""
"","TEXT_AKTKLA406_04158_SEQ_02<tab>You deliver the Elpis staples to Hinageshi. Professor Tankin appears to have taken Hinageshi's words to heart, and you sense a conclusion to their saga─romantic or otherwise─is about to be reached...","TEXT_AKTKLA406_04158_SEQ_02<tab>Hinageshi nimmt deine Lieferung dankend entgegen. Professor Tankin scheint sich ihre Worte zu Herzen genommen zu haben und du spürst, dass diese Geschichte langsam auf ihr Ende zugeht<var 1D /var>...","","False","0x00000002","",""
"","TEXT_AKTKLA406_04158_SEQ_03<tab>","TEXT_AKTKLA406_04158_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKLA406_04158_SEQ_04<tab>","TEXT_AKTKLA406_04158_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKLA406_04158_SEQ_05<tab>","TEXT_AKTKLA406_04158_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKLA406_04158_SEQ_06<tab>","TEXT_AKTKLA406_04158_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKLA406_04158_SEQ_07<tab>","TEXT_AKTKLA406_04158_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKLA406_04158_SEQ_08<tab>","TEXT_AKTKLA406_04158_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKLA406_04158_SEQ_09<tab>","TEXT_AKTKLA406_04158_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKLA406_04158_SEQ_10<tab>","TEXT_AKTKLA406_04158_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKLA406_04158_SEQ_11<tab>","TEXT_AKTKLA406_04158_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKLA406_04158_SEQ_12<tab>","TEXT_AKTKLA406_04158_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKLA406_04158_SEQ_13<tab>","TEXT_AKTKLA406_04158_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKLA406_04158_SEQ_14<tab>","TEXT_AKTKLA406_04158_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKLA406_04158_SEQ_15<tab>","TEXT_AKTKLA406_04158_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKLA406_04158_SEQ_16<tab>","TEXT_AKTKLA406_04158_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_AKTKLA406_04158_SEQ_17<tab>","TEXT_AKTKLA406_04158_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_AKTKLA406_04158_SEQ_18<tab>","TEXT_AKTKLA406_04158_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_AKTKLA406_04158_SEQ_19<tab>","TEXT_AKTKLA406_04158_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_AKTKLA406_04158_SEQ_20<tab>","TEXT_AKTKLA406_04158_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_AKTKLA406_04158_SEQ_21<tab>","TEXT_AKTKLA406_04158_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_AKTKLA406_04158_SEQ_22<tab>","TEXT_AKTKLA406_04158_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_AKTKLA406_04158_SEQ_23<tab>","TEXT_AKTKLA406_04158_SEQ_23<tab>","","True","0x00000017","",""
