"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKLA506_04165_SEQ_00<tab>T'laqa Tia is pondering the past.","TEXT_AKTKLA506_04165_SEQ_00<tab>T'laqa Tia is pondering the past.","","True","0x00000000","",""
"","TEXT_AKTKLA506_04165_SEQ_01<tab>T'laqa Tia has asked that you supply him with smaragdos for data collection purposes.

※Smaragdos can be fished from Lethe in Elpis using a sky spoon lure as bait.

※Minimum collectability rating for this delivery is 503. Delivering items with a rating of 1183 or more will earn greater rewards.","TEXT_AKTKLA506_04165_SEQ_01<tab>T'laqa Tia has asked that you supply him with smaragdos for data collection purposes.

※Smaragdos can be fished from Lethe in Elpis using a sky spoon lure as bait.

※Minimum collectability rating for this delivery is 503. Delivering items with a rating of 1183 or more will earn greater rewards.","","False","0x00000001","",""
"","TEXT_AKTKLA506_04165_SEQ_02<tab>You deliver the smaragdos to T'laqa Tia. It seems the associate professor has some soul-searching to do before he will be ready to submit his thesis.","TEXT_AKTKLA506_04165_SEQ_02<tab>You deliver the smaragdos to T'laqa Tia. It seems the associate professor has some soul-searching to do before he will be ready to submit his thesis.","","False","0x00000002","",""
"","TEXT_AKTKLA506_04165_SEQ_03<tab>","TEXT_AKTKLA506_04165_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKLA506_04165_SEQ_04<tab>","TEXT_AKTKLA506_04165_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKLA506_04165_SEQ_05<tab>","TEXT_AKTKLA506_04165_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKLA506_04165_SEQ_06<tab>","TEXT_AKTKLA506_04165_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKLA506_04165_SEQ_07<tab>","TEXT_AKTKLA506_04165_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKLA506_04165_SEQ_08<tab>","TEXT_AKTKLA506_04165_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKLA506_04165_SEQ_09<tab>","TEXT_AKTKLA506_04165_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKLA506_04165_SEQ_10<tab>","TEXT_AKTKLA506_04165_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKLA506_04165_SEQ_11<tab>","TEXT_AKTKLA506_04165_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKLA506_04165_SEQ_12<tab>","TEXT_AKTKLA506_04165_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKLA506_04165_SEQ_13<tab>","TEXT_AKTKLA506_04165_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKLA506_04165_SEQ_14<tab>","TEXT_AKTKLA506_04165_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKLA506_04165_SEQ_15<tab>","TEXT_AKTKLA506_04165_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKLA506_04165_SEQ_16<tab>","TEXT_AKTKLA506_04165_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_AKTKLA506_04165_SEQ_17<tab>","TEXT_AKTKLA506_04165_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_AKTKLA506_04165_SEQ_18<tab>","TEXT_AKTKLA506_04165_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_AKTKLA506_04165_SEQ_19<tab>","TEXT_AKTKLA506_04165_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_AKTKLA506_04165_SEQ_20<tab>","TEXT_AKTKLA506_04165_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_AKTKLA506_04165_SEQ_21<tab>","TEXT_AKTKLA506_04165_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_AKTKLA506_04165_SEQ_22<tab>","TEXT_AKTKLA506_04165_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_AKTKLA506_04165_SEQ_23<tab>","TEXT_AKTKLA506_04165_SEQ_23<tab>","","True","0x00000017","",""
"","TEXT_AKTKLA506_04165_TODO_00<tab>Catch smaragdos from Lethe in Elpis and deliver them to T'laqa Tia.","TEXT_AKTKLA506_04165_TODO_00<tab>Catch smaragdos from Lethe in Elpis and deliver them to T'laqa Tia.","","False","0x00000018","",""
"","TEXT_AKTKLA506_04165_TODO_01<tab>","TEXT_AKTKLA506_04165_TODO_01<tab>","","True","0x00000019","",""
"","TEXT_AKTKLA506_04165_TODO_02<tab>","TEXT_AKTKLA506_04165_TODO_02<tab>","","True","0x0000001A","",""
"","TEXT_AKTKLA506_04165_TODO_03<tab>","TEXT_AKTKLA506_04165_TODO_03<tab>","","True","0x0000001B","",""
"","TEXT_AKTKLA506_04165_TODO_04<tab>","TEXT_AKTKLA506_04165_TODO_04<tab>","","True","0x0000001C","",""
"","TEXT_AKTKLA506_04165_TODO_05<tab>","TEXT_AKTKLA506_04165_TODO_05<tab>","","True","0x0000001D","",""
"","TEXT_AKTKLA506_04165_TODO_06<tab>","TEXT_AKTKLA506_04165_TODO_06<tab>","","True","0x0000001E","",""
"","TEXT_AKTKLA506_04165_TODO_07<tab>","TEXT_AKTKLA506_04165_TODO_07<tab>","","True","0x0000001F","",""
"","TEXT_AKTKLA506_04165_TODO_08<tab>","TEXT_AKTKLA506_04165_TODO_08<tab>","","True","0x00000020","",""
"","TEXT_AKTKLA506_04165_TODO_09<tab>","TEXT_AKTKLA506_04165_TODO_09<tab>","","True","0x00000021","",""
"","TEXT_AKTKLA506_04165_TODO_10<tab>","TEXT_AKTKLA506_04165_TODO_10<tab>","","True","0x00000022","",""
"","TEXT_AKTKLA506_04165_TODO_11<tab>","TEXT_AKTKLA506_04165_TODO_11<tab>","","True","0x00000023","",""
"","TEXT_AKTKLA506_04165_TODO_12<tab>","TEXT_AKTKLA506_04165_TODO_12<tab>","","True","0x00000024","",""
"","TEXT_AKTKLA506_04165_TODO_13<tab>","TEXT_AKTKLA506_04165_TODO_13<tab>","","True","0x00000025","",""
"","TEXT_AKTKLA506_04165_TODO_14<tab>","TEXT_AKTKLA506_04165_TODO_14<tab>","","True","0x00000026","",""
"","TEXT_AKTKLA506_04165_TODO_15<tab>","TEXT_AKTKLA506_04165_TODO_15<tab>","","True","0x00000027","",""
"","TEXT_AKTKLA506_04165_TODO_16<tab>","TEXT_AKTKLA506_04165_TODO_16<tab>","","True","0x00000028","",""
"","TEXT_AKTKLA506_04165_TODO_17<tab>","TEXT_AKTKLA506_04165_TODO_17<tab>","","True","0x00000029","",""
"","TEXT_AKTKLA506_04165_TODO_18<tab>","TEXT_AKTKLA506_04165_TODO_18<tab>","","True","0x0000002A","",""
"","TEXT_AKTKLA506_04165_TODO_19<tab>","TEXT_AKTKLA506_04165_TODO_19<tab>","","True","0x0000002B","",""
"","TEXT_AKTKLA506_04165_TODO_20<tab>","TEXT_AKTKLA506_04165_TODO_20<tab>","","True","0x0000002C","",""
"","TEXT_AKTKLA506_04165_TODO_21<tab>","TEXT_AKTKLA506_04165_TODO_21<tab>","","True","0x0000002D","",""
"","TEXT_AKTKLA506_04165_TODO_22<tab>","TEXT_AKTKLA506_04165_TODO_22<tab>","","True","0x0000002E","",""
"","TEXT_AKTKLA506_04165_TODO_23<tab>","TEXT_AKTKLA506_04165_TODO_23<tab>","","True","0x0000002F","",""
"","TEXT_AKTKLA506_04165_SYSTEM_000_900<tab>In order to undertake this quest, you must complete the main scenario quest “Thou Must Live, Die, and Know.”","TEXT_AKTKLA506_04165_SYSTEM_000_900<tab>In order to undertake this quest, you must complete the main scenario quest “Thou Must Live, Die, and Know.”","","True","0x00000030","",""
"","TEXT_AKTKLA506_04165_TLAQATIA_100_001<tab>Oh, hello there. I've been racking my brains trying to come up with new ideas. Alas, nothing has come to me thus far.","TEXT_AKTKLA506_04165_TLAQATIA_100_001<tab>Oh, hello there. I've been racking my brains trying to come up with new ideas. Alas, nothing has come to me thus far.","","True","0x00000031","",""
"","TEXT_AKTKLA506_04165_TLAQATIA_000_001<tab>No matter how much I ponder, I keep coming back to the same thought. I have to get my hands on some specimens from a time before Zodiark came to be.","TEXT_AKTKLA506_04165_TLAQATIA_000_001<tab>No matter how much I ponder, I keep coming back to the same thought. I have to get my hands on some specimens from a time before Zodiark came to be.","","True","0x00000032","",""
"","TEXT_AKTKLA506_04165_TLAQATIA_000_002<tab>I simply can't accept that all the work I have put─<var 1A 02 /var>we<var 1A 01 /var> have put─into confirming my theory might amount to naught in the end!","TEXT_AKTKLA506_04165_TLAQATIA_000_002<tab>I simply can't accept that all the work I have put─<var 1A 02 /var>we<var 1A 01 /var> have put─into confirming my theory might amount to naught in the end!","","True","0x00000033","",""
"","TEXT_AKTKLA506_04165_TLAQATIA_000_003<tab>You know what? Give me any idea you've got, no matter how outlandish it may seem. Please, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! I am in dire need of inspiration!","TEXT_AKTKLA506_04165_TLAQATIA_000_003<tab>You know what? Give me any idea you've got, no matter how outlandish it may seem. Please, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! I am in dire need of inspiration!","","True","0x00000034","",""
"","TEXT_AKTKLA506_04165_Q1_000_000<tab>What will you say?","TEXT_AKTKLA506_04165_Q1_000_000<tab>What will you say?","","True","0x00000035","",""
"","TEXT_AKTKLA506_04165_A1_000_001<tab>So all you need is an ancient fish, right?","TEXT_AKTKLA506_04165_A1_000_001<tab>So all you need is an ancient fish, right?","","True","0x00000036","",""
"","TEXT_AKTKLA506_04165_A1_000_002<tab>You'd be surprised at what I can do...","TEXT_AKTKLA506_04165_A1_000_002<tab>You'd be surprised at what I can do...","","True","0x00000037","",""
"","TEXT_AKTKLA506_04165_TLAQATIA_000_009<tab>Oh, but you─ Wait... Do you truly mean it?","TEXT_AKTKLA506_04165_TLAQATIA_000_009<tab>Oh, but you─ Wait... Do you truly mean it?","","True","0x00000038","",""
