"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKZF011_04266_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Mihsaja wishes to read the fate of a brave adventurer.","TEXT_AKTKZF011_04266_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête<var 49 01 /var><var 48 01 /var><br>Mihsaja semble vouloir vous dire la bonne aventure.","","True","0x00000000","",""
"","TEXT_AKTKZF011_04266_SEQ_01<tab>","TEXT_AKTKZF011_04266_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_AKTKZF011_04266_SEQ_02<tab>","TEXT_AKTKZF011_04266_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_AKTKZF011_04266_SEQ_03<tab>","TEXT_AKTKZF011_04266_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKZF011_04266_SEQ_04<tab>","TEXT_AKTKZF011_04266_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKZF011_04266_SEQ_05<tab>","TEXT_AKTKZF011_04266_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKZF011_04266_SEQ_06<tab>","TEXT_AKTKZF011_04266_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKZF011_04266_SEQ_07<tab>","TEXT_AKTKZF011_04266_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKZF011_04266_SEQ_08<tab>","TEXT_AKTKZF011_04266_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKZF011_04266_SEQ_09<tab>","TEXT_AKTKZF011_04266_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKZF011_04266_SEQ_10<tab>","TEXT_AKTKZF011_04266_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKZF011_04266_SEQ_11<tab>","TEXT_AKTKZF011_04266_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKZF011_04266_SEQ_12<tab>","TEXT_AKTKZF011_04266_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKZF011_04266_SEQ_13<tab>","TEXT_AKTKZF011_04266_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKZF011_04266_SEQ_14<tab>","TEXT_AKTKZF011_04266_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKZF011_04266_SEQ_15<tab>","TEXT_AKTKZF011_04266_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKZF011_04266_SEQ_16<tab>","TEXT_AKTKZF011_04266_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_AKTKZF011_04266_SEQ_17<tab>","TEXT_AKTKZF011_04266_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_AKTKZF011_04266_SEQ_18<tab>","TEXT_AKTKZF011_04266_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_AKTKZF011_04266_SEQ_19<tab>","TEXT_AKTKZF011_04266_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_AKTKZF011_04266_SEQ_20<tab>","TEXT_AKTKZF011_04266_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_AKTKZF011_04266_SEQ_21<tab>","TEXT_AKTKZF011_04266_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_AKTKZF011_04266_SEQ_22<tab>","TEXT_AKTKZF011_04266_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_AKTKZF011_04266_SEQ_23<tab>","TEXT_AKTKZF011_04266_SEQ_23<tab>","","True","0x00000017","",""
"","TEXT_AKTKZF011_04266_TODO_00<tab>Gather spices to make chai tea.","TEXT_AKTKZF011_04266_TODO_00<tab>Obtenir des épices pour le chai","","True","0x00000018","",""
"","TEXT_AKTKZF011_04266_TODO_01<tab>Speak with Mihsaja.","TEXT_AKTKZF011_04266_TODO_01<tab>Parler à Mihsaja","","True","0x00000019","",""
"","TEXT_AKTKZF011_04266_TODO_02<tab>","TEXT_AKTKZF011_04266_TODO_02<tab>","","True","0x0000001A","",""
"","TEXT_AKTKZF011_04266_TODO_03<tab>","TEXT_AKTKZF011_04266_TODO_03<tab>","","True","0x0000001B","",""
"","TEXT_AKTKZF011_04266_TODO_04<tab>","TEXT_AKTKZF011_04266_TODO_04<tab>","","True","0x0000001C","",""
"","TEXT_AKTKZF011_04266_TODO_05<tab>","TEXT_AKTKZF011_04266_TODO_05<tab>","","True","0x0000001D","",""
"","TEXT_AKTKZF011_04266_TODO_06<tab>","TEXT_AKTKZF011_04266_TODO_06<tab>","","True","0x0000001E","",""
"","TEXT_AKTKZF011_04266_TODO_07<tab>","TEXT_AKTKZF011_04266_TODO_07<tab>","","True","0x0000001F","",""
"","TEXT_AKTKZF011_04266_TODO_08<tab>","TEXT_AKTKZF011_04266_TODO_08<tab>","","True","0x00000020","",""
"","TEXT_AKTKZF011_04266_TODO_09<tab>","TEXT_AKTKZF011_04266_TODO_09<tab>","","True","0x00000021","",""
"","TEXT_AKTKZF011_04266_TODO_10<tab>","TEXT_AKTKZF011_04266_TODO_10<tab>","","True","0x00000022","",""
"","TEXT_AKTKZF011_04266_TODO_11<tab>","TEXT_AKTKZF011_04266_TODO_11<tab>","","True","0x00000023","",""
"","TEXT_AKTKZF011_04266_TODO_12<tab>","TEXT_AKTKZF011_04266_TODO_12<tab>","","True","0x00000024","",""
"","TEXT_AKTKZF011_04266_TODO_13<tab>","TEXT_AKTKZF011_04266_TODO_13<tab>","","True","0x00000025","",""
"","TEXT_AKTKZF011_04266_TODO_14<tab>","TEXT_AKTKZF011_04266_TODO_14<tab>","","True","0x00000026","",""
"","TEXT_AKTKZF011_04266_TODO_15<tab>","TEXT_AKTKZF011_04266_TODO_15<tab>","","True","0x00000027","",""
"","TEXT_AKTKZF011_04266_TODO_16<tab>","TEXT_AKTKZF011_04266_TODO_16<tab>","","True","0x00000028","",""
"","TEXT_AKTKZF011_04266_TODO_17<tab>","TEXT_AKTKZF011_04266_TODO_17<tab>","","True","0x00000029","",""
"","TEXT_AKTKZF011_04266_TODO_18<tab>","TEXT_AKTKZF011_04266_TODO_18<tab>","","True","0x0000002A","",""
"","TEXT_AKTKZF011_04266_TODO_19<tab>","TEXT_AKTKZF011_04266_TODO_19<tab>","","True","0x0000002B","",""
"","TEXT_AKTKZF011_04266_TODO_20<tab>","TEXT_AKTKZF011_04266_TODO_20<tab>","","True","0x0000002C","",""
"","TEXT_AKTKZF011_04266_TODO_21<tab>","TEXT_AKTKZF011_04266_TODO_21<tab>","","True","0x0000002D","",""
"","TEXT_AKTKZF011_04266_TODO_22<tab>","TEXT_AKTKZF011_04266_TODO_22<tab>","","True","0x0000002E","",""
"","TEXT_AKTKZF011_04266_TODO_23<tab>","TEXT_AKTKZF011_04266_TODO_23<tab>","","True","0x0000002F","",""
"","TEXT_AKTKZF011_04266_MIHSAJA_000_000<tab>You have a look in your eyes I am well familiar with. You wish to see the threads of fate which guide you, yes? What if I told you they could be illuminated through the fine art of reading chai tea? ","TEXT_AKTKZF011_04266_MIHSAJA_000_000<tab>Salut voyageu<var 08 E905 ((se)) ((r)) /var><var 1D /var>! Dis-moi, on t'a déjà lu l'avenir dans le chai<var 1D /var>?","","True","0x00000030","",""
