"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKZG014_04289_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Hippothoe wishes to conduct another test of the ailouroi's capacity─and yours.","TEXT_AKTKZG014_04289_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Hippothoe wishes to conduct another test of the ailouroi's capacity─and yours.","","True","0x00000000","",""
"","TEXT_AKTKZG014_04289_SEQ_01<tab>","TEXT_AKTKZG014_04289_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_AKTKZG014_04289_SEQ_02<tab>","TEXT_AKTKZG014_04289_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_AKTKZG014_04289_SEQ_03<tab>","TEXT_AKTKZG014_04289_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKZG014_04289_SEQ_04<tab>","TEXT_AKTKZG014_04289_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKZG014_04289_SEQ_05<tab>","TEXT_AKTKZG014_04289_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKZG014_04289_SEQ_06<tab>","TEXT_AKTKZG014_04289_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKZG014_04289_SEQ_07<tab>","TEXT_AKTKZG014_04289_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKZG014_04289_SEQ_08<tab>","TEXT_AKTKZG014_04289_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKZG014_04289_SEQ_09<tab>","TEXT_AKTKZG014_04289_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKZG014_04289_SEQ_10<tab>","TEXT_AKTKZG014_04289_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKZG014_04289_SEQ_11<tab>","TEXT_AKTKZG014_04289_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKZG014_04289_SEQ_12<tab>","TEXT_AKTKZG014_04289_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKZG014_04289_SEQ_13<tab>","TEXT_AKTKZG014_04289_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKZG014_04289_SEQ_14<tab>","TEXT_AKTKZG014_04289_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKZG014_04289_SEQ_15<tab>","TEXT_AKTKZG014_04289_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKZG014_04289_SEQ_16<tab>","TEXT_AKTKZG014_04289_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_AKTKZG014_04289_SEQ_17<tab>","TEXT_AKTKZG014_04289_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_AKTKZG014_04289_SEQ_18<tab>","TEXT_AKTKZG014_04289_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_AKTKZG014_04289_SEQ_19<tab>","TEXT_AKTKZG014_04289_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_AKTKZG014_04289_SEQ_20<tab>","TEXT_AKTKZG014_04289_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_AKTKZG014_04289_SEQ_21<tab>","TEXT_AKTKZG014_04289_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_AKTKZG014_04289_SEQ_22<tab>","TEXT_AKTKZG014_04289_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_AKTKZG014_04289_SEQ_23<tab>","TEXT_AKTKZG014_04289_SEQ_23<tab>","","True","0x00000017","",""
"","TEXT_AKTKZG014_04289_TODO_00<tab>Speak with researchers at the Twelve Wonders.","TEXT_AKTKZG014_04289_TODO_00<tab>Speak with researchers at the Twelve Wonders.","","True","0x00000018","",""
"","TEXT_AKTKZG014_04289_TODO_01<tab>Speak with Hippothoe.","TEXT_AKTKZG014_04289_TODO_01<tab>Speak with Hippothoe.","","True","0x00000019","",""
"","TEXT_AKTKZG014_04289_TODO_02<tab>","TEXT_AKTKZG014_04289_TODO_02<tab>","","True","0x0000001A","",""
"","TEXT_AKTKZG014_04289_TODO_03<tab>","TEXT_AKTKZG014_04289_TODO_03<tab>","","True","0x0000001B","",""
"","TEXT_AKTKZG014_04289_TODO_04<tab>","TEXT_AKTKZG014_04289_TODO_04<tab>","","True","0x0000001C","",""
"","TEXT_AKTKZG014_04289_TODO_05<tab>","TEXT_AKTKZG014_04289_TODO_05<tab>","","True","0x0000001D","",""
"","TEXT_AKTKZG014_04289_TODO_06<tab>","TEXT_AKTKZG014_04289_TODO_06<tab>","","True","0x0000001E","",""
"","TEXT_AKTKZG014_04289_TODO_07<tab>","TEXT_AKTKZG014_04289_TODO_07<tab>","","True","0x0000001F","",""
"","TEXT_AKTKZG014_04289_TODO_08<tab>","TEXT_AKTKZG014_04289_TODO_08<tab>","","True","0x00000020","",""
"","TEXT_AKTKZG014_04289_TODO_09<tab>","TEXT_AKTKZG014_04289_TODO_09<tab>","","True","0x00000021","",""
"","TEXT_AKTKZG014_04289_TODO_10<tab>","TEXT_AKTKZG014_04289_TODO_10<tab>","","True","0x00000022","",""
"","TEXT_AKTKZG014_04289_TODO_11<tab>","TEXT_AKTKZG014_04289_TODO_11<tab>","","True","0x00000023","",""
"","TEXT_AKTKZG014_04289_TODO_12<tab>","TEXT_AKTKZG014_04289_TODO_12<tab>","","True","0x00000024","",""
"","TEXT_AKTKZG014_04289_TODO_13<tab>","TEXT_AKTKZG014_04289_TODO_13<tab>","","True","0x00000025","",""
"","TEXT_AKTKZG014_04289_TODO_14<tab>","TEXT_AKTKZG014_04289_TODO_14<tab>","","True","0x00000026","",""
"","TEXT_AKTKZG014_04289_TODO_15<tab>","TEXT_AKTKZG014_04289_TODO_15<tab>","","True","0x00000027","",""
"","TEXT_AKTKZG014_04289_TODO_16<tab>","TEXT_AKTKZG014_04289_TODO_16<tab>","","True","0x00000028","",""
"","TEXT_AKTKZG014_04289_TODO_17<tab>","TEXT_AKTKZG014_04289_TODO_17<tab>","","True","0x00000029","",""
"","TEXT_AKTKZG014_04289_TODO_18<tab>","TEXT_AKTKZG014_04289_TODO_18<tab>","","True","0x0000002A","",""
"","TEXT_AKTKZG014_04289_TODO_19<tab>","TEXT_AKTKZG014_04289_TODO_19<tab>","","True","0x0000002B","",""
"","TEXT_AKTKZG014_04289_TODO_20<tab>","TEXT_AKTKZG014_04289_TODO_20<tab>","","True","0x0000002C","",""
"","TEXT_AKTKZG014_04289_TODO_21<tab>","TEXT_AKTKZG014_04289_TODO_21<tab>","","True","0x0000002D","",""
"","TEXT_AKTKZG014_04289_TODO_22<tab>","TEXT_AKTKZG014_04289_TODO_22<tab>","","True","0x0000002E","",""
"","TEXT_AKTKZG014_04289_TODO_23<tab>","TEXT_AKTKZG014_04289_TODO_23<tab>","","True","0x0000002F","",""
"","TEXT_AKTKZG014_04289_HIPPOTHOE_000_000<tab>I am so pleased that you're willing to join us in further research.","TEXT_AKTKZG014_04289_HIPPOTHOE_000_000<tab>I am so pleased that you're willing to join us in further research.","","True","0x00000030","",""
"","TEXT_AKTKZG014_04289_HIPPOTHOE_000_001<tab>Thus far, you have noted this ailouros's response to stimuli.","TEXT_AKTKZG014_04289_HIPPOTHOE_000_001<tab>Thus far, you have noted this ailouros's response to stimuli.","","True","0x00000031","",""
"","TEXT_AKTKZG014_04289_HIPPOTHOE_000_002<tab>However, the ailouroi have one more <var 1A 02 /var>very<var 1A 01 /var> special capability. Aren't you curious?","TEXT_AKTKZG014_04289_HIPPOTHOE_000_002<tab>However, the ailouroi have one more <var 1A 02 /var>very<var 1A 01 /var> special capability. Aren't you curious?","","True","0x00000032","",""
"","TEXT_AKTKZG014_04289_HIPPOTHOE_000_003<tab>You will be pleased to know that I have dispatched one additional ailouros to fly about the Twelve Wonders, then. If she is working as designed, the phenomenon should be clearly observable.","TEXT_AKTKZG014_04289_HIPPOTHOE_000_003<tab>You will be pleased to know that I have dispatched one additional ailouros to fly about the Twelve Wonders, then. If she is working as designed, the phenomenon should be clearly observable.","","True","0x00000033","",""
"","TEXT_AKTKZG014_04289_HIPPOTHOE_000_004<tab>I expect that you will be able to collect evidence of it from my fellow researchers...say, Oloros, Deukalion, and Chloris? Do present your conclusions to me when you've finished!","TEXT_AKTKZG014_04289_HIPPOTHOE_000_004<tab>I expect that you will be able to collect evidence of it from my fellow researchers...say, Oloros, Deukalion, and Chloris? Do present your conclusions to me when you've finished!","","True","0x00000034","",""
"","TEXT_AKTKZG014_04289_GEALCAT04289_000_007<tab>Mrrrp!","TEXT_AKTKZG014_04289_GEALCAT04289_000_007<tab>Mrrrp!","","True","0x00000035","",""
"","TEXT_AKTKZG014_04289_HIPPOTHOE_000_010<tab>What fun would it be if I told you in advance? Better that you reach your own conclusions.","TEXT_AKTKZG014_04289_HIPPOTHOE_000_010<tab>What fun would it be if I told you in advance? Better that you reach your own conclusions.","","True","0x00000036","",""
"","TEXT_AKTKZG014_04289_OLOROS_000_020<tab>Isn't this the most darling familiar you have ever seen?","TEXT_AKTKZG014_04289_OLOROS_000_020<tab>Isn't this the most darling familiar you have ever seen?","","True","0x00000037","",""
"","TEXT_AKTKZG014_04289_OLOROS_000_021<tab>Behold its soft and fluffy fur, its pudgy belly, its charming little bell! Its eyes that gaze imploringly into the very depths of your soul!","TEXT_AKTKZG014_04289_OLOROS_000_021<tab>Behold its soft and fluffy fur, its pudgy belly, its charming little bell! Its eyes that gaze imploringly into the very depths of your soul!","","True","0x00000038","",""
"","TEXT_AKTKZG014_04289_OLOROS_000_022<tab>It makes you want to dismantle it and gobble its adorable aether right up, does it not?","TEXT_AKTKZG014_04289_OLOROS_000_022<tab>It makes you want to dismantle it and gobble its adorable aether right up, does it not?","","True","0x00000039","",""
"","TEXT_AKTKZG014_04289_OLOROS_000_023<tab>I dare not, of course─whoever it belongs to would be quite cross indeed. Yet even to gaze upon it stokes within me a creative passion the likes of which I've never known!","TEXT_AKTKZG014_04289_OLOROS_000_023<tab>I dare not, of course─whoever it belongs to would be quite cross indeed. Yet even to gaze upon it stokes within me a creative passion the likes of which I've never known!","","True","0x0000003A","",""
"","TEXT_AKTKZG014_04289_GEALCAT04289_000_024<tab>(-Ailouros-)M-Meeew...","TEXT_AKTKZG014_04289_GEALCAT04289_000_024<tab>(-Ailouros-)M-Meeew...","","True","0x0000003B","",""
"","TEXT_AKTKZG014_04289_OLOROS_000_025<tab>Alas, my muse! Perhaps I need create my own familiar of surpassing cuteness after all...","TEXT_AKTKZG014_04289_OLOROS_000_025<tab>Alas, my muse! Perhaps I need create my own familiar of surpassing cuteness after all...","","True","0x0000003C","",""
"","TEXT_AKTKZG014_04289_DEUKALION_000_030<tab>A tiny winged creature? Do you refer to Hippothoe's familiar, perchance? I did see it not long ago.","TEXT_AKTKZG014_04289_DEUKALION_000_030<tab>A tiny winged creature? Do you refer to Hippothoe's familiar, perchance? I did see it not long ago.","","True","0x0000003D","",""
"","TEXT_AKTKZG014_04289_DEUKALION_000_031<tab>I know not where it's gone off to, I regret to say. I would assist in your search, but I must put brush to parchment before I forget what I meant to write.","TEXT_AKTKZG014_04289_DEUKALION_000_031<tab>I know not where it's gone off to, I regret to say. I would assist in your search, but I must put brush to parchment before I forget what I meant to write.","","True","0x0000003E","",""
"","TEXT_AKTKZG014_04289_DEUKALION_000_032<tab>Outside of my observational duties, I have been laboring over a treatise on aquatic flora, you see. Yet rereading my work a moment ago, I was suddenly struck with how trite my conclusion sounds.","TEXT_AKTKZG014_04289_DEUKALION_000_032<tab>Outside of my observational duties, I have been laboring over a treatise on aquatic flora, you see. Yet rereading my work a moment ago, I was suddenly struck with how trite my conclusion sounds.","","True","0x0000003F","",""
"","TEXT_AKTKZG014_04289_DEUKALION_000_033<tab>I believe I know precisely how to strengthen it, however. I daresay even Halmarut shall be impressed by my insight!","TEXT_AKTKZG014_04289_DEUKALION_000_033<tab>I believe I know precisely how to strengthen it, however. I daresay even Halmarut shall be impressed by my insight!","","True","0x00000040","",""
"","TEXT_AKTKZG014_04289_CHLORIS_000_040<tab>I would advise you to keep your head down─I saw some manner of creature darting about in the air just now. If it carries on like that, it's only a matter of time before it collides with someone's skull.","TEXT_AKTKZG014_04289_CHLORIS_000_040<tab>I would advise you to keep your head down─I saw some manner of creature darting about in the air just now. If it carries on like that, it's only a matter of time before it collides with someone's skull.","","True","0x00000041","",""
"","TEXT_AKTKZG014_04289_CHLORIS_000_041<tab>It startled me so badly that I accidentally created a winged fish─of all things!─which itself escaped to the skies ere I knew it...","TEXT_AKTKZG014_04289_CHLORIS_000_041<tab>It startled me so badly that I accidentally created a winged fish─of all things!─which itself escaped to the skies ere I knew it...","","True","0x00000042","",""
"","TEXT_AKTKZG014_04289_CHLORIS_000_042<tab>Though, now that I have a moment to reflect on its speedy departure, perhaps the ability to fly is not so wasted upon aquatic creatures as I believed. Surely such a boon would give them heretofore unknown capacity to evade predation...","TEXT_AKTKZG014_04289_CHLORIS_000_042<tab>Though, now that I have a moment to reflect on its speedy departure, perhaps the ability to fly is not so wasted upon aquatic creatures as I believed. Surely such a boon would give them heretofore unknown capacity to evade predation...","","True","0x00000043","",""
"","TEXT_AKTKZG014_04289_CHLORIS_000_043<tab>The recent fashion for flying concepts may have something to it after all. I really must pay visit to the Bureau of the Architect next I'm in Amaurot─I doubt anyone has registered a <var 1A 02 /var>winged fish<var 1A 01 /var> yet.","TEXT_AKTKZG014_04289_CHLORIS_000_043<tab>The recent fashion for flying concepts may have something to it after all. I really must pay visit to the Bureau of the Architect next I'm in Amaurot─I doubt anyone has registered a <var 1A 02 /var>winged fish<var 1A 01 /var> yet.","","True","0x00000044","",""
"","TEXT_AKTKZG014_04289_OLOROS_000_050<tab>Soft fur...wide eyes... Hmm, what else should I add?","TEXT_AKTKZG014_04289_OLOROS_000_050<tab>Soft fur...wide eyes... Hmm, what else should I add?","","True","0x00000045","",""
