"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKMB116_04395_SEQ_00<tab>Now that you've recovered, Lucia would have a word with you.","TEXT_AKTKMB116_04395_SEQ_00<tab>キャンプ・ブロークングラスのルキアは、冒険者の帰還に安堵したようだ。","","True","0x00000000","",""
"","TEXT_AKTKMB116_04395_SEQ_01<tab>As you recount what befell you whilst Zenos was occupying your body, it becomes clear to those present that both the primal Anima and the Telophoroi are based in the Tower of Babil─as suspected─so it is there that you must go to confront them. Fortunately, contingent scouts have identified a viable route of ingress, and Lucia has a plan of attack already prepared. While others create a diversion above ground, you are to slip into the tower via an underground tunnel alongside the Scions and some few allies.","TEXT_AKTKMB116_04395_SEQ_01<tab>ルキアたちと、バブイルの塔を攻略するための作戦を確認した。ガレマルドのフォルム・パーテンズにいる「リセ」と話そう。","","True","0x00000001","",""
"","TEXT_AKTKMB116_04395_SEQ_02<tab>Your meeting with Lyse and company at Forum Patens to review your roles in the coming operation proceeds smoothly, with no more than the usual amount of bickering amongst the Azim Steppe delegation. So as not to attract attention, the group will need to travel separately until you reach the Enceladeum, where the entrance to the tunnel can be found.","TEXT_AKTKMB116_04395_SEQ_02<tab>突入班の仲間たちと合流した。ガレマルドのエンセラダス魔導工廠にいる「ピピン」と話そう。","","True","0x00000002","",""
"","TEXT_AKTKMB116_04395_SEQ_03<tab>Pipin greets you at the Enceladeum, unaware of the details of your possession but nevertheless pleased to see you recovered enough to take part in the battle to come. He directs you to the representative from Lente's Tears who will serve as your guide to the underground station, promising to send your other comrades along when they arrive.","TEXT_AKTKMB116_04395_SEQ_03<tab>ピピンから行動開始まで待機するよう言われた。エンセラダス魔導工廠の貨物駅にある「<var 28 ((EObj)) F61EB3D001 /var>」で待機しよう。
貨物駅へは、エンセラダス魔導工廠にいる「レンテの涙の派遣団員」が案内してくれるようだ。","","True","0x00000003","",""
"","TEXT_AKTKMB116_04395_SEQ_04<tab>You enter the underground station, where you are soon joined by your remaining comrades. A ruckus can be heard from above ground─your cue to board the train and infiltrate the Tower of Babil.

※To enlist your companion NPCs for this duty, speak with them near the entrance or access Duty Support via the main menu. Use the Duty Finder if you wish to complete the instance alongside fellow players.","TEXT_AKTKMB116_04395_SEQ_04<tab>行動開始となった。イルサバード派遣団の面々とともに「バブイルの塔」を攻略しよう。

※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。
※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。","","False","0x00000004","",""
"","TEXT_AKTKMB116_04395_SEQ_05<tab>Fighting past tempered soldiers and all manner of monstrosities, you succeed in breaching the top of the tower, where you come face-to-face with the terrifying primal known as Anima. Demonstrating your might is more fearsome than any would-be god of empire, you succeed in putting the soul of His Radiance, Varis zos Galvus, to rest at last. Now nothing stands between you and the long-awaited confrontation with the Telophoroi's commanders.","TEXT_AKTKMB116_04395_SEQ_05<tab>バブイルの塔で、アニマを倒した。ゼノスとファダニエルを探して、さらに上の階を目指そう。
一度外に出た場合、エンセラダス魔導工廠にいる「レンテの涙の派遣団員」が案内してくれるようだ。","","True","0x00000005","",""
"","TEXT_AKTKMB116_04395_SEQ_06<tab>Though you catch Zenos and Fandaniel in the act, they have already harnessed much of the tower's aether and nearly succeeded in freeing Zodiark from His imprisonment. Suddenly, Krile appears, her body acting as a conduit for Hydaelyn, who is able to preserve the remaining shackles that bind Her ancient foe. For a moment, it appears that Fandaniel's plan has failed when the last of the tower's aether is exhausted, but he quickly changes tack and teleports himself and Zenos to the moon, that they might destroy the protective barrier in person. As a parting gift, they reveal that Anima, as its final act, issued an order to the tempered throughout Garlemald to fight unto their dying breath, and this diversion is enough to allow the Telophoroi to utilize their gate and make their escape. For a mercy, Hydaelyn manages to divert their aether current far from their destination, giving you a chance to travel to the moon yourself and forestall Zodiark's release.","TEXT_AKTKMB116_04395_SEQ_06<tab>テロフォロイのふたりを追い詰めるも、月へと向かわれてしまった。バブイルの塔の神門の間にいるアルフィノと話そう。","","True","0x00000006","",""
"","TEXT_AKTKMB116_04395_SEQ_07<tab>Alphinaud and the other Scions vow to prevent the situation in Garlemald from escalating and spare the tempered a terrible fate. Meanwhile, you alone must pursue the Telophoroi to the moon, and stop them ere it is too late.","TEXT_AKTKMB116_04395_SEQ_07<tab>アルフィノと、互いの健闘を祈った。ゾディアークの封印が突破されてしまう前に、テロフォロイを止めよう！","","True","0x00000007","",""
"","TEXT_AKTKMB116_04395_SEQ_08<tab>","TEXT_AKTKMB116_04395_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKMB116_04395_SEQ_09<tab>","TEXT_AKTKMB116_04395_SEQ_09<tab>","","True","0x00000009","",""
