"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKZI013_04328_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Charmont's eyes have a faraway look about them, as if he is thinking great thoughts.","TEXT_AKTKZI013_04328_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Charmont's eyes have a faraway look about them, as if he is thinking great thoughts.","","True","0x00000000","",""
"","TEXT_AKTKZI013_04328_SEQ_01<tab>","TEXT_AKTKZI013_04328_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_AKTKZI013_04328_SEQ_02<tab>","TEXT_AKTKZI013_04328_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_AKTKZI013_04328_SEQ_03<tab>","TEXT_AKTKZI013_04328_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKZI013_04328_SEQ_04<tab>","TEXT_AKTKZI013_04328_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKZI013_04328_SEQ_05<tab>","TEXT_AKTKZI013_04328_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKZI013_04328_SEQ_06<tab>","TEXT_AKTKZI013_04328_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKZI013_04328_SEQ_07<tab>","TEXT_AKTKZI013_04328_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKZI013_04328_SEQ_08<tab>","TEXT_AKTKZI013_04328_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKZI013_04328_SEQ_09<tab>","TEXT_AKTKZI013_04328_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKZI013_04328_SEQ_10<tab>","TEXT_AKTKZI013_04328_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKZI013_04328_SEQ_11<tab>","TEXT_AKTKZI013_04328_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKZI013_04328_SEQ_12<tab>","TEXT_AKTKZI013_04328_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKZI013_04328_SEQ_13<tab>","TEXT_AKTKZI013_04328_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKZI013_04328_SEQ_14<tab>","TEXT_AKTKZI013_04328_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKZI013_04328_SEQ_15<tab>","TEXT_AKTKZI013_04328_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKZI013_04328_SEQ_16<tab>","TEXT_AKTKZI013_04328_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_AKTKZI013_04328_SEQ_17<tab>","TEXT_AKTKZI013_04328_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_AKTKZI013_04328_SEQ_18<tab>","TEXT_AKTKZI013_04328_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_AKTKZI013_04328_SEQ_19<tab>","TEXT_AKTKZI013_04328_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_AKTKZI013_04328_SEQ_20<tab>","TEXT_AKTKZI013_04328_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_AKTKZI013_04328_SEQ_21<tab>","TEXT_AKTKZI013_04328_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_AKTKZI013_04328_SEQ_22<tab>","TEXT_AKTKZI013_04328_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_AKTKZI013_04328_SEQ_23<tab>","TEXT_AKTKZI013_04328_SEQ_23<tab>","","True","0x00000017","",""
"","TEXT_AKTKZI013_04328_TODO_00<tab>Wait at the specified location, use the herbicidal tincture on the massive berkanan, then slay it.","TEXT_AKTKZI013_04328_TODO_00<tab>Wait at the specified location, use the herbicidal tincture on the massive berkanan, then slay it.","","True","0x00000018","",""
"","TEXT_AKTKZI013_04328_TODO_01<tab>Speak with Charmont.","TEXT_AKTKZI013_04328_TODO_01<tab>Speak with Charmont.","","True","0x00000019","",""
"","TEXT_AKTKZI013_04328_TODO_02<tab>","TEXT_AKTKZI013_04328_TODO_02<tab>","","True","0x0000001A","",""
"","TEXT_AKTKZI013_04328_TODO_03<tab>","TEXT_AKTKZI013_04328_TODO_03<tab>","","True","0x0000001B","",""
"","TEXT_AKTKZI013_04328_TODO_04<tab>","TEXT_AKTKZI013_04328_TODO_04<tab>","","True","0x0000001C","",""
"","TEXT_AKTKZI013_04328_TODO_05<tab>","TEXT_AKTKZI013_04328_TODO_05<tab>","","True","0x0000001D","",""
"","TEXT_AKTKZI013_04328_TODO_06<tab>","TEXT_AKTKZI013_04328_TODO_06<tab>","","True","0x0000001E","",""
"","TEXT_AKTKZI013_04328_TODO_07<tab>","TEXT_AKTKZI013_04328_TODO_07<tab>","","True","0x0000001F","",""
"","TEXT_AKTKZI013_04328_TODO_08<tab>","TEXT_AKTKZI013_04328_TODO_08<tab>","","True","0x00000020","",""
"","TEXT_AKTKZI013_04328_TODO_09<tab>","TEXT_AKTKZI013_04328_TODO_09<tab>","","True","0x00000021","",""
"","TEXT_AKTKZI013_04328_TODO_10<tab>","TEXT_AKTKZI013_04328_TODO_10<tab>","","True","0x00000022","",""
"","TEXT_AKTKZI013_04328_TODO_11<tab>","TEXT_AKTKZI013_04328_TODO_11<tab>","","True","0x00000023","",""
"","TEXT_AKTKZI013_04328_TODO_12<tab>","TEXT_AKTKZI013_04328_TODO_12<tab>","","True","0x00000024","",""
"","TEXT_AKTKZI013_04328_TODO_13<tab>","TEXT_AKTKZI013_04328_TODO_13<tab>","","True","0x00000025","",""
"","TEXT_AKTKZI013_04328_TODO_14<tab>","TEXT_AKTKZI013_04328_TODO_14<tab>","","True","0x00000026","",""
"","TEXT_AKTKZI013_04328_TODO_15<tab>","TEXT_AKTKZI013_04328_TODO_15<tab>","","True","0x00000027","",""
"","TEXT_AKTKZI013_04328_TODO_16<tab>","TEXT_AKTKZI013_04328_TODO_16<tab>","","True","0x00000028","",""
"","TEXT_AKTKZI013_04328_TODO_17<tab>","TEXT_AKTKZI013_04328_TODO_17<tab>","","True","0x00000029","",""
"","TEXT_AKTKZI013_04328_TODO_18<tab>","TEXT_AKTKZI013_04328_TODO_18<tab>","","True","0x0000002A","",""
"","TEXT_AKTKZI013_04328_TODO_19<tab>","TEXT_AKTKZI013_04328_TODO_19<tab>","","True","0x0000002B","",""
"","TEXT_AKTKZI013_04328_TODO_20<tab>","TEXT_AKTKZI013_04328_TODO_20<tab>","","True","0x0000002C","",""
"","TEXT_AKTKZI013_04328_TODO_21<tab>","TEXT_AKTKZI013_04328_TODO_21<tab>","","True","0x0000002D","",""
"","TEXT_AKTKZI013_04328_TODO_22<tab>","TEXT_AKTKZI013_04328_TODO_22<tab>","","True","0x0000002E","",""
"","TEXT_AKTKZI013_04328_TODO_23<tab>","TEXT_AKTKZI013_04328_TODO_23<tab>","","True","0x0000002F","",""
"","TEXT_AKTKZI013_04328_CHARMONT_000_000<tab>What luck! You are just the gallant sort I was in search of.","TEXT_AKTKZI013_04328_CHARMONT_000_000<tab>What luck! You are just the gallant sort I was in search of.","","True","0x00000030","",""
"","TEXT_AKTKZI013_04328_CHARMONT_000_001<tab>You see, I've whipped up an experimental new tincture, one that brings low a certain type of fiend. I had hoped a brave adventurer might test its efficacy for me in the field.","TEXT_AKTKZI013_04328_CHARMONT_000_001<tab>You see, I've whipped up an experimental new tincture, one that brings low a certain type of fiend. I had hoped a brave adventurer might test its efficacy for me in the field.","","True","0x00000031","",""
"","TEXT_AKTKZI013_04328_CHARMONT_000_002<tab>And since you're here, perhaps <var 1A 02 /var>you<var 1A 01 /var> could fill that role? Good. Now then, about this solution of mine! With the help of some gleaners, I've crafted a concoction that can intenerate even the hardest of seedkin's casings, allowing one to make quick work of the beasts.","TEXT_AKTKZI013_04328_CHARMONT_000_002<tab>And since you're here, perhaps <var 1A 02 /var>you<var 1A 01 /var> could fill that role? Good. Now then, about this solution of mine! With the help of some gleaners, I've crafted a concoction that can intenerate even the hardest of seedkin's casings, allowing one to make quick work of the beasts.","","True","0x00000032","",""
"","TEXT_AKTKZI013_04328_CHARMONT_000_003<tab>Or so my hypothesis goes, anyway. Alas, my genius remains untested and thus unproven─which is where you come in. One so well versed in the ways of war should have no trouble at all verifying the tincture's efficacy, I should think.","TEXT_AKTKZI013_04328_CHARMONT_000_003<tab>Or so my hypothesis goes, anyway. Alas, my genius remains untested and thus unproven─which is where you come in. One so well versed in the ways of war should have no trouble at all verifying the tincture's efficacy, I should think.","","True","0x00000033","",""
"","TEXT_AKTKZI013_04328_CHARMONT_000_004<tab>Based on the information I have ascertained, an oversized berkanan can be found wandering about to the west of Logistikon Beta. Douse that sadistic seedkin in my newest nostrum and bash it into a bloody pulp for me, would you?","TEXT_AKTKZI013_04328_CHARMONT_000_004<tab>Based on the information I have ascertained, an oversized berkanan can be found wandering about to the west of Logistikon Beta. Douse that sadistic seedkin in my newest nostrum and bash it into a bloody pulp for me, would you?","","True","0x00000034","",""
"","TEXT_AKTKZI013_04328_CHARMONT_000_008<tab>What wonders I'm capable of confecting. Well, I suppose we don't know as of yet whether this particular experiment of mine is a wonder...though I can hardly imagine it is anything but!","TEXT_AKTKZI013_04328_CHARMONT_000_008<tab>What wonders I'm capable of confecting. Well, I suppose we don't know as of yet whether this particular experiment of mine is a wonder...though I can hardly imagine it is anything but!","","True","0x00000035","",""
"","TEXT_AKTKZI013_04328_CHARMONT_000_010<tab>Why, not a scratch on you. I take this to mean my serum did its job, then?","TEXT_AKTKZI013_04328_CHARMONT_000_010<tab>Why, not a scratch on you. I take this to mean my serum did its job, then?","","True","0x00000036","",""
"","TEXT_AKTKZI013_04328_Q1_000_000<tab>What will you say?","TEXT_AKTKZI013_04328_Q1_000_000<tab>What will you say?","","True","0x00000037","",""
"","TEXT_AKTKZI013_04328_A1_000_001<tab>It most certainly did.","TEXT_AKTKZI013_04328_A1_000_001<tab>It most certainly did.","","True","0x00000038","",""
"","TEXT_AKTKZI013_04328_A1_000_002<tab>I didn't bother using it.","TEXT_AKTKZI013_04328_A1_000_002<tab>I didn't bother using it.","","True","0x00000039","",""
"","TEXT_AKTKZI013_04328_CHARMONT_000_011<tab>Is that so? Goodness, my genius is rather startling, isn't it? That was a tincture most hastily thrown together─nary a thought was put into it.","TEXT_AKTKZI013_04328_CHARMONT_000_011<tab>Is that so? Goodness, my genius is rather startling, isn't it? That was a tincture most hastily thrown together─nary a thought was put into it.","","True","0x0000003A","",""
"","TEXT_AKTKZI013_04328_CHARMONT_000_012<tab>What? This is most disappointing. You have rendered this whole exercise utterly meaningless. Still, it is impressive that you were able to bring the beast to its bark-covered knees when so many others have failed before you.","TEXT_AKTKZI013_04328_CHARMONT_000_012<tab>What? This is most disappointing. You have rendered this whole exercise utterly meaningless. Still, it is impressive that you were able to bring the beast to its bark-covered knees when so many others have failed before you.","","True","0x0000003B","",""
"","TEXT_AKTKZI013_04328_CHARMONT_000_013<tab>At any rate, I thank you for services rendered. Here, for your troubles. Well then, I must return to my pondering─these theories of mine won't hypothesize themselves!","TEXT_AKTKZI013_04328_CHARMONT_000_013<tab>At any rate, I thank you for services rendered. Here, for your troubles. Well then, I must return to my pondering─these theories of mine won't hypothesize themselves!","","True","0x0000003C","",""
