"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKMC107_04405_SEQ_00<tab>By now, Thancred can tell when his friends are up to something.","TEXT_AKTKMC107_04405_SEQ_00<tab>Thancred beschäftigt offenbar etwas.","","True","0x00000000","",""
"","TEXT_AKTKMC107_04405_SEQ_01<tab>Thancred suspects Urianger is keeping secrets again, and while there is no doubt your enigmatic comrade would only do so with the best of intentions, the weary bard cannot help but worry. He asks you to follow Urianger while he and Y'shtola continue to learn what they can of the Final Days.","TEXT_AKTKMC107_04405_SEQ_01<tab>Thancred hat den unbestimmten Eindruck, dass mit Urianger etwas nicht stimmt. Ihr seid euch zwar sicher, dass euer Freund keine bösen Absichten hegt, und doch macht ihr euch ein wenig Sorgen um ihn. Thancred bittet dich daher, Urianger aufzusuchen, um herauszufinden, was los ist. Er und Y'shtola sehen sich derweil weiter bei den Loporrit um.","","True","0x00000001","",""
"","TEXT_AKTKMC107_04405_SEQ_02<tab>You reach the aetheryte in the central plaza of Bestways Burrow, and spy Urianger heading out to Mare Lamentorum. What could possibly demand his attention outside?","TEXT_AKTKMC107_04405_SEQ_02<tab>Du erreichst den Ätheryten in Bestways Rast und entdeckst Urianger, wie er sich in Richtung des Ausgangs zum Mare Lamentorum begibt. Was er wohl dort draußen vorhat? Halte am <var 32 ((EObj)) 06F61EB419020402 /var> Ausschau.","","True","0x00000002","",""
"","TEXT_AKTKMC107_04405_SEQ_03<tab>Stepping out from the entrance to Bestways Burrow, you see Urianger making his ascent up and out to Mare Lamentorum. It would be a simple task to catch up with him, but it would perhaps be wiser to follow at a distance and see where he is heading.<br><br>※You must follow Urianger to complete this task. Return to the designated location should you become separated.","TEXT_AKTKMC107_04405_SEQ_03<tab>Als du Bestways Rast verlässt, erspähst du Urianger, wie er langsam den Weg Richtung Mare Lamentorum hinaufgeht. Du könntest ihn zwar direkt zur Rede stellen, entscheidest dich aber stattdessen, ihm noch etwas zu folgen. Mal sehen, wohin sein Weg ihn führt<var 1D /var>...<br><br>※ Solltest du dich vor Abschluss des Auftrags zu weit von Urianger entfernen oder von ihm entdeckt werden, kannst du zum <var 32 ((EObj)) 06F61EB523020402 /var> zurückkehren, um die Verfolgung erneut aufzunehmen.","","True","0x00000003","",""
"","TEXT_AKTKMC107_04405_SEQ_04<tab>Urianger comes to an abrupt stop, and it becomes clear he has been aware of your presence for some time. The two of you have a candid conversation about Urianger's many regrets, and his aversion to keeping secrets from you and the other Scions moving forward. He then thanks you for this rare opportunity to speak so openly.","TEXT_AKTKMC107_04405_SEQ_04<tab>Urianger bleibt abrupt stehen. Schnell wird klar, dass er deiner Anwesenheit schon eine Weile gewahr war. Es folgt eine sehr persönliche Unterhaltung mit dem Sternendeuter, in der er dir viele seiner inneren Konflikte offenbart. Es scheint ihn zu zerreißen, dass er in der Ver<var 16 /var>gangen<var 16 /var>heit immer wieder Geheimnisse vor dir und seinen Freunden wahren musste<var 1D /var>- Geheimnisse, die letzten Endes Opfer im Namen des Allgemeinwohls nach sich zogen. Er fühlt sich verantwortlich für den Tod seiner Gefährten, und insbesondere der Verlust Moenbrydas hat ihm schwer zugesetzt. Nachdem er sich seinen Kummer von der Seele geredet hat, ist eine schwere Last von seinen Schultern genommen. Urianger dankt dir für die Gelegenheit, so offen zu sprechen, bevor er erneut in die gewohnte Rolle des unnahbaren Mystikers schlüpft.","","True","0x00000004","",""
"","TEXT_AKTKMC107_04405_SEQ_05<tab>Urianger has a plan to help facilitate more forthright cooperation with the Loporrits, but he will need your help to see it through.","TEXT_AKTKMC107_04405_SEQ_05<tab>Mit frischem Mut beschließt Urianger, die Miss<var 16 /var>ver<var 16 /var>ständ<var 16 /var>nisse mit den Loporrit auszuräumen und eine engere Zusammenarbeit vorzuschlagen. Allerdings bräuchte er dafür noch deine Unterstützung<var 1D /var>...","","True","0x00000005","",""
"","TEXT_AKTKMC107_04405_SEQ_06<tab>","TEXT_AKTKMC107_04405_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKMC107_04405_SEQ_07<tab>","TEXT_AKTKMC107_04405_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKMC107_04405_SEQ_08<tab>","TEXT_AKTKMC107_04405_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKMC107_04405_SEQ_09<tab>","TEXT_AKTKMC107_04405_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKMC107_04405_SEQ_10<tab>","TEXT_AKTKMC107_04405_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKMC107_04405_SEQ_11<tab>","TEXT_AKTKMC107_04405_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKMC107_04405_SEQ_12<tab>","TEXT_AKTKMC107_04405_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKMC107_04405_SEQ_13<tab>","TEXT_AKTKMC107_04405_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKMC107_04405_SEQ_14<tab>","TEXT_AKTKMC107_04405_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKMC107_04405_SEQ_15<tab>","TEXT_AKTKMC107_04405_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKMC107_04405_SEQ_16<tab>","TEXT_AKTKMC107_04405_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_AKTKMC107_04405_SEQ_17<tab>","TEXT_AKTKMC107_04405_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_AKTKMC107_04405_SEQ_18<tab>","TEXT_AKTKMC107_04405_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_AKTKMC107_04405_SEQ_19<tab>","TEXT_AKTKMC107_04405_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_AKTKMC107_04405_SEQ_20<tab>","TEXT_AKTKMC107_04405_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_AKTKMC107_04405_SEQ_21<tab>","TEXT_AKTKMC107_04405_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_AKTKMC107_04405_SEQ_22<tab>","TEXT_AKTKMC107_04405_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_AKTKMC107_04405_SEQ_23<tab>","TEXT_AKTKMC107_04405_SEQ_23<tab>","","True","0x00000017","",""
