"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKMF101_04439_SEQ_00<tab>Though you and Krile both have news to share, hers is perhaps the more urgent.","TEXT_AKTKMF101_04439_SEQ_00<tab>Krile veut vous tenir au courant des événements survenus dans le monde primitif pendant votre absence.","","True","0x00000000","",""
"","TEXT_AKTKMF101_04439_SEQ_01<tab>Much and more has occurred during your sojourn to the First. Krile and Tataru offer a brief summary of the Forum's recent activities─of particular note, the plan to relocate Thavnairian refugees to Garlemald. Having learned of the device within the Tower of Babil, the Forum intends to utilize it to teleport them to the moon. Several of the Scions traveled to Camp Broken Glass to serve as an escort for the refugees, but have fallen out of contact since shortly after their arrival. Krile fears that the Final Days have come to Garlemald, and that your allies have come under attack, and so she urges you to rush to their aid.","TEXT_AKTKMF101_04439_SEQ_01<tab>Vos amis Héritiers ont enquêté chacun de leur côté pendant que vous étiez à Elpis. Alphinaud, Alisaie, Estinien et G'raha Tia sont partis à Garlemald, afin d'escorter un convoi d'aéronefs transportant les réfugiés thavnairois en partance pour la lune. Mal<var 16 /var>heu<var 16 /var>reu<var 16 /var>se<var 16 /var>ment, les effets de l'apocalypse ont commencé à se faire sentir là-bas peu après leur arrivée, et depuis, vous n'avez plus de nouvelles. Krile et Tataru vous ont prié<var 08 E905 ((e)) (()) /var> de vous rendre au camp Bris-de-glace pour leur offrir assistance. Parlez à Lucia une fois que vous serez sur place.","","True","0x00000001","",""
"","TEXT_AKTKMF101_04439_SEQ_02<tab>At Camp Broken Glass, Lucia informs you that while the Forum's airship has apparently landed safely on the Magna Glacies, the skies above Garlemald were set ablaze moments later, signifying the advent of the Final Days in Ilsabard. You race to the ice field to find your comrades and the remnants of the Ist Legion locked in fierce combat with hordes of ravenous beasts.","TEXT_AKTKMF101_04439_SEQ_02<tab>Lucia vous a <var 08 E905 ((informée)) ((informé)) /var> que vos amis étaient partis dans le Magna Glacies pour porter secours aux réfugiés et les escorter. Vous vous y êtes précipité<var 08 E905 ((e)) (()) /var> et leur avez prêté main-forte en repoussant des bêtes de l'apocalypse. Les réfugiés sont remontés dans des aéronefs pour rejoindre Sharlayan. Quant à vos amis et Fourchenault, ils sont retournés au camp Bris-de-glace. Allez les y rejoindre.","","True","0x00000002","",""
"","TEXT_AKTKMF101_04439_SEQ_03<tab>Though you succeed in averting an all-out massacre, your respite is interrupted by the unexpected arrival of none other than Zenos. However, he expresses no desire to pit himself against you this day, and after an exchange of words with Jullus and Alisaie, he departs, unwilling to vie with the Final Days for your attention. Returning to more immediate matters, it is then decided that you will all accompany Fourchenault to Camp Broken Glass, where he is to make a formal introduction to Lucia.","TEXT_AKTKMF101_04439_SEQ_03<tab>Alors que vous retourniez au camp Bris-de-glace, vous avez eu la surprise de croiser Zenos. Celui-ci ne semblait pas avoir envie de vous défier aujourd'hui, et après une joute verbale animée avec Alisaie et Jullus, il s'en est allé. Parlez à Alisaie, au camp Bris-de-glace.","","True","0x00000003","",""
"","TEXT_AKTKMF101_04439_SEQ_04<tab>Reaching the camp, you take a moment to listen to Alisaie's thoughts on her encounter with Zenos. While her impassioned outburst came entirely in the heat of the moment, she does not regret her choice of words. Nor should she, for if his declarations are to be believed, he cares not a whit what anyone says or thinks─save you.","TEXT_AKTKMF101_04439_SEQ_04<tab>Alisaie vous a affirmé ne pas regretter ses paroles acerbes contre Zenos, même si elle espère que cela ne causera finalement pas plus de tort à vous ou à quelqu'un d'autre. Mais qui sait ce que pense vraiment votre “ami” à la faux<var 1D /var>?","","True","0x00000004","",""
"","TEXT_AKTKMF101_04439_SEQ_05<tab>","TEXT_AKTKMF101_04439_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKMF101_04439_SEQ_06<tab>","TEXT_AKTKMF101_04439_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKMF101_04439_SEQ_07<tab>","TEXT_AKTKMF101_04439_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKMF101_04439_SEQ_08<tab>","TEXT_AKTKMF101_04439_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKMF101_04439_SEQ_09<tab>","TEXT_AKTKMF101_04439_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKMF101_04439_SEQ_10<tab>","TEXT_AKTKMF101_04439_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKMF101_04439_SEQ_11<tab>","TEXT_AKTKMF101_04439_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKMF101_04439_SEQ_12<tab>","TEXT_AKTKMF101_04439_SEQ_12<tab>","","True","0x0000000C","",""
