"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESPDY701_04471_SEQ_00<tab>Marabel looks you up and down, a glint in her eye.
※This quest is available for a limited time only.","TEXT_FESPDY701_04471_SEQ_00<tab>* <var 1A 02 /var>Cette quête est un événement à durée limitée.<var 1A 01 /var>

Marabel a besoin d'un coup de main pour participer au nouvel événement phare de la fête des demoiselles.","","False","0x00000000","",""
"","TEXT_FESPDY701_04471_SEQ_01<tab>Marabel is seeking an experienced adventurer to aid her entry for this year's Little Ladies' Day walk-off. You agree to help by surveying the Ul'dahn citizens about their impressions of this holiday.

※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone.","TEXT_FESPDY701_04471_SEQ_01<tab>Cette quête ne peut être commencée et effectuée que pendant la durée de l'événement saisonnier correspondant. Pour plus de détails, veuillez consulter The Lodestone.

Vous avez fait la con<var 16 /var>nais<var 16 /var>san<var 16 /var>ce de Marabel, une (apprentie) créatrice de mode qui rêve de prouver sa valeur en remportant le concours organisé cette année pour la fête des demoiselles. Persuadée que vous présentiez les qualités nécessaires pour former un duo de choc avec elle, la jeune femme vous a convaincu<var 08 E905 ((e)) (()) /var> de participer à l'événement, qui implique d'imaginer une tenue sur le thème de la dite fête. Interrogez donc les passants afin de glaner plus d'in<var 16 /var>for<var 16 /var>ma<var 16 /var>tions sur ce que représente cette tradition à leurs yeux.","","False","0x00000001","",""
"","TEXT_FESPDY701_04471_SEQ_02<tab>Having successfully surveyed the citizens, you head toward Eshtaime's Aesthetics to report your findings to Marabel.","TEXT_FESPDY701_04471_SEQ_02<tab>Quelques habitants d'Ul'dah vous ont confié leurs impressions, souvenirs et autres pensées au sujet de la fête des demoiselles. Rapportez maintenant les résultats de votre enquête à Marabel, qui vous attend près des Joyaux d'Eshtaime, dans le faubourg de Thal.","","False","0x00000002","",""
"","TEXT_FESPDY701_04471_SEQ_03<tab>Inspired by the citizens' responses, Marabel quickly sets to work on assembling your costume. You decide to wait for her at the designated location per her instructions.","TEXT_FESPDY701_04471_SEQ_03<tab>Quand vous avez relayé à Marabel les témoignages recueillis dans les faubourgs, la jeune femme, frappée par une inspiration soudaine, est partie en courant préparer la tenue qu'elle souhaiterait présenter au concours. Patientez là où vous êtes jusqu'à son retour.","","False","0x00000003","",""
"","TEXT_FESPDY701_04471_SEQ_04<tab>As the fates would have it, you will be strutting atop the stage in this year's Little Ladies' Day walk-off. You make your preparations ere approaching Marabel, who awaits on Emerald Avenue, once more.","TEXT_FESPDY701_04471_SEQ_04<tab>Marabel est revenue étonnamment vite pour quelqu'un qui affirme avoir con<var 16 /var>fec<var 16 /var>tion<var 16 /var>né une tenue complète pendant ce court laps de temps. C'est ce qu'on appelle l'efficacité pro<var 16 /var>fes<var 16 /var>sion<var 16 /var>nelle<var 1D /var>! Vous n'étiez toutefois pas au bout de vos surprises, car la jeune femme a aussi laissé échapper que ce serait à vous d'endosser le rôle de mannequin pendant le défilé. Rejoignez-la près de la scène installée dans le faubourg de Nald afin de découvrir le costume qui lui a été inspiré par vos con<var 16 /var>ver<var 16 /var>sa<var 16 /var>tions avec les habitants d'Ul'dah.","","False","0x00000004","",""
"","TEXT_FESPDY701_04471_SEQ_05<tab>You and Marabel manage to take first place in the Little Ladies' Day walk-off and add your names to the annals of fashion fame. She is overjoyed, and you head back to offer her a word of congratulations.","TEXT_FESPDY701_04471_SEQ_05<tab>Le concours de mode a été un franc succès sur toute la ligne et s'est conclu sur votre victoire éclatante<var 1D /var>! Marabel, submergée par l'émotion, n'a pu retenir ses larmes de joie sur scène. Allez donc lui adresser vos plus sincères félicitations.","","False","0x00000005","",""
"","TEXT_FESPDY701_04471_SEQ_06<tab>Galvanized by her first fashion victory, Marabel sets forth in pursuit of her next goal: launching a brand of her own. As thanks for lending your support, she offers to help you select an outfit should you wish to participate in Masked Rose's Fashion Check.","TEXT_FESPDY701_04471_SEQ_06<tab>Loin de se contenter d'une première place à un concours saisonnier, Marabel vous a confié qu'elle rêvait déjà en grand<var 1D /var>: passer pro<var 16 /var>fes<var 16 /var>sion<var 16 /var>nelle, fonder sa propre marque... Et puisqu'il serait dommage de laisser filer une occasion de se bâtir une réputation, elle vous a proposé de lui amener des mannequins potentiels, afin qu'elle puisse les habiller et les faire défiler devant Masked Rose jusqu'à la fin des festivités. On dirait bien que la fête des demoiselles n'a pas encore fini de battre son plein<var 1D /var>!","","False","0x00000006","",""
"","TEXT_FESPDY701_04471_SEQ_07<tab>","TEXT_FESPDY701_04471_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_FESPDY701_04471_SEQ_08<tab>","TEXT_FESPDY701_04471_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESPDY701_04471_SEQ_09<tab>","TEXT_FESPDY701_04471_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_FESPDY701_04471_SEQ_10<tab>","TEXT_FESPDY701_04471_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_FESPDY701_04471_SEQ_11<tab>","TEXT_FESPDY701_04471_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_FESPDY701_04471_SEQ_12<tab>","TEXT_FESPDY701_04471_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_FESPDY701_04471_SEQ_13<tab>","TEXT_FESPDY701_04471_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_FESPDY701_04471_SEQ_14<tab>","TEXT_FESPDY701_04471_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_FESPDY701_04471_SEQ_15<tab>","TEXT_FESPDY701_04471_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_FESPDY701_04471_SEQ_16<tab>","TEXT_FESPDY701_04471_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_FESPDY701_04471_SEQ_17<tab>","TEXT_FESPDY701_04471_SEQ_17<tab>","","False","0x00000011","",""
