"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKMI105_04596_SEQ_00<tab>Having given you due warning, Zero would leave you to your own devices.","TEXT_AKTKMI105_04596_SEQ_00<tab>Nach ausreichender Warnung ist Zero bereit, euch durch ihren Unterschlupf ziehen zu lassen.","","False","0x00000000","",""
"","TEXT_AKTKMI105_04596_SEQ_01<tab>","TEXT_AKTKMI105_04596_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_AKTKMI105_04596_SEQ_02<tab>","TEXT_AKTKMI105_04596_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_AKTKMI105_04596_SEQ_03<tab>","TEXT_AKTKMI105_04596_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_AKTKMI105_04596_SEQ_04<tab>","TEXT_AKTKMI105_04596_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_AKTKMI105_04596_SEQ_05<tab>","TEXT_AKTKMI105_04596_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_AKTKMI105_04596_SEQ_06<tab>","TEXT_AKTKMI105_04596_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_AKTKMI105_04596_SEQ_07<tab>","TEXT_AKTKMI105_04596_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_AKTKMI105_04596_SEQ_08<tab>","TEXT_AKTKMI105_04596_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_AKTKMI105_04596_SEQ_09<tab>","TEXT_AKTKMI105_04596_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_AKTKMI105_04596_SEQ_10<tab>","TEXT_AKTKMI105_04596_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_AKTKMI105_04596_SEQ_11<tab>","TEXT_AKTKMI105_04596_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_AKTKMI105_04596_SEQ_12<tab>","TEXT_AKTKMI105_04596_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_AKTKMI105_04596_SEQ_13<tab>","TEXT_AKTKMI105_04596_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_AKTKMI105_04596_SEQ_14<tab>","TEXT_AKTKMI105_04596_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_AKTKMI105_04596_SEQ_15<tab>","TEXT_AKTKMI105_04596_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_AKTKMI105_04596_SEQ_16<tab>","TEXT_AKTKMI105_04596_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_AKTKMI105_04596_SEQ_17<tab>","TEXT_AKTKMI105_04596_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_AKTKMI105_04596_SEQ_18<tab>","TEXT_AKTKMI105_04596_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_AKTKMI105_04596_SEQ_19<tab>","TEXT_AKTKMI105_04596_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_AKTKMI105_04596_SEQ_20<tab>","TEXT_AKTKMI105_04596_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_AKTKMI105_04596_SEQ_21<tab>","TEXT_AKTKMI105_04596_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_AKTKMI105_04596_SEQ_22<tab>","TEXT_AKTKMI105_04596_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_AKTKMI105_04596_SEQ_23<tab>","TEXT_AKTKMI105_04596_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_AKTKMI105_04596_TODO_00<tab>Speak with Zero and have her accompany you.","TEXT_AKTKMI105_04596_TODO_00<tab>Mit Zero sprechen und dich begleiten lassen","","False","0x00000018","",""
"","TEXT_AKTKMI105_04596_TODO_01<tab>Gather information while Zero is accompanying you.","TEXT_AKTKMI105_04596_TODO_01<tab>In Zeros Begleitung Informationen sammeln","","False","0x00000019","",""
"","TEXT_AKTKMI105_04596_TODO_02<tab>Accompany Zero to the designated location and then speak with her.","TEXT_AKTKMI105_04596_TODO_02<tab>Mit Zero am Zielort sprechen","","False","0x0000001A","",""
"","TEXT_AKTKMI105_04596_TODO_03<tab>Accompany Zero to the designated location and then speak with her again.","TEXT_AKTKMI105_04596_TODO_03<tab>Abermals mit Zero am Zielort sprechen","","False","0x0000001B","",""
"","TEXT_AKTKMI105_04596_TODO_04<tab>Search for Farfarello while Zero is accompanying you.","TEXT_AKTKMI105_04596_TODO_04<tab>Mit Zero nach Farfarello suchen","","False","0x0000001C","",""
"","TEXT_AKTKMI105_04596_TODO_05<tab>Speak with Ciriatto while Zero is accompanying you.","TEXT_AKTKMI105_04596_TODO_05<tab>In Begleitung von Zero mit Ciriatto sprechen","","False","0x0000001D","",""
"","TEXT_AKTKMI105_04596_TODO_06<tab>Speak with Ciriatto again while Zero is accompanying you.","TEXT_AKTKMI105_04596_TODO_06<tab>In Begleitung von Zero erneut mit Ciriatto sprechen","","False","0x0000001E","",""
"","TEXT_AKTKMI105_04596_TODO_07<tab>Speak with Ciriatto yet again while Zero is accompanying you.","TEXT_AKTKMI105_04596_TODO_07<tab>In Begleitung von Zero ein weiteres Mal mit Ciriatto sprechen","","False","0x0000001F","",""
"","TEXT_AKTKMI105_04596_TODO_08<tab>Speak with Estinien.","TEXT_AKTKMI105_04596_TODO_08<tab>Mit Estinien die Lage besprechen","","False","0x00000020","",""
"","TEXT_AKTKMI105_04596_TODO_09<tab>","TEXT_AKTKMI105_04596_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_AKTKMI105_04596_TODO_10<tab>","TEXT_AKTKMI105_04596_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_AKTKMI105_04596_TODO_11<tab>","TEXT_AKTKMI105_04596_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_AKTKMI105_04596_TODO_12<tab>","TEXT_AKTKMI105_04596_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_AKTKMI105_04596_TODO_13<tab>","TEXT_AKTKMI105_04596_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_AKTKMI105_04596_TODO_14<tab>","TEXT_AKTKMI105_04596_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_AKTKMI105_04596_TODO_15<tab>","TEXT_AKTKMI105_04596_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_AKTKMI105_04596_TODO_16<tab>","TEXT_AKTKMI105_04596_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_AKTKMI105_04596_TODO_17<tab>","TEXT_AKTKMI105_04596_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_AKTKMI105_04596_TODO_18<tab>","TEXT_AKTKMI105_04596_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_AKTKMI105_04596_TODO_19<tab>","TEXT_AKTKMI105_04596_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_AKTKMI105_04596_TODO_20<tab>","TEXT_AKTKMI105_04596_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_AKTKMI105_04596_TODO_21<tab>","TEXT_AKTKMI105_04596_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_AKTKMI105_04596_TODO_22<tab>","TEXT_AKTKMI105_04596_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_AKTKMI105_04596_TODO_23<tab>","TEXT_AKTKMI105_04596_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_AKTKMI105_04596_YSHTOLA_000_001<tab>'Tis said that a person's domain is a reflection of what abides in their heart. If true, this place may offer a glimpse into Zero's past.","TEXT_AKTKMI105_04596_YSHTOLA_000_001<tab>Es heißt, jeder Ort hier sei der schattenhaften Erinnerung in dem Herzen eines Nichtswesens entsprungen<var 1D /var>...","","False","0x00000030","",""
"","TEXT_AKTKMI105_04596_ESTINIEN_000_005<tab>The longer one lives, the more one yearns for peace. I understand why some would sequester themselves here.","TEXT_AKTKMI105_04596_ESTINIEN_000_005<tab>Erst fand ich es seltsam, dass man als unsterbliches Wesen aus einem Gefolge desertieren möchte<var 1D /var>... Aber auch in der Unsterblichkeit will man vermutlich irgendwann seine Ruhe haben, was?","","False","0x00000031","",""
"","TEXT_AKTKMI105_04596_VARSHAHN_000_010<tab>'Tis quite a gathering of voidsent. I pray one among them has the knowledge we seek.","TEXT_AKTKMI105_04596_VARSHAHN_000_010<tab>Hier haben sich wahrlich viele Nichtswesen versammelt<var 1D /var>... Hoffentlich kann uns eines mehr über Golbez erzählen.","","False","0x00000032","",""
"","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_000_020<tab>Consider yourselves duly warned. If you wish to go among the voidsent here, that is your choice to make.","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_000_020<tab>Ihr wisst um die Gefahren. Was wollt ihr jetzt also machen?","","False","0x00000033","",""
"","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_100_020<tab>All have fled from one master or another. But whether any of those masters in turn served Golbez, I do not know. You must ask them yourselves.","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_100_020<tab>Sie alle sind aus dem einen oder anderen Gefolge geflohen. Wer von ihnen aber Golbez gedient hat, werdet ihr erst erfahren, wenn ihr direkt danach fragt.","","False","0x00000034","",""
"","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_110_020<tab>Most have traveled to your world, so it shouldn't be difficult to communicate.","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_110_020<tab>Und die meisten waren auch schon in eurer Welt, also wird auch keine Sprachbarriere im Weg stehen.","","False","0x00000035","",""
"","TEXT_AKTKMI105_04596_VARSHAHN_000_022<tab>We shall go about making inquiries at once. Thank you for your counsel.","TEXT_AKTKMI105_04596_VARSHAHN_000_022<tab>Ich danke dir für deine Warnung, Zero. Aber ich darf nicht zaudern. Meine Schwester braucht mich.","","False","0x00000036","",""
"","TEXT_AKTKMI105_04596_VARSHAHN_100_022<tab>Once we've learned all we can, let us reconvene at yonder plaza.","TEXT_AKTKMI105_04596_VARSHAHN_100_022<tab>Wir müssen das Dorf nach Golbez befragen. Sputen wir uns, um uns so schnell wie möglich wieder hier einzufinden.","","False","0x00000037","",""
"","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_000_028<tab>You're going too, of course? In which case, I shall accompany you.","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_000_028<tab>Du ziehst auch los, oder? Dann schließe ich mich dir an.","","False","0x00000038","",""
"","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_000_029<tab>I wish only to observe. Do not expect me to help.","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_000_029<tab>Helfen werde ich dir nicht, wie bereits gesagt. Aber ich will hören, was du herausfindest.","","False","0x00000039","",""
"","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_000_030<tab>Then it's settled. I'm ready when you are.","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_000_030<tab>Gut. Bereit, wenn du es bist.","","False","0x0000003A","",""
"","TEXT_AKTKMI105_04596_YSHTOLA_000_100<tab>As you may recall, when a larger voidsent is summoned, only its soul makes the journey to the Source.","TEXT_AKTKMI105_04596_YSHTOLA_000_100<tab>Wie man ein Nichtswesen beschwört, habe ich dir ja bereits erläutert.","","False","0x0000003B","",""
"","TEXT_AKTKMI105_04596_YSHTOLA_000_105<tab>Upon its arrival, it takes possession of a host body. But during that time, what becomes of its actual body here in the Thirteenth?","TEXT_AKTKMI105_04596_YSHTOLA_000_105<tab>Du erinnerst dich? Größere Nichtswesen, die nicht durch einen Riss passen, lassen ihren Körper zurück und reisen nur als Seele in unsere Welt.","","False","0x0000003C","",""
"","TEXT_AKTKMI105_04596_YSHTOLA_000_110<tab>The answer to this question may give us valuable insight into cross-rift travel.","TEXT_AKTKMI105_04596_YSHTOLA_000_110<tab>Wenn wir nur herausfinden könnten, was unterdessen mit ihrem Körper geschieht, würde das auch unserem Verständnis der Reise zwischen den Welten erheblich weiterhelfen.","","False","0x0000003D","",""
"","TEXT_AKTKMI105_04596_YSHTOLA_000_115<tab>To that end, while asking after Golbez, I shall also see what the voidsent can tell me about their experiences when summoned.","TEXT_AKTKMI105_04596_YSHTOLA_000_115<tab>Neben unseren Nach<var 16 /var>for<var 16 /var>schungen bezüglich Golbez werde ich also auch fragen, ob mir nicht jemand von seiner Erfahrung mit einer Beschwörung erzählen kann.","","False","0x0000003E","",""
"","TEXT_AKTKMI105_04596_ESTINIEN_000_120<tab>If a voidsent is too weak to create its own domain, it must join with others for protection.","TEXT_AKTKMI105_04596_ESTINIEN_000_120<tab>Die Nichts<var 16 /var>gesand<var 16 /var>ten, die zu schwach sind, sich ihr eigenes Territorium zu erschaffen, verziehen sich wohl in das eines anderen? Daher war die Burg vermutlich auch so bevölkert.","","False","0x0000003F","",""
"","TEXT_AKTKMI105_04596_ESTINIEN_000_125<tab>Alternately, it might devour them in a bid to become stronger, but in so doing risk losing its sense of self.","TEXT_AKTKMI105_04596_ESTINIEN_000_125<tab>Ohne Macht ist man also komplett auf die Gnade anderer angewiesen. Wenn man aber frisst, um stärker zu werden, verliert man sich am Ende selbst.","","False","0x00000040","",""
"","TEXT_AKTKMI105_04596_ESTINIEN_000_130<tab>'Tis an unenviable struggle...","TEXT_AKTKMI105_04596_ESTINIEN_000_130<tab>Tja. Als Nichtswesen hat man wirklich kein leichtes Los.","","False","0x00000041","",""
"","TEXT_AKTKMI105_04596_VARSHAHN_000_135<tab>'Twas in order to strike down the Cloud of Darkness that my sister crossed over into the void.","TEXT_AKTKMI105_04596_VARSHAHN_000_135<tab>Vor langer Zeit flog meine Schwester ins Nichts, um sich dem Wesen zu stellen, mit dem das Allagische Kaiserreich einen Pakt geschlossen hatte. Dieses Wesen war niemand anderes als die Wolke der Dunkelheit.","","False","0x00000042","",""
"","TEXT_AKTKMI105_04596_VARSHAHN_000_140<tab>What befell her after she vanished into the gate? How did she become Golbez's captive? These things and more, I hope to learn...","TEXT_AKTKMI105_04596_VARSHAHN_000_140<tab>Aber wie kam es, dass sie von Golbez gefasst wurde? Und zu welchem Zweck? Fragen über Fragen, auf die ich nun Antworten finden muss.","","False","0x00000043","",""
"","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_000_150<tab>Ready? Then lead the way. I leave it to you to decide with whom you speak.","TEXT_AKTKMI105_04596_MYSTERIOUSPERSON_000_150<tab>Gehen wir? Vergiss nicht, ich werde dir nicht helfen.","","False","0x00000044","",""
"","TEXT_AKTKMI105_04596_SYSTEM_000_151<tab>Zero is now accompanying you. Keep her at your side in order to proceed with quest objectives.","TEXT_AKTKMI105_04596_SYSTEM_000_151<tab>Zero begleitet dich jetzt. Um den Auftrag durchzuführen, musst du die Auftragsziele erfüllen, während sich deine Begleitung in der Nähe befindet.","","False","0x00000045","",""
"","TEXT_AKTKMI105_04596_SYSTEM_000_152<tab>You can leave Zero behind by entering a different area, or by speaking with her and selecting the option to part ways.","TEXT_AKTKMI105_04596_SYSTEM_000_152<tab>Die Begleitung kann beendet werden, wenn du das gegenwärtige Gebiet verlässt oder Zero ansprichst und „Begleitung beenden“ auswählst.","","False","0x00000046","",""
"","TEXT_AKTKMI105_04596_SYSTEM_000_153<tab>If you wish to have Zero accompany you again, return and speak with her at the original location.","TEXT_AKTKMI105_04596_SYSTEM_000_153<tab>Wenn du die Begleitung aus Versehen beendet hast, kannst du Zero am Ausgangsort ansprechen, um sie erneut zu starten.","","False","0x00000047","",""
"","TEXT_AKTKMI105_04596_SYSTEM_000_200<tab>What will you do?","TEXT_AKTKMI105_04596_SYSTEM_000_200<tab>Was möchtest du tun?","","False","0x00000048","",""
