"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKZG101_04507_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Sokles regards you with pointed interest.","TEXT_AKTKZG101_04507_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Schwierigkeitsanpassung<var 49 01 /var><var 48 01 /var><br>Sokles in der Anagnorisis sieht dich interessiert an.","","True","0x00000000","",""
"","TEXT_AKTKZG101_04507_SEQ_01<tab>Sokles welcomes you to Anagnorisis, and promptly assumes you are a familiar seeking to expand its worldly knowledge. To that end, the overseer suggests you speak with the nearby Charmion, and request a guided tour of the area.<br><br>※Please note that the difficulty of this quest has been synced to your current level.","TEXT_AKTKZG101_04507_SEQ_01<tab><var 48 F201FC /var><var 49 F201FD /var><var 49 01 /var><var 48 01 /var> Die Schwierigkeit des Auftrags wird an die aktuelle Stufe angepasst.<br><br>Sokles heißt dich in der Anagnorisis willkommen. Er hält dich für ein Familiar auf der Suche nach Wissen und verweist dich an eine Dame namens Charmion, die dich auf einen Rundgang durch den Ort führen soll.","","True","0x00000001","",""
"","TEXT_AKTKZG101_04507_SEQ_02<tab>Although surprised at being chosen for the duty, Charmion nevertheless agrees to show you the sights. Anagnorisis awaits you...as does Charmion.","TEXT_AKTKZG101_04507_SEQ_02<tab>Charmion scheint nicht ganz überzeugt davon, dass sie die richtige für den Job ist, bietet dir aber trotzdem an, dir alles zu zeigen.","","True","0x00000002","",""
"","TEXT_AKTKZG101_04507_SEQ_03<tab>Rather than simply lecture you as you walk around, Charmion suggests that you speak with her various colleagues in turn. In this way, she hopes you will gain a more intimate understanding of the work they do in Anagnorisis.<br><br>※You must be accompanied by Charmion to complete this task. Speak with her again should you become separated.","TEXT_AKTKZG101_04507_SEQ_03<tab>Charmion ermutigt dich, mit den anderen Beobachtern in der Anagnorisis zu sprechen, um mehr über ihre Arbeit zu erfahren.<br><br>※ Solltest du vor Abschluss des Auftrags von Charmion getrennt werden, kannst du sie erneut ansprechen, um den Auftrag fortzusetzen.","","True","0x00000003","",""
"","TEXT_AKTKZG101_04507_SEQ_04<tab>During your tour of Anagnorisis, you have learned that much of the work here consists of patient observation─be that of plants, familiars, or gargantuan creatures. The time has come to return to Overseer Sokles, and end your circuit where it began.<br><br>※You must be accompanied by Charmion to complete this task. Speak with her again should you become separated.","TEXT_AKTKZG101_04507_SEQ_04<tab>Du sprichst mit den Arbeitern, die für die Beobachtung der Pflanzen, Familiare und Kolosse zuständig sind, und lernst, dass der Großteil ihrer Arbeit genau daraus besteht: geduldiger Beobachtung und ihrer Aufzeichnung. Am Ende eures Rundgangs geht es zurück zu Sokles zu eurem Ausgangspunkt.<br><br>※ Solltest du vor Abschluss des Auftrags von Charmion getrennt werden, kannst du sie erneut ansprechen, um den Auftrag fortzusetzen.","","True","0x00000004","",""
"","TEXT_AKTKZG101_04507_SEQ_05<tab>Convinced that you are some manner of advanced familiar, both Sokles and Charmion seem intrigued by your impressions of their workplace. They ask that you stay for a while, and continue to share your thoughts and observations...","TEXT_AKTKZG101_04507_SEQ_05<tab>Der Rundgang hat Sokles und Charmions Interesse an dir geweckt und sie möchten mehr über dich erfahren. Das ist auch eine gute Gelegenheit, um mehr über die Leute in Elpis herauszufinden!","","True","0x00000005","",""
"","TEXT_AKTKZG101_04507_SEQ_06<tab>","TEXT_AKTKZG101_04507_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKZG101_04507_SEQ_07<tab>","TEXT_AKTKZG101_04507_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKZG101_04507_SEQ_08<tab>","TEXT_AKTKZG101_04507_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKZG101_04507_SEQ_09<tab>","TEXT_AKTKZG101_04507_SEQ_09<tab>","","True","0x00000009","",""
