"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESNYR902_04589_SEQ_00<tab>※本クエストは、期間限定のクエストとなります。<br><br>リムサ・ロミンサの東方のおみくじ士は、おみくじを引いた人々の様子を気にしているようだ。","TEXT_FESNYR902_04589_SEQ_00<tab>※本クエストは、期間限定のクエストとなります。<br><br>リムサ・ロミンサの東方のおみくじ士は、おみくじを引いた人々の様子を気にしているようだ。","","False","0x00000000","",""
"","TEXT_FESNYR902_04589_SEQ_01<tab>※本クエストは、シーズナルイベント開催中にかぎり、<br>　受注、進行できます。<br>　開催期間終了後は進行できませんので、ご注意ください。<br>　期間等の詳細についてはLodestoneをご覧ください。<br><br>東方のおみくじ士は、大凶を引いて落ち込んでいるボドゥフォアンを心配しているらしい。「ボドゥフォアン」に、エモート「励ます」をしよう。","TEXT_FESNYR902_04589_SEQ_01<tab>※本クエストは、シーズナルイベント開催中にかぎり、<br>　受注、進行できます。<br>　開催期間終了後は進行できませんので、ご注意ください。<br>　期間等の詳細についてはLodestoneをご覧ください。<br><br>東方のおみくじ士は、大凶を引いて落ち込んでいるボドゥフォアンを心配しているらしい。「ボドゥフォアン」に、エモート「励ます」をしよう。","","False","0x00000001","",""
"","TEXT_FESNYR902_04589_SEQ_02<tab>ボドゥフォアンは、相当落ち込んでいる様子だ。「ボドゥフォアン」に、エモート「活を入れる」をしてやろう。","TEXT_FESNYR902_04589_SEQ_02<tab>ボドゥフォアンは、相当落ち込んでいる様子だ。「ボドゥフォアン」に、エモート「活を入れる」をしてやろう。","","False","0x00000002","",""
"","TEXT_FESNYR902_04589_SEQ_03<tab>ヒルドラナを心配したボドゥフォアンは、街の外へと飛び出していった。低地ラノシアへと「ボドゥフォアン」の後を追い、怪我を負っていれば救助しよう。","TEXT_FESNYR902_04589_SEQ_03<tab>ヒルドラナを心配したボドゥフォアンは、街の外へと飛び出していった。低地ラノシアへと「ボドゥフォアン」の後を追い、怪我を負っていれば救助しよう。","","False","0x00000003","",""
"","TEXT_FESNYR902_04589_SEQ_04<tab>無事にボドゥフォアンとヒルドラナを助けることができたが、彼はお気に入りの鎧を大きく損傷してしまったようだ。リムサ・ロミンサのアフトカースルにいる「東方のおみくじ士」に報告しよう。","TEXT_FESNYR902_04589_SEQ_04<tab>無事にボドゥフォアンとヒルドラナを助けることができたが、彼はお気に入りの鎧を大きく損傷してしまったようだ。リムサ・ロミンサのアフトカースルにいる「東方のおみくじ士」に報告しよう。","","False","0x00000004","",""
"","TEXT_FESNYR902_04589_SEQ_05<tab>お気に入りの鎧の代わりに、ボドゥフォアンは降神祭の新たな鎧を贈られた。東方のおみくじ士曰く、おみくじは込める願いを変えて、何度引いてみても構わないという。残りの期間も、降神祭を楽しもう！","TEXT_FESNYR902_04589_SEQ_05<tab>お気に入りの鎧の代わりに、ボドゥフォアンは降神祭の新たな鎧を贈られた。東方のおみくじ士曰く、おみくじは込める願いを変えて、何度引いてみても構わないという。残りの期間も、降神祭を楽しもう！","","False","0x00000005","",""
"","TEXT_FESNYR902_04589_SEQ_06<tab>","TEXT_FESNYR902_04589_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_FESNYR902_04589_SEQ_07<tab>","TEXT_FESNYR902_04589_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_FESNYR902_04589_SEQ_08<tab>","TEXT_FESNYR902_04589_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESNYR902_04589_SEQ_09<tab>","TEXT_FESNYR902_04589_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_FESNYR902_04589_SEQ_10<tab>","TEXT_FESNYR902_04589_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_FESNYR902_04589_SEQ_11<tab>","TEXT_FESNYR902_04589_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_FESNYR902_04589_SEQ_12<tab>","TEXT_FESNYR902_04589_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_FESNYR902_04589_SEQ_13<tab>","TEXT_FESNYR902_04589_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_FESNYR902_04589_SEQ_14<tab>","TEXT_FESNYR902_04589_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_FESNYR902_04589_SEQ_15<tab>","TEXT_FESNYR902_04589_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_FESNYR902_04589_SEQ_16<tab>","TEXT_FESNYR902_04589_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_FESNYR902_04589_SEQ_17<tab>","TEXT_FESNYR902_04589_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_FESNYR902_04589_SEQ_18<tab>","TEXT_FESNYR902_04589_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_FESNYR902_04589_SEQ_19<tab>","TEXT_FESNYR902_04589_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_FESNYR902_04589_SEQ_20<tab>","TEXT_FESNYR902_04589_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_FESNYR902_04589_SEQ_21<tab>","TEXT_FESNYR902_04589_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_FESNYR902_04589_SEQ_22<tab>","TEXT_FESNYR902_04589_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_FESNYR902_04589_SEQ_23<tab>","TEXT_FESNYR902_04589_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_FESNYR902_04589_TODO_00<tab>ボドゥフォアンにエモート「励ます」をする","TEXT_FESNYR902_04589_TODO_00<tab>ボドゥフォアンにエモート「励ます」をする","","False","0x00000018","",""
"","TEXT_FESNYR902_04589_TODO_01<tab>ボドゥフォアンにエモート「活を入れる」をする","TEXT_FESNYR902_04589_TODO_01<tab>ボドゥフォアンにエモート「活を入れる」をする","","False","0x00000019","",""
"","TEXT_FESNYR902_04589_TODO_02<tab>低地ラノシアでボドゥフォアンを探す","TEXT_FESNYR902_04589_TODO_02<tab>低地ラノシアでボドゥフォアンを探す","","False","0x0000001A","",""
"","TEXT_FESNYR902_04589_TODO_03<tab>リムサ・ロミンサの東方のおみくじ士と話す","TEXT_FESNYR902_04589_TODO_03<tab>リムサ・ロミンサの東方のおみくじ士と話す","","False","0x0000001B","",""
"","TEXT_FESNYR902_04589_TODO_04<tab>","TEXT_FESNYR902_04589_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_FESNYR902_04589_TODO_05<tab>","TEXT_FESNYR902_04589_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_FESNYR902_04589_TODO_06<tab>","TEXT_FESNYR902_04589_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_FESNYR902_04589_TODO_07<tab>","TEXT_FESNYR902_04589_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_FESNYR902_04589_TODO_08<tab>","TEXT_FESNYR902_04589_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_FESNYR902_04589_TODO_09<tab>","TEXT_FESNYR902_04589_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_FESNYR902_04589_TODO_10<tab>","TEXT_FESNYR902_04589_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_FESNYR902_04589_TODO_11<tab>","TEXT_FESNYR902_04589_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_FESNYR902_04589_TODO_12<tab>","TEXT_FESNYR902_04589_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_FESNYR902_04589_TODO_13<tab>","TEXT_FESNYR902_04589_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_FESNYR902_04589_TODO_14<tab>","TEXT_FESNYR902_04589_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_FESNYR902_04589_TODO_15<tab>","TEXT_FESNYR902_04589_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_FESNYR902_04589_TODO_16<tab>","TEXT_FESNYR902_04589_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_FESNYR902_04589_TODO_17<tab>","TEXT_FESNYR902_04589_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_FESNYR902_04589_TODO_18<tab>","TEXT_FESNYR902_04589_TODO_18<tab>","","False","0x0000002A","",""
