"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKMI109_04600_SEQ_00<tab>A gentle smile plays on Varshahn's lips.","TEXT_AKTKMI109_04600_SEQ_00<tab>Varshahn affiche un sourire satisfait.","","False","0x00000000","",""
"","TEXT_AKTKMI109_04600_SEQ_01<tab>With your aid, Varshahn has finished showing Radz-at-Han to Zero. Your task accomplished, you go to rejoin the others back at Meghaduta.","TEXT_AKTKMI109_04600_SEQ_01<tab>Varshahn est content d'avoir passé un moment avec vous et Zero, qui a pro<var 16 /var>ba<var 16 /var>ble<var 16 /var>ment apprécié la promenade plus qu'elle ne veut bien l'admettre. Retournez maintenant auprès de vos amis, au palais du Meghaduta.","","False","0x00000001","",""
"","TEXT_AKTKMI109_04600_SEQ_02<tab>In return for learning about Radz-at-Han, Zero tells you of the events that saw Darkness engulf the Thirteenth─the Contramemoria.

Light once filled the world, and all was at peace. But as they did elsewhere, the Ascians came and sowed the seeds of Darkness, teaching men how to summon eidolons─beings like unto primals. When it seemed the world would be plunged into chaos, heroes appeared─men and women blessed with the power to bind the eidolons in crystal. And though these heroes succeeded in restoring the peace, in time they too were seduced by the Darkness they had defeated. With their tainted gifts they transformed men into monsters─voidsent─and raised armies to wage new wars. Zero and her mother were among the token few who defied temptation and held fast to the Light, but in the end, the enemy proved too strong, and their world fell to ruin. In that moment, Zero was cast into the rift, and so was spared the fate of becoming a voidsent in full.

At the end of her tale, Zero declares her world lost. But through an explanation of the Source and its reflections, Y'shtola reveals to her that there is yet hope for the Thirteenth. While Zero declares she has no desire to save it, she agrees to continue helping you in your quest to find Azdaja─provided her price is paid. The demanded deposit: a single apple.","TEXT_AKTKMI109_04600_SEQ_02<tab>Zero vous a raconté dans les grandes lignes l'histoire du treizième reflet, en particulier la période de la guerre des mémorias. Parlez à Varshahn devant le palais du Meghaduta.","","False","0x00000002","",""
"","TEXT_AKTKMI109_04600_SEQ_03<tab>Your journey into the void has led to the most fortuitous of encounters, for only with Zero's aid were you able to defeat the voidsent that barred your path. That she will remain at your side for the coming search gives you hope that you will succeed in rescuing Vrtra's sister. Nevertheless, Golbez and his remaining minions will surely seek to bar your way, and you steel yourself for the trials to come.","TEXT_AKTKMI109_04600_SEQ_03<tab>Ainsi s'achève la première partie de votre voyage dans le néant. Azdaja y est toujours retenue prisonnière, mais vous savez désormais qu'elle est sans aucun doute entre les mains de Golbez, et grâce à la col<var 16 /var>la<var 16 /var>bo<var 16 /var>ra<var 16 /var>tion inespérée de Zero, vous avez bon espoir que vous parviendrez à la délivrer très bientôt. Préparez-vous à faire face à des dangers dont seules les Ténèbres ont le secret<var 1D /var>!","","False","0x00000003","",""
"","TEXT_AKTKMI109_04600_SEQ_04<tab>","TEXT_AKTKMI109_04600_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_AKTKMI109_04600_SEQ_05<tab>","TEXT_AKTKMI109_04600_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_AKTKMI109_04600_SEQ_06<tab>","TEXT_AKTKMI109_04600_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_AKTKMI109_04600_SEQ_07<tab>","TEXT_AKTKMI109_04600_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_AKTKMI109_04600_SEQ_08<tab>","TEXT_AKTKMI109_04600_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_AKTKMI109_04600_SEQ_09<tab>","TEXT_AKTKMI109_04600_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_AKTKMI109_04600_SEQ_10<tab>","TEXT_AKTKMI109_04600_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_AKTKMI109_04600_SEQ_11<tab>","TEXT_AKTKMI109_04600_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_AKTKMI109_04600_SEQ_12<tab>","TEXT_AKTKMI109_04600_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_AKTKMI109_04600_SEQ_13<tab>","TEXT_AKTKMI109_04600_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_AKTKMI109_04600_SEQ_14<tab>","TEXT_AKTKMI109_04600_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_AKTKMI109_04600_SEQ_15<tab>","TEXT_AKTKMI109_04600_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_AKTKMI109_04600_SEQ_16<tab>","TEXT_AKTKMI109_04600_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_AKTKMI109_04600_SEQ_17<tab>","TEXT_AKTKMI109_04600_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_AKTKMI109_04600_SEQ_18<tab>","TEXT_AKTKMI109_04600_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_AKTKMI109_04600_SEQ_19<tab>","TEXT_AKTKMI109_04600_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_AKTKMI109_04600_SEQ_20<tab>","TEXT_AKTKMI109_04600_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_AKTKMI109_04600_SEQ_21<tab>","TEXT_AKTKMI109_04600_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_AKTKMI109_04600_SEQ_22<tab>","TEXT_AKTKMI109_04600_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_AKTKMI109_04600_SEQ_23<tab>","TEXT_AKTKMI109_04600_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_AKTKMI109_04600_TODO_00<tab>Speak with the Meghaduta attendant.","TEXT_AKTKMI109_04600_TODO_00<tab>Parler à l'intendant du Meghaduta","","False","0x00000018","",""
"","TEXT_AKTKMI109_04600_TODO_01<tab>Speak with Varshahn.","TEXT_AKTKMI109_04600_TODO_01<tab>Parler à Varshahn","","False","0x00000019","",""
"","TEXT_AKTKMI109_04600_TODO_02<tab>","TEXT_AKTKMI109_04600_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_AKTKMI109_04600_TODO_03<tab>","TEXT_AKTKMI109_04600_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_AKTKMI109_04600_TODO_04<tab>","TEXT_AKTKMI109_04600_TODO_04<tab>","","False","0x0000001C","",""
