"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKMJ104_04673_SEQ_00<tab>This distressed soldier has ill tidings to share with you.","TEXT_AKTKMJ104_04673_SEQ_00<tab>テルティウム駅の第I軍団の軍団兵は、急ぎ報告したいことがあるようだ。","","False","0x00000000","",""
"","TEXT_AKTKMJ104_04673_SEQ_01<tab>A horde of voidsent has been sighted approaching from the east, prompting an immediate evacuation of the area. Alisaie asks Zero to assist in the effort, but she refuses, stating that she will not risk her life without suitable compensation. Jullus, however, succeeds in persuading Zero to help guard Tertium by reminding her of the buuz he gave her. With the memoriate keeping watch, Alphinaud believes that the encampment will be safe enough in your absence, and suggests heading outside to find your other comrades.","TEXT_AKTKMJ104_04673_SEQ_01<tab>第I軍団の軍団兵は、ガレマルドの東から多くの妖異が迫ってきている危機を伝えた。テルティウム駅の護衛はゼロとユルスに任せて、外にでて「アルフィノ」と話そう。","","False","0x00000001","",""
"","TEXT_AKTKMJ104_04673_SEQ_02<tab>Together with Alphinaud and Alisaie, you seek out Y'shtola and the others. Fortunately, they are quite capable of defending themselves, though it remains to be seen how Jullus and Zero are faring back at Tertium.","TEXT_AKTKMJ104_04673_SEQ_02<tab>アルフィノ、アリゼーとともにヤ・シュトラたちのもとへと向かうことになった。ガレマルドの緊急事態に対処しよう。","","False","0x00000002","",""
"","TEXT_AKTKMJ104_04673_SEQ_03<tab>You later learn that, while you and the twins were occupied with rampaging voidsent, Jullus received word that a unit had gone silent while en route to Camp Broken Glass. As he prepared to set out from Tertium to investigate, Zero, much to his surprise, offered to go in his stead. She arrived in time to save a pair of soldiers from voidsent, but soon found herself overwhelmed. Thankfully, you arrived in time to save her and put the enemy to rout.","TEXT_AKTKMJ104_04673_SEQ_03<tab>アルフィノたちと妖異の対応をしている間、ゼロがガレマルドの人々を救うために尽力してくれていたようだ。テルティウム駅に戻った「アリゼー」と話そう。","","False","0x00000003","",""
"","TEXT_AKTKMJ104_04673_SEQ_04<tab>With the danger passed, you enjoy a brief moment of respite while waiting for Zero to recover and Y'shtola and the others to return. In that quiet aftermath, Alisaie muses what might have compelled Zero to─despite her earlier objections─resolve to risk her life to save others...","TEXT_AKTKMJ104_04673_SEQ_04<tab>アリゼーと話し、ゼロの回復やヤ・シュトラたちの帰還を待つことになった。身体を張ってガレマルドの人々を守ったゼロは、いったい何を思っていたのだろうか……。","","False","0x00000004","",""
"","TEXT_AKTKMJ104_04673_SEQ_05<tab>","TEXT_AKTKMJ104_04673_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_AKTKMJ104_04673_SEQ_06<tab>","TEXT_AKTKMJ104_04673_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_AKTKMJ104_04673_SEQ_07<tab>","TEXT_AKTKMJ104_04673_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_AKTKMJ104_04673_SEQ_08<tab>","TEXT_AKTKMJ104_04673_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_AKTKMJ104_04673_SEQ_09<tab>","TEXT_AKTKMJ104_04673_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_AKTKMJ104_04673_SEQ_10<tab>","TEXT_AKTKMJ104_04673_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_AKTKMJ104_04673_SEQ_11<tab>","TEXT_AKTKMJ104_04673_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_AKTKMJ104_04673_SEQ_12<tab>","TEXT_AKTKMJ104_04673_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_AKTKMJ104_04673_SEQ_13<tab>","TEXT_AKTKMJ104_04673_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_AKTKMJ104_04673_SEQ_14<tab>","TEXT_AKTKMJ104_04673_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_AKTKMJ104_04673_SEQ_15<tab>","TEXT_AKTKMJ104_04673_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_AKTKMJ104_04673_SEQ_16<tab>","TEXT_AKTKMJ104_04673_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_AKTKMJ104_04673_SEQ_17<tab>","TEXT_AKTKMJ104_04673_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_AKTKMJ104_04673_SEQ_18<tab>","TEXT_AKTKMJ104_04673_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_AKTKMJ104_04673_SEQ_19<tab>","TEXT_AKTKMJ104_04673_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_AKTKMJ104_04673_SEQ_20<tab>","TEXT_AKTKMJ104_04673_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_AKTKMJ104_04673_SEQ_21<tab>","TEXT_AKTKMJ104_04673_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_AKTKMJ104_04673_SEQ_22<tab>","TEXT_AKTKMJ104_04673_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_AKTKMJ104_04673_SEQ_23<tab>","TEXT_AKTKMJ104_04673_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_AKTKMJ104_04673_TODO_00<tab>Speak with Alphinaud.","TEXT_AKTKMJ104_04673_TODO_00<tab>アルフィノと話す","","False","0x00000018","",""
"","TEXT_AKTKMJ104_04673_TODO_01<tab>Speak with Alphinaud.","TEXT_AKTKMJ104_04673_TODO_01<tab>アルフィノと話す","","False","0x00000019","",""
"","TEXT_AKTKMJ104_04673_TODO_02<tab>Speak with Alisaie.","TEXT_AKTKMJ104_04673_TODO_02<tab>アリゼーと話す","","False","0x0000001A","",""
"","TEXT_AKTKMJ104_04673_TODO_03<tab>","TEXT_AKTKMJ104_04673_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_AKTKMJ104_04673_TODO_04<tab>","TEXT_AKTKMJ104_04673_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_AKTKMJ104_04673_TODO_05<tab>","TEXT_AKTKMJ104_04673_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_AKTKMJ104_04673_TODO_06<tab>","TEXT_AKTKMJ104_04673_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_AKTKMJ104_04673_TODO_07<tab>","TEXT_AKTKMJ104_04673_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_AKTKMJ104_04673_TODO_08<tab>","TEXT_AKTKMJ104_04673_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_AKTKMJ104_04673_TODO_09<tab>","TEXT_AKTKMJ104_04673_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_AKTKMJ104_04673_TODO_10<tab>","TEXT_AKTKMJ104_04673_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_AKTKMJ104_04673_TODO_11<tab>","TEXT_AKTKMJ104_04673_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_AKTKMJ104_04673_TODO_12<tab>","TEXT_AKTKMJ104_04673_TODO_12<tab>","","False","0x00000024","",""
