"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKMZ101_04660_SEQ_00<tab>Something has this Radiant scout unnerved.","TEXT_AKTKMZ101_04660_SEQ_00<tab>La sentinelle de l'Ost rayonnant n'en croit pas ses yeux.","","False","0x00000000","",""
"","TEXT_AKTKMZ101_04660_SEQ_01<tab>The Radiant scout explains to you that he recently happened upon a voidsent while out on patrol. The beast was strangely docile, however, and against his better judgment, he chose to capture rather than slay it. Hearing of your recent foray into the void, he hopes your expertise can prove useful in discerning what the voidsent may be plotting. To that end, he asks you to accompany him to the Hall of the Radiant Host.","TEXT_AKTKMZ101_04660_SEQ_01<tab>Le garde vous a expliqué qu'il est tombé nez à nez avec une créature du néant lors d'une de ses rondes. La bestiole ne montrant aucun signe d'agressivité, il a préféré la capturer plutôt que de l'abattre sans sommation. Comptant sur votre expertise du treizième reflet, le soldat a sollicité votre aide. Retrouvez-le à la garnison de l'Ost rayonnant.","","False","0x00000001","",""
"","TEXT_AKTKMZ101_04660_SEQ_02<tab>Having died shortly after your arrival at the court of Troia, the sullen-eyed voidsent fled to the Source seeking sanctuary from the void's vicious cycle of undeath. However, it was not fully recovered before making the journey, causing it to split into several lesser voidsent. It asks that you search Radz-at-Han for its missing kin. In exchange, they will share with you knowledge of the void.","TEXT_AKTKMZ101_04660_SEQ_02<tab>Vous avez réussi à communiquer avec l'étrange créature. Celle-ci vous a partagé son intérêt pour votre univers, lié à ses souvenirs antérieurs au déluge de Ténèbres. Cependant, le voyage vers le monde primitif ne s'est pas fait sans heurts, et le blob à yeux vous explique qu'il a été morcelé lors de la traversée des dimensions. Il vous demande de partir à la recherche des autres parties de lui-même, en échange d'anecdotes sur le néant.","","False","0x00000002","",""
"","TEXT_AKTKMZ101_04660_SEQ_03<tab>You travel about the city and find four wayward hecteyes, each of which recounts a grim tale of the Thirteenth and the denizens of the void. The voidsent will no doubt be glad to be reunited, and the Radiant scout relieved to know the streets are safe.","TEXT_AKTKMZ101_04660_SEQ_03<tab>Vous avez arpenté les rues de Radz-at-Han et retrouvé les quatre autres globes oculaires, qui vous ont chacun partagé des bribes du passé du treizième reflet et des créatures qui le peuplent. Allez parler désormais à l'œil du néant dans la garnison de l'Ost.","","False","0x00000003","",""
"","TEXT_AKTKMZ101_04660_SEQ_04<tab>The sullen-eyed voidsent thanks you for gathering its kindred voidsent, and makes ready to reunite with them...but something is amiss. It would seem there are yet more pieces of itself that have yet to be found. Should the hecteyes sense more wayward voidsent, it hopes you will answer its call for help once more.","TEXT_AKTKMZ101_04660_SEQ_04<tab>Après un essai infructueux visant à reprendre sa forme initiale, votre nouvel ami globuleux s'est rendu compte qu'il n'était pas encore au complet. D'autres parties de lui-même sont toujours en vadrouille dans votre monde, mais suf<var 16 /var>fi<var 16 /var>sam<var 16 /var>ment loin pour qu'il ne puisse les détecter. Heu<var 16 /var>reu<var 16 /var>se<var 16 /var>ment, l'attitude curieuse et pacifiste des créatures a rassuré le garde de l'Ost rayonnant, et il vous faut désormais prendre votre mal en patience en attendant de savoir où se cachent les yeux restants.","","False","0x00000004","",""
"","TEXT_AKTKMZ101_04660_SEQ_05<tab>","TEXT_AKTKMZ101_04660_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_AKTKMZ101_04660_SEQ_06<tab>","TEXT_AKTKMZ101_04660_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_AKTKMZ101_04660_SEQ_07<tab>","TEXT_AKTKMZ101_04660_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_AKTKMZ101_04660_SEQ_08<tab>","TEXT_AKTKMZ101_04660_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_AKTKMZ101_04660_SEQ_09<tab>","TEXT_AKTKMZ101_04660_SEQ_09<tab>","","False","0x00000009","",""
