"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKUA204_04793_SEQ_00<tab>The sound of the curious courier beeping can mean only one thing.","TEXT_AKTKUA204_04793_SEQ_00<tab>Mélissagère souhaite vous parler.","","False","0x00000000","",""
"","TEXT_AKTKUA204_04793_SEQ_01<tab>As predicted, the curious courier has received tidings that Tataru is on her way with a pair of guests. What you did not predict, however, is that she would also have something important to tell you. Suddenly feeling rather curious yourself, you make your way to the western inlet.","TEXT_AKTKUA204_04793_SEQ_01<tab>Vous avez parlé avec Mélissagère qui vous a informé<var 08 E905 ((e)) (()) /var> de l'arrivée toute prochaine de Tataru sur votre Félicité insulaire. Allez donc l'attendre sur la plage au sud-ouest.","","False","0x00000001","",""
"","TEXT_AKTKUA204_04793_SEQ_02<tab>Despite being accustomed to Tataru's unexpected guests, you feel more surprise than usual to see Wilfsunn and Bloewyda, parents of the late Moenbryda, step out of the skiff in their finest tropical wear. After explaining the circumstances of their visit, Bloewyda requests a tour of the isle, and you are all too willing to oblige her.","TEXT_AKTKUA204_04793_SEQ_02<tab>Vous avez retrouvé Tataru et ses invités, Wilfsunn et Bloewyda. Ces derniers vous ont expliqué qu'ils profitaient d'un long congé offert par le Conseil après tous leurs efforts fournis pour la con<var 16 /var>struc<var 16 /var>tion du Ragnarok. Tataru s'est alors proposée de guider les deux scien<var 16 /var>ti<var 16 /var>fi<var 16 /var>ques jusqu'à votre base d'opérations. Rejoignez-les près de votre hutte placide.","","False","0x00000002","",""
"","TEXT_AKTKUA204_04793_SEQ_03<tab>As Wilfsunn and Bloewyda praise your Home Sweet Hideaway, Tataru remembers her important announcement─but is thwarted by the sudden arrival of Puddingway. He explains that he snuck into Wilfsunn and Bloewyda's luggage after overhearing their conversation about the Cieldalaes and convincing himself of the existence of unique and exotic pudding. Much to the Loporrit's dismay, there is none to be found upon the island─but Bloewyda may have just the recipe to satisfy his appetite.","TEXT_AKTKUA204_04793_SEQ_03<tab>Alors que le couple s'émerveillait devant vos superbes édifices, un invité inattendu s'est joint à votre petit groupe<var 1D /var>: Puddingway. Toujours à la recherche d'un flan à déguster, le Loporrite avait surpris les deux Roegadyns au Dernier Rempart, en pleine con<var 16 /var>ver<var 16 /var>sa<var 16 /var>tion à propos de leur voyage, et s'était caché dans leur valise. Toutefois, la déconvenue fut de taille pour le visiteur sélénien, car malgré vos efforts pour développer votre Félicité insulaire, on n'y trouve encore aucun dessert caramélisé à l'horizon pour régaler ses papilles. Heu<var 16 /var>reu<var 16 /var>se<var 16 /var>ment, Bloewyda vous a confié qu'elle avait l'habitude d'en préparer pour sa fille, et vous a proposé son aide. Parlez-lui afin de savoir quelle tâche vous a été confiée.","","False","0x00000003","",""
"","TEXT_AKTKUA204_04793_SEQ_04<tab>Dividing the group into two parties─one to gather the ingredients and the other to prepare the cooking utensils─Bloewyda bids you and Wilfsunn perform the latter. To start, you are to visit the mammet waiting atop the hill to receive the requisite materials.","TEXT_AKTKUA204_04793_SEQ_04<tab>Vous avez écouté le plan de Bloewyda, et votre petit groupe a été séparé en deux<var 1D /var>: d'un côté ceux qui sont partis collecter les ingrédients nécessaires, et de l'autre, votre équipe, chargée de fabriquer les ustensiles de cuisine adéquats. Votre tâche consiste désormais à parler à Dimitrieur en haut de la colline qui surplombe votre base d'opérations.","","False","0x00000004","",""
"","TEXT_AKTKUA204_04793_SEQ_05<tab>Introducing itself as the tidy tinkerer, the orderly mammet presents you with two large crates of materials. Owing to their size, it is clear you will need to make two trips to safely deliver everything.","TEXT_AKTKUA204_04793_SEQ_05<tab>Dimitrieur vous a expliqué qu'il a amassé des matériaux restants de vos précédents travaux dans des caisses, et il vous a demandé de les amener jusqu'à Wilfsunn sur la plage. Toutefois, vous devrez les transporter une par une, car elles sont très lourdes<var 1D /var>!","","False","0x00000005","",""
"","TEXT_AKTKUA204_04793_SEQ_06<tab>You have picked up one of the crates of materials. See that it is delivered to Wilfsunn at the western inlet within the allotted time.","TEXT_AKTKUA204_04793_SEQ_06<tab>Vous avez récupéré une des caisses de matériaux, amenez-la donc jusqu'à Wilfsunn sur la plage au sud-ouest dans le temps imparti.","","False","0x00000006","",""
"","TEXT_AKTKUA204_04793_SEQ_07<tab>Having made your first delivery, you must now wind your way back to the tidy tinkerer to retrieve the final crate of materials.","TEXT_AKTKUA204_04793_SEQ_07<tab>Vous avez déposé la caisse à côté du scien<var 16 /var>ti<var 16 /var>fi<var 16 /var>que sharlayanais, il est désormais temps d'aller chercher la seconde auprès de Dimitrieur.","","False","0x00000007","",""
"","TEXT_AKTKUA204_04793_SEQ_08<tab>You find the tidy tinkerer collapsed on the ground, evidently having been accosted by a stray chicken. The mammet implores you to take the second crate while it keeps the depraved bird distracted.","TEXT_AKTKUA204_04793_SEQ_08<tab>Vous avez retrouvé Dimitrieur étalé au sol après une rencontre malheureuse avec une poule sauvage de l'île. Il vous a invité<var 08 E905 ((e)) (()) /var> à déguerpir rapidement avec la seconde caisse et de l'amener à bon port avant que d'autres bêtes ne décident de vous attaquer.","","False","0x00000008","",""
"","TEXT_AKTKUA204_04793_SEQ_09<tab>You have picked up the second crate of materials. See that it is delivered to Wilfsunn at the western inlet within the allotted time.","TEXT_AKTKUA204_04793_SEQ_09<tab>Vous avez collecté la seconde caisse de matériaux. Suivez les conseils de Dimitrieur et foncez jusqu'à la plage dans le temps imparti.","","False","0x00000009","",""
"","TEXT_AKTKUA204_04793_SEQ_10<tab>With both crates now delivered, Wilfsunn thanks you for your efforts and suggests that you take a moment to rest while he and the mammets get to work. You gaze upon the soothing tides, reminiscing upon the long days you have spent nurturing your island into the sanctuary it is today.","TEXT_AKTKUA204_04793_SEQ_10<tab>Vous avez livré le nécessaire à Wilfsunn et ce dernier vous a invité<var 08 E905 ((e)) (()) /var> à prendre un peu de repos le temps qu'il confectionne les ustensiles requis par son épouse. Patientez donc tran<var 16 /var>quil<var 16 /var>le<var 16 /var>ment sur la plage en attendant le retour de l'équipe en charge de la collecte.","","False","0x0000000A","",""
"","TEXT_AKTKUA204_04793_SEQ_11<tab>Bloewyda and the others return with ingredients for the pudding and set about the delicious task before them. After the concoction is placed in the pot to steam, Tataru finally makes her announcement: in honor of your achievements as an islekeep, you have been bestowed with an official award of excellence by Admiral Merlwyb. How serendipitous, in retrospect, that Puddingway's arrival would inspire this now celebratory feast of pudding!","TEXT_AKTKUA204_04793_SEQ_11<tab>Après un court moment de détente, vos amis sont revenus sur la plage et vous avez entamé tous ensemble la préparation du flan. Le temps que la mixture refroidisse, Tataru vous a annoncé une formidable nouvelle<var 1D /var>: Merlwyb vous a remis un certificat d'excellence pour votre travail accompli sur votre Félicité. Celle-ci servira même désormais de modèle pour l'aménagement des autres îles de l'archipel. L'énorme flan étant enfin démoulé, vous avez pu le déguster avec vos compagnons, mais aussi avec vos poupées magiques. Parlez désormais à Bloewyda.","","False","0x0000000B","",""
"","TEXT_AKTKUA204_04793_SEQ_12<tab>Satisfied by the full bellies of all, Wilfsunn and Bloewyda prepare to take their leave, spirits duly lifted. Puddingway in turn expresses high hopes for the future of the southern isles, somehow confident that the archipelago will one day become the universe's predominate source of pudding. As the others depart for the skiff, Tataru turns to you with a final request: that you allow one more group to visit your sanctuary. You assure her of your eagerness, and she promises to contact you again once she has made the necessary arrangements...","TEXT_AKTKUA204_04793_SEQ_12<tab>Le couple de scien<var 16 /var>ti<var 16 /var>fi<var 16 /var>ques vous a remercié<var 08 E905 ((e)) (()) /var> de les avoir reçus sur votre île et Puddingway a semblerait-il atteint le septième ciel après s'être goinfré de son dessert préféré. Alors que tout le monde prenait le chemin du retour, Tataru vous a annoncé qu'elle aimerait inviter une dernière personne sur votre Félicité, sur les conseils avisés de Sicard et d'Emmanellain. Il ne vous reste donc plus qu'à patienter jusqu'à son retour.","","False","0x0000000C","",""
