"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESGSC702_04728_SEQ_00<tab>※本クエストは、期間限定のクエストとなります。

ゴールドソーサーのオリアーは、支配人ゴッドベルトを呼んでくれるようだ。","TEXT_FESGSC702_04728_SEQ_00<tab>※本クエストは、期間限定のクエストとなります。

ゴールドソーサーのオリアーは、支配人ゴッドベルトを呼んでくれるようだ。","","False","0x00000000","",""
"","TEXT_FESGSC702_04728_SEQ_01<tab>※本クエストは、シーズナルイベント開催中にかぎり、
　受注、進行できます。
　開催期間終了後は進行できませんので、ご注意ください。
　期間等の詳細についてはLodestoneをご覧ください。

ゴッドベルトはキピ・ジャッキヤの申し出を快く受け入れ、ゴールドソーサーの裏話を聞かせてくれるようだ。エーテライト・プラザ近くへ移動した「ゴッドベルト」と話そう。","TEXT_FESGSC702_04728_SEQ_01<tab>※本クエストは、シーズナルイベント開催中にかぎり、
　受注、進行できます。
　開催期間終了後は進行できませんので、ご注意ください。
　期間等の詳細についてはLodestoneをご覧ください。

ゴッドベルトはキピ・ジャッキヤの申し出を快く受け入れ、ゴールドソーサーの裏話を聞かせてくれるようだ。エーテライト・プラザ近くへ移動した「ゴッドベルト」と話そう。","","False","0x00000001","",""
"","TEXT_FESGSC702_04728_SEQ_02<tab>ゴッドベルトに園内を案内してもらった。キピ・ジャッキヤは特集記事のネタにできると喜んでいるようだ。ゴールドソーサーのエントランススクウェアにいる「オリアー」と話そう。","TEXT_FESGSC702_04728_SEQ_02<tab>ゴッドベルトに園内を案内してもらった。キピ・ジャッキヤは特集記事のネタにできると喜んでいるようだ。ゴールドソーサーのエントランススクウェアにいる「オリアー」と話そう。","","False","0x00000002","",""
"","TEXT_FESGSC702_04728_SEQ_03<tab>オリアーと話して、取材のおみやげを貰った。キピ・ジャッキヤも奮って宣伝記事を書くようだ。引き続き、MGP1.5倍のゴールドソーサー・フェスティバルを楽しもう。","TEXT_FESGSC702_04728_SEQ_03<tab>オリアーと話して、取材のおみやげを貰った。キピ・ジャッキヤも奮って宣伝記事を書くようだ。引き続き、MGP1.5倍のゴールドソーサー・フェスティバルを楽しもう。","","False","0x00000003","",""
"","TEXT_FESGSC702_04728_SEQ_04<tab>","TEXT_FESGSC702_04728_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_FESGSC702_04728_SEQ_05<tab>","TEXT_FESGSC702_04728_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_FESGSC702_04728_SEQ_06<tab>","TEXT_FESGSC702_04728_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_FESGSC702_04728_SEQ_07<tab>","TEXT_FESGSC702_04728_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_FESGSC702_04728_SEQ_08<tab>","TEXT_FESGSC702_04728_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESGSC702_04728_SEQ_09<tab>","TEXT_FESGSC702_04728_SEQ_09<tab>","","False","0x00000009","",""
