"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKSA502_04813_SEQ_00<tab>Hasdahd is deep in thought.","TEXT_AKTKSA502_04813_SEQ_00<tab>Hasdahd ist in Gedanken versunken.","","False","0x00000000","",""
"","TEXT_AKTKSA502_04813_SEQ_01<tab>Hasdahd mulls over the elder's words, desperate to do more for his village now that he is home. He hopes to come up with an answer by catching up with those he hasn't seen since fire rained from the skies.","TEXT_AKTKSA502_04813_SEQ_01<tab>Hasdahd denkt über die Worte des Dorfältesten nach. Jetzt, wo er zu Hause ist, will er seinem Dorf helfen, wo er nur kann. Er hofft, Antworten zu finden, indem er das Gespräch mit jenen sucht, die er nicht mehr gesehen hat, seit Feuer vom Himmel regnete. ","","False","0x00000001","",""
"","TEXT_AKTKSA502_04813_SEQ_02<tab>Your companions are all too happy to have you accompany them on their tour of the village. As the hero who saved Palaka's Stand during the Final Days, you will no doubt have ample opportunity to ask questions of the villagers. Mehdjina adds that there are “others” with whom she wishes to speak as well, and as understanding passes between them, you glimpse a raw pain in Hasdahd's eyes.

※You must be accompanied by Hasdahd and Mehdjina to complete this task. Speak with either one of them should you become separated.","TEXT_AKTKSA502_04813_SEQ_02<tab>Deine Gefährten sind nur allzu froh, dass du sie auf ihrem Rundgang durch das Dorf begleitest. Als <var 08 E905 ((die Heldin)) ((der Held)) /var>, <var 08 E905 ((die)) ((der)) /var> Palakas Ruh während der Letzten Tage gerettet hat, wirst du zweifellos reichlich Gelegenheit haben, den Dorfbewohnern Fragen zu stellen. Mehdjina erinnert Hasdahd derweil an „andere“, mit denen sie ebenfalls sprechen sollten. Dieser kann den Schmerz in seinen Augen nicht gänzlich verbergen, als er sich dem Sinn dieser Worte bewusst wird.

※ Solltest du vor Abschluss des Auftrags von Hasdahd und Mehdjina getrennt werden, kannst du sie erneut ansprechen, um den Auftrag fortzusetzen.","","False","0x00000002","",""
"","TEXT_AKTKSA502_04813_SEQ_03<tab>Your tour of the village draws to a close, and Mehdjina and Hasdahd exchange a glance. It is time to make another journey, they tell you─one into the jungle and to the temple of Purusa.

※You must be accompanied by Hasdahd and Mehdjina to complete this task. Speak with either one of them should you become separated.","TEXT_AKTKSA502_04813_SEQ_03<tab>Euer Rundgang durch das Dorf neigt sich dem Ende zu, und Mehdjina und Hasdahd werfen sich vielsagende Blicke zu. Es sei Zeit für eine weitere Reise, sagen sie<var 1D /var>- in den Dschungel und zum Tempel von Purusa.

※ Solltest du vor Abschluss des Auftrags von Hasdahd und Mehdjina getrennt werden, kannst du sie erneut ansprechen, um den Auftrag fortzusetzen.","","False","0x00000003","",""
"","TEXT_AKTKSA502_04813_SEQ_04<tab>The jungle is never silent, but a stillness descends as Mehdjina and Hasdahd offer prayers to their parents who perished during the Final Days. You observe from a distance, your presence alone ensuring no beasts approach the pair.

Having fulfilled this personal obligation, Mehdjina and Hasdahd are now ready to address the village's situation, and your words of guidance are all they need to piece together an idea to secure the future prosperity of both Palaka's Stand <var 1A 02 /var>and<var 1A 01 /var> Tataru Taru's Boutique.","TEXT_AKTKSA502_04813_SEQ_04<tab>Stille legt sich über den sonst so lauten Dschungel, als Mehdjina und Hasdahd ihren Eltern, die während der Letzten Tage umgekommen sind, am Tempel ihre Ehre erweisen. Du beobachtest sie aus der Ferne, und allein deine Anwesenheit sorgt dafür, dass kein wildes Tier die Ruhe des andächtigen Paares stört.

Nun, da Mehdjina und Hasdahd ihr persönliches Anliegen umsetzen konnten, sind sie bereit, die Situation des Dorfes anzusprechen. Deine weisen Worte sind letztlich alles, was sie brauchen, um eine Idee für das zukünftige Wohlergehen von Palakas Ruh <var 1A 02 /var>und<var 1A 01 /var> Tatarus Wohlstandsmanufaktur zu entwickeln.","","False","0x00000004","",""
"","TEXT_AKTKSA502_04813_SEQ_05<tab>Elder Yeruvvet is impressed with Mehdjina and Hasdahd's idea to sell handcrafted goods through the boutique. He wishes the pair well on their journey back to Sharlayan, and the two leave with hearts far lighter than when they arrived.","TEXT_AKTKSA502_04813_SEQ_05<tab>Yeruvvet ist von Mehdjinas und Hasdahds Idee beeindruckt, über die Manufaktur handgefertigte Waren zu verkaufen. Er wünscht ihnen eine gute Reise zurück nach Sharlayan, und die beiden treten diese mit weitaus leichteren Herzen als bei ihrer Ankunft an.","","False","0x00000005","",""
"","TEXT_AKTKSA502_04813_SEQ_06<tab>You return to happy tidings: Tataru's necklace has been successfully restored by the selfsame lapidary to whom Tataru was once apprenticed. The finished piece is even more stunning than anyone anticipated─and for the final touch, Varsarudh insists that you engrave the symbol of Nald'thal into the backing of the sapphire. After you oblige her to the best of your ability, the four of you scurry off to Scholar's Harbor to await Tataru's imminent return.

After briefing Tataru on events in Palaka's Stand, Mehdjina pitches her idea for Hannish handicrafts, which the entrepreneur takes to straightaway. The subsequent confirmation that her employees intend to remain with the boutique for the foreseeable future gives Tataru cause to relax. However, the air still tingles with anticipation...

Tataru jovially accepts the surprise gift handed to her─and then, as her gaze falls upon the tear-shaped sapphire, her eyes grow wide in recognition. As she listens to the tale of the necklace's restoration, the weight of what she now holds becomes clear: a fragment of what she thought lost framed by all she has gained. A celebration of the connections she has forged with people throughout the world, and the beauty they have brought into countless lives.","TEXT_AKTKSA502_04813_SEQ_06<tab>In Alt-Sharlayan erhältst du frohe Kunde: Tatarus Halskette wurde erfolgreich von demselben Juwelier restauriert, bei dem Tataru einst in die Lehre ging. Das fertige Schmuckstück ist noch atemberaubender als gedacht, und Varsarudh bittet dich um den letzten Schliff auf der Rückseite des Saphirs<var 1D /var>- eine Gravur des Symbols von Nald'thal. Anschließend macht ihr euch zu viert auf den Weg zu Thaliaks Pforte, um dort Tatarus Ankunft zu erwarten.

Ihr unterrichtet Tataru über die Ereignisse in Palakas Ruh und Mehdjina unterbreitet ihre Idee, Kunsthandwerk aus Thavnair anzubieten<var 1D /var>- ein Vorschlag, der von der Geschäftsfrau sofort begeistert aufgenommen wird. Tataru vergewissert sich noch bei ihren Mitarbeitern aus Thavnair, ob sie ihre Arbeit in Sharlayan auf absehbare Zeit fortsetzen werden, und die positive Reaktion erleichtert sie sichtlich. Doch noch ist Zeit, ihr eine weitere Freude zu bereiten<var 1D /var>...

Tataru nimmt das Überraschungsgeschenk gespannt entgegen, und als sie den tränenförmigen Saphir erblickt, weiten sich ihre Augen. Während sie der Geschichte der Restaurierung der Halskette lauscht, wird sie sich der ganzen Bedeutung dessen klar, was sie jetzt in Händen hält: ein Stück von dem, was sie einst verloren glaubte, umrahmt von allem, was sie gewonnen hat. Ein Beweis für die Verbindungen, die sie mit Leuten auf der ganzen Welt geknüpft hat, und für die Schönheit, die sie in unzählige Leben gebracht hat.","","False","0x00000006","",""
"","TEXT_AKTKSA502_04813_SEQ_07<tab>Tataru's bespoke chocobo barding has reassuring heft and will doubtless fit your constant companion like a glove. As you part ways with Tataru Taru's Boutique, you are sure it will continue to enjoy remarkable success for its peerless wares. As for what other grand endeavors the ambitious young woman may embark on in the future─only time will tell.","TEXT_AKTKSA502_04813_SEQ_07<tab>Tatarus maßgeschneiderter Chocobo-Harnisch hat ein ordentliches Gewicht und wird deinem ständigen Begleiter wie angegossen passen. Du verabschiedest dich von Tatarus Wohlstandsmanufaktur in dem Wissen, dass sie weiterhin bemerkenswerten Erfolg mit ihren un<var 16 /var>ver<var 16 /var>gleich<var 16 /var>li<var 16 /var>chen Waren haben wird. Was die ehrgeizige junge Frau in Zukunft noch alles unternehmen wird, steht noch in den Sternen.","","False","0x00000007","",""
"","TEXT_AKTKSA502_04813_SEQ_08<tab>","TEXT_AKTKSA502_04813_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_AKTKSA502_04813_SEQ_09<tab>","TEXT_AKTKSA502_04813_SEQ_09<tab>","","False","0x00000009","",""
