"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CHRHDY451_04807_SEQ_00<tab>The House Manderville artisan stands ready to facilitate your augmentation request.
※Changing classes or jobs will prevent progress during this quest.","TEXT_CHRHDY451_04807_SEQ_00<tab>The House Manderville artisan stands ready to facilitate your augmentation request.
※Changing classes or jobs will prevent progress during this quest.","","False","0x00000000","",""
"","TEXT_CHRHDY451_04807_SEQ_01<tab>You approach the House Manderville artisan to request the perfection of another Manderville weapon. The ever-enthusiastic craftsman assures you that all is in readiness─except, of course, for the three ample samples of crystallite he bids you prepare.

※You may not proceed with a class or job that is different from when you accepted this quest.

※Chunks of cosmic crystallite can be obtained from Jubrunnah at the aetheryte plaza in Radz<var 1F /var>at<var 1F /var>Han.","TEXT_CHRHDY451_04807_SEQ_01<tab>You approach the House Manderville artisan to request the perfection of another Manderville weapon. The ever-enthusiastic craftsman assures you that all is in readiness─except, of course, for the three ample samples of crystallite he bids you prepare.

※You may not proceed with a class or job that is different from when you accepted this quest.

※Chunks of cosmic crystallite can be obtained from Jubrunnah at the aetheryte plaza in Radz<var 1F /var>at<var 1F /var>Han.","","False","0x00000001","",""
"","TEXT_CHRHDY451_04807_SEQ_02<tab>With your proffered crystallite in hand, the House Manderville artisan calls upon his High Crucible colleagues to assist with the weaponry's final stage of refinement. The result is “bloody immaculate,” as Gerolt himself puts it, and you are encouraged to return (with more crystallite) should you wish to enhance another Mandervillian masterpiece.","TEXT_CHRHDY451_04807_SEQ_02<tab>With your proffered crystallite in hand, the House Manderville artisan calls upon his High Crucible colleagues to assist with the weaponry's final stage of refinement. The result is “bloody immaculate,” as Gerolt himself puts it, and you are encouraged to return (with more crystallite) should you wish to enhance another Mandervillian masterpiece.","","False","0x00000002","",""
"","TEXT_CHRHDY451_04807_SEQ_03<tab>","TEXT_CHRHDY451_04807_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_CHRHDY451_04807_SEQ_04<tab>","TEXT_CHRHDY451_04807_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_CHRHDY451_04807_SEQ_05<tab>","TEXT_CHRHDY451_04807_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_CHRHDY451_04807_SEQ_06<tab>","TEXT_CHRHDY451_04807_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CHRHDY451_04807_SEQ_07<tab>","TEXT_CHRHDY451_04807_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CHRHDY451_04807_SEQ_08<tab>","TEXT_CHRHDY451_04807_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CHRHDY451_04807_SEQ_09<tab>","TEXT_CHRHDY451_04807_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CHRHDY451_04807_SEQ_10<tab>","TEXT_CHRHDY451_04807_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CHRHDY451_04807_SEQ_11<tab>","TEXT_CHRHDY451_04807_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CHRHDY451_04807_SEQ_12<tab>","TEXT_CHRHDY451_04807_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CHRHDY451_04807_SEQ_13<tab>","TEXT_CHRHDY451_04807_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CHRHDY451_04807_SEQ_14<tab>","TEXT_CHRHDY451_04807_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CHRHDY451_04807_SEQ_15<tab>","TEXT_CHRHDY451_04807_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CHRHDY451_04807_SEQ_16<tab>","TEXT_CHRHDY451_04807_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CHRHDY451_04807_SEQ_17<tab>","TEXT_CHRHDY451_04807_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CHRHDY451_04807_SEQ_18<tab>","TEXT_CHRHDY451_04807_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CHRHDY451_04807_SEQ_19<tab>","TEXT_CHRHDY451_04807_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_CHRHDY451_04807_SEQ_20<tab>","TEXT_CHRHDY451_04807_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_CHRHDY451_04807_SEQ_21<tab>","TEXT_CHRHDY451_04807_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_CHRHDY451_04807_SEQ_22<tab>","TEXT_CHRHDY451_04807_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_CHRHDY451_04807_SEQ_23<tab>","TEXT_CHRHDY451_04807_SEQ_23<tab>","","False","0x00000017","",""
