"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESVLX001_04808_SEQ_00<tab>Astrid is not-so-subtly indicating her desire for you to approach.

※This quest is available for a limited time only.","TEXT_FESVLX001_04808_SEQ_00<tab>※ Dieser Auftrag ist nur für die Dauer des saisonalen Ereignisses verfügbar.

Astrid macht einen ungewohnt besorgten Eindruck.","","False","0x00000000","",""
"","TEXT_FESVLX001_04808_SEQ_01<tab>In need of a helping hand, Astrid de Valentione, head emissary of the Valentione's Day celebrations, asks that you fetch the apprentice emissary Emilie, who has been preparing a mysterious surprise for the day's festivities. Being the chivalrous soul that you are, you happily oblige.

※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone.","TEXT_FESVLX001_04808_SEQ_01<tab>※ Dieser Auftrag kann nur für die Dauer des saisonalen Ereignisses angenommen und gespielt werden. Nach Ende des saisonalen Ereignisses kann er nicht mehr abgeschlossen werden. Weitere Informationen findest du auf dem Lodestone.

Astrid macht sich Sorgen um ihre Liebesbotinnen-Kollegin Emilie, die für eine geheime Mission weggeschickt worden war, aber noch immer nicht zurückgekehrt ist. Astrid bittet dich darum, dich zum Atelier Fen-Yll zu begeben und dort nach Emilie zu suchen.","","False","0x00000001","",""
"","TEXT_FESVLX001_04808_SEQ_02<tab>As told, you find Emilie practicing in a spot of shade not a stone's throw from Fen<var 1F /var>Yll Fineries. Should you wish to find out what she was practicing, she insists you return to Mih Khetto's Amphitheatre.","TEXT_FESVLX001_04808_SEQ_02<tab>Tatsächlich findest du an besagtem Ort Emilie vor, die gerade in eine eigenartige Übung vertieft ist, die wohl mit ihrer geheimen Mission zusammen<var 16 /var>hängt. Kehre zu Mih Khettos Amphitheater zurück, um Astrid davon zu berichten.","","False","0x00000002","",""
"","TEXT_FESVLX001_04808_SEQ_03<tab>Astrid thanks you for retrieving Emilie, who is now ready to reveal her surprise. And indeed, a look of astonishment briefly rests upon your face when she at last performs the so-called “Embodiment of Love.” Explaining that she hoped this bold expression of affection would inspire others to act on their feelings, Astrid is of a mind to have you both display the gesture before the townsfolk─if not for the fact that it would be an arduous task without a third pair of hands. With perfect timing, Lisette de Valentione enters the stage, offering to lend her assistance. Your numbers thus buoyed, Astrid asks that you speak with her when you are ready to begin.","TEXT_FESVLX001_04808_SEQ_03<tab>Astrid ist begeistert von Emilies neuer Erfindung, die den Gridaniern passend zum Fest der Liebe dabei helfen soll, ihre Herzen zu öffnen, und bittet dich direkt um deine Unterstützung. Lisette, die das Gespräch zufällig mitbekommen hat, bietet ebenfalls ihre Hilfe dabei an, Emilies Erfindung unter die Leute bringen. Sprich Astrid an, wenn du bereit bist, den Auftrag auszuführen.","","False","0x00000003","",""
"","TEXT_FESVLX001_04808_SEQ_04<tab>","TEXT_FESVLX001_04808_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_FESVLX001_04808_SEQ_05<tab>","TEXT_FESVLX001_04808_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_FESVLX001_04808_SEQ_06<tab>","TEXT_FESVLX001_04808_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_FESVLX001_04808_SEQ_07<tab>","TEXT_FESVLX001_04808_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_FESVLX001_04808_SEQ_08<tab>","TEXT_FESVLX001_04808_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESVLX001_04808_SEQ_09<tab>","TEXT_FESVLX001_04808_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_FESVLX001_04808_SEQ_10<tab>","TEXT_FESVLX001_04808_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_FESVLX001_04808_SEQ_11<tab>","TEXT_FESVLX001_04808_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_FESVLX001_04808_SEQ_12<tab>","TEXT_FESVLX001_04808_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_FESVLX001_04808_SEQ_13<tab>","TEXT_FESVLX001_04808_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_FESVLX001_04808_SEQ_14<tab>","TEXT_FESVLX001_04808_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_FESVLX001_04808_SEQ_15<tab>","TEXT_FESVLX001_04808_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_FESVLX001_04808_SEQ_16<tab>","TEXT_FESVLX001_04808_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_FESVLX001_04808_SEQ_17<tab>","TEXT_FESVLX001_04808_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_FESVLX001_04808_SEQ_18<tab>","TEXT_FESVLX001_04808_SEQ_18<tab>","","False","0x00000012","",""
