"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","<tab>","<tab>","","False","0x00000000","",""
"","Whom the Silkie Serves<tab>What a surprise to learn that the old palace silkie was a creation of Mother's! The discovery impelled me to pursue the topic with Papashan, who, of anyone besides Father, knew my mother best of all. Naturally, I was circumspect in my inquiries, lest he become aware of my subterranean explorations. 
With fond remembrance, Papashan spoke of Mother's penchant for cleaning─a habit she refused to surrender even after taking up residence in the royal chambers. Her ladies-in-waiting were positively scandalized, and hid away every brush and broom that the sultana's hands not be sullied by common grime. Denied the usual tools of sanitation, Mother retaliated by employing a Sharlayan tutor, whereby she acquired the arts necessary to manifest a massive, mouselike familiar. Ingrained with an obsessive dislike of dirt, this arcane entity would even corner the palace guards to scrub spots from their armor─to the great amusement of the household staff. Then one day, without fanfare, the silkie was simply gone.
I suspect the cause of its disappearance lay in the deepening conflict with the Monetarists; with less and less time to slip away from the palace, Mother likely set her familiar to protect and maintain the secret garden in her absence. Yet what a stubborn and willful soul she was! To create a servant for cleaning is one thing, but to imbue it with such unbridled power is quite another!","C'est du propre<var 1D /var>!<tab>Quelle surprise de découvrir que Silkie, l'ancien familier de ménage du palais sacré d'Ul'dah, appartenait en réalité à Mère<var 1D /var>! Papashan l'ayant bien connue de son vivant, nous sommes allée l'interroger à ce sujet (évidemment de façon détournée, sans rien lui révéler de nos virées souterraines).
Selon ses dires, Mère était très à cheval sur la propreté, au point que dès son arrivée au palais, elle s'était mise à en éponger les coins et recoins elle-même. Catastrophées à l'idée que l'épouse du sultan se salisse les mains, ses servantes n'avaient eu d'autre choix que de soustraire à sa vue tout le nécessaire de nettoyage. Cependant, cela n'arrêta pas leur maîtresse, qui engagea alors un mage sharlayanais pour lui apprendre à créer un familier de ménage géant<var 1D /var>: Silkie. Dès qu'il apercevait la moindre trace de crasse, le rongeur se ruait aussitôt dessus, quitte à bousculer au passage quelques casques d'argent... Il était apparemment devenu une attraction locale lorsqu'un beau jour, on ne sait trop quand, il disparut du palais. Le conflit avec les monétaristes s'in<var 16 /var>ten<var 16 /var>si<var 16 /var>fiant, on peut imaginer que Mère lui ait confié la garde de son jardin secret, sachant qu'elle aurait moins le temps d'y flâner.
Quelle hardiesse tout de même<var 1D /var>! C'était déjà osé de sa part de créer un tel familier, mais qu'elle l'ait en plus doté d'une force prodigieuse... C'est le pompon, pourrait-on dire<var 1D /var>!","","False","0x00000001","",""
"","Pride and Acceptance<tab>With a mind to prepare for future explorations, I began trawling through the palace archives in search of documents with even a tangential mention of Sil'dih. For the most part, however, the shelves held little in the way of new information. The only account to snare my attention was that of an Ul'dahn soldier, who had written of his experiences fighting alongside the Amalj'aa during the zombie purge. His report touched upon the different approach his new allies took to warfare, and how those differences impeded their cooperative efforts.
It was said that the undead which flooded the waterways were beyond counting, and varied wildly in individual strength. The most effective strategy, or so this soldier believed, was to focus their efforts on the weaker zombies, and thus whittle the horde down to a more manageable size. Not so the Amalj'aa. When presented with the choice, the proud warriors would always seek to slay the mightiest enemies first. This display of superiority, they explained to the exasperated Ul'dahn, was the best way to wage war. To do otherwise─to begin an engagement with the lesser foe─would cast doubt upon one's martial prowess.
'Twould seem they learned to respect each other's reasoning, yet ultimately fought their battles as their peoples preferred. The Ul'dahn soldier returned to his former tactic, targeting the weakest undead for his initial assaults. An interesting point of culture, mayhap, but a helpful one? That remains to be seen.","Une question de fierté<tab>Dans l'espoir de trouver quelque ren<var 16 /var>sei<var 16 /var>gne<var 16 /var>ment utile, nous avons épluché les documents d'archives du palais concernant l'histoire de Sil'dih. Hélas, les rapports officiels contiennent, sans surprise, très peu d'in<var 16 /var>for<var 16 /var>ma<var 16 /var>tions nouvelles. Notre seule découverte intéressante est le témoignage d'un soldat uldien ayant combattu avec les Amalj'aa durant la grande chasse aux zombis. Il y décrit une coopération loin d'être évidente, la faute à des divergences majeures dans la façon d'approcher le combat.
À l'époque, les canalisations sildiennes étaient envahies par d'innombrables zombis de taille et de force variables. Du point de vue du soldat, il était logique de s'attaquer en priorité aux plus faibles afin d'élaguer rapidement les rangs ennemis. Or, les Amalj'aa ne l'entendaient pas de cette oreille, et allaient systématiquement vers l'adversaire le plus coriace du lot en premier. Il leur demanda pourquoi<var 1D /var>; ils répondirent qu'il s'agissait pour eux d'une manière d'afficher leur force, et que l'approche inverse ne pouvait que trahir un manque de confiance en soi.
Chacun aurait finalement respecté l'opinion de l'autre, et combattu selon sa préférence<var 1D /var>; autrement dit, les Uldiens ont d'abord attaqué les zombis les plus faibles. Nous ne savons pas si cette information s'avérera utile, mais nous tenions tout de même à la noter, à tout hasard...","","False","0x00000002","",""
"","A Spot in the Sunlight<tab>He, a member of the royal family. She, the daughter of a modest merchant house. They met at a palace banquet─an opportunity to mix with the notables of commerce─and it was love at first sight. Ah, I adore that story─'tis so very romantic. Mother would go on to tell me of the secluded place her and Father would visit ere they were bound in marriage; of a sun-dappled garden at the end of a secret tunnel, where they could enjoy each other's company away from prying eyes and judgmental stares. In other words, a perfect description of the sanctuary we discovered on our recent foray.
When they did at last announce the details of their engagement, the location of this magical place where Father proposed to Mother became the subject of much rumor and debate. I am told that the city's merchants, being the same incorrigible creatures then as they are now, seized upon this furor to turn a tidy profit. They never did come close to the truth of it, but after visiting the spot myself, 'tis easy to see why it has remained undisturbed.
I imagine the two of them in their younger years, whiling away an idle morning amidst the dawn-kissed petals, their haven protected beneath a barrier of Thanalan's scorching sand, and I cannot help but smile. Never until now have I managed to think of them without a pang of sadness. Have I been captive to grief for so very long...?","À deux, au soleil<tab>Lui était le sultan d'Ul'dah. Elle, la fille d'une modeste famille de marchands. Leur rencontre eut lieu lors d'un banquet d'affaires organisé au palais<var 1D /var>; d'après eux, ce fut aussitôt le coup de foudre. Romantique, n'est-ce pas<var 1D /var>? Et ce n'est pas tout<var 1D /var>: avant de s'unir, nos parents avaient, semble-t-il, pris l'habitude de se retrouver en privé dans leur “jardin secret”<var 1D /var>; un lieu pro<var 16 /var>fon<var 16 /var>dé<var 16 /var>ment enfoui sous la terre, mais pourtant ensoleillé, et même fleuri... exactement comme le coin de verdure que nous avons découvert au fond des canalisations sildiennes.
Par la suite, leurs fiançailles furent annoncées, et beaucoup d'Uldiens s'interrogèrent sur le lieu de demande en mariage du sultan... Des petits malins en auraient même profité pour prendre les paris, preuve s'il en est que nos concitoyens ont toujours eu le commerce dans le sang<var 1D /var>! Malgré tout, personne ne découvrit jamais l'endroit en question, et on comprend facilement pourquoi.
Pour notre part, nous retiendrons cette image<var 1D /var>: celle de Père et de Mère passant un moment privilégié, dans leur petit coin de paradis caché sous le sable ardent du Thanalan... Rien que d'y penser, nous en avons le sourire aux lèvres. Après tant d'années, il était temps que leur souvenir nous évoque enfin des sentiments joyeux...","","False","0x00000003","",""
"","A Key Memory<tab>On my fifth nameday, my parents gifted me with a key wrought in silver─but not the knowledge of what it opened. “When you are a woman grown, we will take you to the precious place this key protects,” Mother had explained. Father had nodded, saying it was “where slumbers the memories which neither we, nor Ul'dah, should ever forget.” I, a child of five, understood only that I was being forced to wait for my true present. Oh, how I had sulked and fumed back then! Yet now I cling to that fading recollection with desperate fingers, like a failed merchant to her dwindling coinpurse.
'Twas too soon after when Mother and Father were called away to Thal's eternal halls. Their sudden absence left me hollow and dazed; my ascension to the throne followed by torturous days of uncertainty steeped in sorrow. It seemed I stumbled across the desert, the sands burning one moment, freezing the next. All thoughts of keys and secret places were cast aside, forgotten.
Why had they entrusted such a portentous gift to a daughter so young? Had they foreseen the “accident” which would befall them? Or had some other factor influenced their actions? Their true intentions are lost to time. There is only one thing I can know for certain: that the key was left in my hands for good reason.","La clef des souvenirs<tab>Pour notre cinquième anniversaire, nos parents nous offrirent une clef en argent, sans toutefois nous en préciser l'utilité exacte. “Lorsque tu seras devenue une grande et gente dame, nous t'emmènerons découvrir un lieu qui nous est cher”, disait Mère. “Un lieu chargé d'histoire uldienne”, renchérissait Père. Pour l'enfant que nous étions, c'était comme recevoir un cadeau sans être autorisée à l'ouvrir – assez frustrant, il faut bien le dire... Néanmoins, nous gardons, avec le recul, un souvenir ému de ce moment.
Quelque temps plus tard, nos parents rejoignaient tous deux le royaume de Thal<var 1D /var>; une séparation brutale, qui nous laissait seule et désemparée face aux res<var 16 /var>pon<var 16 /var>sa<var 16 /var>bi<var 16 /var>li<var 16 /var>tés de sultane qui nous incombaient désormais. Nous avancions, pleine de tristesse et de doutes, comme à travers un désert au sable tantôt brûlant, tantôt glacial. La clef<var 1D /var>? La promesse de nos parents<var 1D /var>? Ce lieu si cher à leurs yeux<var 1D /var>? Oubliés, perdus dans un coin de notre mémoire.
Pourquoi nous avoir fait un tel cadeau, et si précocement<var 1D /var>? Pressentaient-ils le malheur qui allait s'abattre sur eux<var 1D /var>? Ou y avait-il une autre raison que nous ignorons<var 1D /var>? Nos parents ne sont plus là pour nous répondre, mais nous avons malgré tout une certitude<var 1D /var>: cette clef n'est pas entre nos mains par hasard.","","False","0x00000004","",""
"","In Father's Stead<tab>The Amalj'aa constructed Zahar'ak when they came to join Ul'dah in purging the undead infestation from the subterrane. And if Zahar'ak was their main war camp, then the old fortifications we passed through would have served as a forward base. The question, then, is why did my parents gift me the means to visit these rusted defenses? In my late father's possessions was a diary which made reference to “irrefutable evidence of the alliance”─mayhap there is more to the place we have yet to discover.
In life, Father was a staunch opponent of the edict to banish the so-called “beast tribes.” Arrayed against him were the Monetarists, who sought to preserve their special concessions and privileges by ousting their competitors. 'Twas with the backing of the Syndicate that they overruled the sultan's will, and forced their proposal into law. Unwilling to concede defeat, Father intended to take the battle to the court of public consensus. His weapons would not be easily forged documents or records, but physical proof of the Amalj'aa contribution to Ul'dah's continued prosperity. Then the “accident” happened, ending his plans to appeal for harmony ere they could truly begin.
Which brings us back to this mention of evidence. I know not what form it might take, or indeed, if it yet even exists, but should a thorough search of that forgotten base provide us with clues... We are on the cusp of brokering a lasting peace with the Amalj'aa─if I can but discover this elusive proof, then the aspirations Father had for our nation may finally become a reality.","Un combat politique<tab>Si l'on admet que le camp de Zahar'ak, construit par les Amalj'aa à l'époque de la grande chasse aux zombis, était leur fief principal, alors ce que nous avons découvert dans les canalisations sildiennes était sans doute un avant-poste. Une découverte loin d'être anodine, puisque c'est la clef de nos parents qui permet d'y accéder<var 1D /var>; et que le journal laissé par Père après son décès mentionnait l'existence d'une “preuve formelle de notre alliance passée avec les Amalj'aa”.
Tout au long de sa vie, Père a été un fervent opposant à la loi bannissant les hommes-bêtes de la cité. Ce sont les monétaristes qui, dans leur propre intérêt, en avaient forcé la promulgation, contre sa volonté de sultan et avec l'appui du Cartel des Scorpions. À ce que l'on raconte, Père avait tenté de mobiliser l'opinion publique contre ladite loi, s'engageant à présenter non pas des écrits ou des rapports facilement falsifiables, mais une preuve tangible et incontestable d'un combat mené aux côtés des Amalj'aa, censée faire pencher la balance en faveur de la réconciliation. Hélas, un “accident” l'emporta avant qu'il n'achève sa lutte.
Quelle était cette “preuve formelle” et où se trouve-t-elle<var 1D /var>? Aujourd'hui encore, nous sommes incapable de répondre à ces questions. Peut-être découvrirons-nous des indices au sein de ce fameux avant-poste...
À y repenser, nous n'avons jamais vraiment pu aider nos parents... Mais à présent que la paix avec les Amalj'aa semble plus que jamais à portée de main, nous aimerions pouvoir accomplir l'idéal de Père à sa place. Encore faut-il mettre la main sur cette “preuve”...","","False","0x00000005","",""
"","Ul'dah's Sin to Bear<tab>When that Amalj'aa champion burst forth from his casket, the blood nigh froze within my veins. He must have suffered injury during the purge, the zombie corruption finding its way into his flesh...
The Traders' Spurn was concocted by Ul'dahn thaumaturges, and employed by the reigning sultan during our war with Sil'dih. Sasagan III even knowingly propagated the fiction that it was the <var 1A 02 /var>Sil'dihns<var 1A 01 /var> who devised this abhorrent alchemy in an effort to turn their own citizens into undying soldiers. An accusation from the House of Thorne saw Sasagan III later punished for his heinous acts, and thus ended the first Ul Dynasty. His lies, however, would live on to become accepted history.
This deceit was upheld by a desire to preserve not only the Ul Dynasty's authority, but also the standing of the Order of Nald'thal─an institution deeply entwined with thaumaturgical practices. And it can be said that few Ul'dahns would wish to accept that their home was built upon the corpse of a city so brutally slain by their forebears. Yet without a clear view of the past, we cannot be sure of our course for the future. The sight of that rotting Amalj'aa hero was all too stark a reminder: as a sultana of the House of Ul, I bear responsibility for my ancestor's atrocities. And though we suffer for the truth, even as Ishgard did for hers, the time has come to set the records aright.","Le poids du péché<tab>Quelle macabre découverte que ce guerrier amalj'aa enfermé dans son sarcophage... Sans doute a-t-il subi, durant la chasse aux zombis, une blessure par laquelle le mal s'est insinué dans sa chair...
La poudre putréfactrice, préparation interdite permettant de ranimer les morts, fut mise au point jadis par des occultistes uldiens. Notre Cité l'employa contre sa rivale Sil'dih<var 1D /var>; comble de la perfidie, le sultan Sasagan III accusa l'état-major sildien d'avoir concocté la poudre pour transformer ses propres citoyens en soldats serviles. En fin de compte, il fut traduit en justice par les Thorne, lors d'un procès qui signa la fin de la première dynastie des Ul. Cependant, le mensonge d'État lui survécut, et perdure encore aujourd'hui.
Cette histoire falsifiée est la résultante de volontés multiples<var 1D /var>: celle des Ul, qui se seraient accrochés au pouvoir par tous les moyens, et celle de l'ordre de Nald'thal, qui entretenait des liens étroits avec les occultistes. Évidemment, un grand nombre d'Uldiens auraient également refusé d'admettre que leur cité s'est construite sur les ruines d'une autre, au prix d'un ignoble crime de guerre.
Pourtant, nous avons la conviction que l'avenir ne s'envisage qu'en raccord avec le passé. L'image de cet Amalj'aa déchu nous rappelle à nous, descendante des Ul, la res<var 16 /var>pon<var 16 /var>sa<var 16 /var>bi<var 16 /var>li<var 16 /var>té qui pèse sur nos épaules. À l'instar d'Ishgard, le moment est peut-être venu pour Ul'dah de renouer avec toute son histoire, aussi douloureuse soit-elle.","","False","0x00000006","",""
"","To Learn More of Myrrh<tab>I wished to consult with the Amalj'aa over a certain facet of our expedition, yet I could hardly bring up the subject during one of our regular councils. Should it become known that the royal person had been slipping out of the palace to conduct secret investigations, then my trusted escort would be caught up in an unpleasant storm of repercussions. Nay, I must be discreet.
As such, I approached the Amalj'aa war chief at meeting's end, and engaged him with the usual empty pleasantries─eventually steering the conversation to tribal custom. I explained that the coffin of a zombie-cursed warrior had been discovered within Ul'dahn territory, and wondered at the traditional rites one might perform to send his kin's unfortunate soul on to the afterlife.
Somewhat taken aback, the war chief advised that it was of paramount importance to avoid disturbing the warrior's undead slumber. “Leave the coffin untouched,” he warned. “Stand facing the valorous spirit, and perform a single bow. Offer your respects for a life well lived, celebrate the warrior's greatest victory, and then kneel in a moment of reflection.”
Thus did the Amalj'aa mourn comrades fallen on the field of battle, burning myrrh incense at the culmination of the ritual to guide their sanctified souls unto the everlasting flame.
In receiving his answer, I was suddenly struck by a cavalcade of questions I had never thought to ask. I felt ashamed at my ignorance, and am now resolved to learn more of this proud people's culture.","Des prières au parfum de myrrhe<tab>Nous voulions nous enquérir auprès des Amalj'aa d'un sujet précis concernant les canalisations sildiennes, mais nous ne sommes pas parvenue à l'aborder durant la dernière réunion générale. S'il venait à s'ébruiter que la sultane d'Ul'dah s'échappe en secret de ses appartements pour mener une enquête à l'abri des regards, cela aurait des répercussions fâcheuses sur notre garde du corps. Nous devons rester aussi discrète que possible.
Ainsi, après la fin de la réunion, nous avons opté pour une con<var 16 /var>ver<var 16 /var>sa<var 16 /var>tion privée avec le chef amalj'aa, que nous avons habilement fait dévier des banalités d'usage à la question des rites funéraires pratiqués par sa tribu. Nous lui avons appris qu'un sarcophage renfermant un guerrier amalj'aa zombifié avait été découvert, puis nous lui avons demandé de bien vouloir nous enseigner la manière adéquate d'accompagner son esprit dans l'au-delà. Visiblement interloqué, le chef nous a répondu qu'il ne fallait surtout pas toucher directement le cercueil, car cela perturberait le sommeil du guerrier. Voici la procédure à suivre durant la prière telle qu'il nous l'a décrite avec ses propres mots<var 1D /var>: “Tout d'abord, devant le sarcophage inclinez-vous. Ensuite, avec respect recueillez-vous, puis des grandes victoires du héros trépassé réjouissez-vous. Enfin, pour lui dire adieu agenouillez-vous.” En guise de conclusion à ce rite traditionnel créé pour faire honneur aux victimes des champs de bataille, le chef a précisé qu'il fallait brûler de la résine de myrrhe afin de purifier l'âme du défunt.
En l'écoutant at<var 16 /var>ten<var 16 /var>ti<var 16 /var>ve<var 16 /var>ment, nous avons réalisé que notre ignorance des Amalj'aa et de leur culture était malheureusement bien plus grande que nous ne le pensions. Nous tâcherons de combler ce manquement de notre part dès que l'occasion se présentera.","","False","0x00000007","",""
"","Ul'dah and Sil'dih<tab>When Belah'dia splintered into Ul'dah and Sil'dih, the division only deepened with time. The history books tell the tale of escalating hostilities; of how the advent of the Traders' Spurn devastated the Sil'dihns, and brought the conflict to a horrific end. Ul'dah would later migrate to the site of the fallen metropolis, where even now the ruins of the past dot the landscape, or lie hidden from view deep underground. Such remnants proved useful when routing the municipal waterways, and so did they refer to this section of the subterrane as the “Sil'dihn aqueducts.” Given that the war turned savage over water sources, it seems to me a designation of particularly ghoulish sensibilities.
Distasteful naming aside, it should have come as no surprise that these old tunnels fed into other vestiges of Sil'dih. And yet I was wholly unprepared to set foot in the royal palace itself! Had the structure been exposed above ground, the wind-driven sand coupled with the heat of the Thanalan sun would have led to extensive erosion. But cocooned beneath the earth as it was, its chambers have been perfectly preserved.
How rare it must be to encounter ruins in such an unspoiled state. It will provide our historians with a wealth of material to study...assuming they can navigate the intervening passages. We must clear the way, first and foremost, and secure a safe path through.","Ul'dah et Sil'dih<tab>Jadis, la scission de l'antique cité de Belah'dia donna naissance à deux nouvelles entités<var 1D /var>: Ul'dah et Sil'dih. D'après les recueils d'histoire, au bout d'un rude conflit, les Sildiens connurent une fin atroce sous l'emprise d'une poudre putréfactrice qui les décima au complet. La nouvelle capitale, notre belle Ul'dah, fut ensuite fondée sur les décombres de sa jumelle, mais ces derniers peuvent encore être aperçus çà et là autour de la cité, et plus par<var 16 /var>ti<var 16 /var>cu<var 16 /var>liè<var 16 /var>rement dans ses souterrains. Les ins<var 16 /var>tal<var 16 /var>la<var 16 /var>tions qui y avaient été construites prouvèrent qu'elles pouvaient encore être très utiles pour faire circuler l'eau dans les environs<var 1D /var>; elles furent na<var 16 /var>tu<var 16 /var>rel<var 16 /var>le<var 16 /var>ment baptisées les “canalisations sildiennes”. L'ironie de ce nom ne manqua pas de frapper les esprits les plus aiguisés, puisque l'antagonisme entre Uldiens et Sildiens avait émergé en raison de disputes autour des sources d'eau.
Il n'y a rien de foncièrement surprenant à ce que ces canalisations mènent à d'autres vestiges de Sil'dih, mais en les parcourant, nous ne nous imaginions pas mettre sou<var 16 /var>dai<var 16 /var>ne<var 16 /var>ment les pieds dans le palais abandonné<var 1D /var>! S'il avait été situé à la surface, les vents brûlants du Thanalan auraient depuis longtemps provoqué son érosion, mais grâce à l'atmosphère plus clémente des profondeurs, il est en quelque sorte resté figé dans un passé révolu.
Voilà le genre de découverte que nous ne ferons cer<var 16 /var>tai<var 16 /var>ne<var 16 /var>ment qu'une fois dans notre vie<var 1D /var>! Un palais aussi bien conservé fera à coup sûr le bonheur de nos archéologues, pour autant qu'ils puissent parvenir jusqu'à lui sans encombre. Aménager une voie d'accès aussi sûre et rapide que possible doit désormais faire partie de nos priorités.","","False","0x00000008","",""
"","Raising the Flags<tab>When we came across the banner of Sil'dih, so alike to our Ul'dahn flag, I was reminded that the first sultans of those warring nations were twin brothers. Yet the reason behind the design's similarity has naught to do with sibling imitation. In Belah'dia's time, 'twas the Flame of Magic and the Fruit of Knowledge which sat the scales of judgment. Ul'dah took the Flame as its own, balancing the scales with the Gem of Affluence, whilst Sil'dih claimed the Fruit, and set it against the Helm of Might. Each thought himself the rightful heir, and thus did both raise flags depicting the bounties of Belah'dia.
Both included a symbol of strength, but the difference lay in its interpretation: Ul'dah believed in the potency of its magicks; Sil'dih, in its military might. The gladiators who train in our Coliseum are mayhap the closest embodiment of Sil'dihn philosophy. 
In fact, reflecting on the encounter now, the fierce gladiator construct lurking in the palace depths could not have been a more apt incarnation of their beliefs: from the exquisite embossment of grapes upon its formidable helm, to the way its gleaming form─the same silvery hue as Sil'dih's scales─illuminated the subterranean gloom. Through all these years did it stand patient guard, faithfully serving a master centuries dead, and a nation long since fallen into ruin. 'Tis enough to turn one's mood melancholy.","Drapeaux et symboles<tab>Lorsque nous avons posé les yeux sur le drapeau national sildien, nous nous sommes rappelé à quel point Ul'dah et Sil'dih partageaient des racines communes, notamment en raison de la gémellité de leurs souverains. Toutefois, ce n'est pas la seule et unique raison pour laquelle leurs bannières se ressemblent autant. Du temps de Belah'dia, la balance de la justice portait sur ses plateaux le feu sacré et le raisin. C'est par la suite qu'Ul'dah hérita symboliquement du feu, signe de pouvoir, tandis que Sil'dih s'appropria le raisin, signe de sagesse<var 1D /var>; quant au joyau incarnant la richesse et au casque re<var 16 /var>pré<var 16 /var>sen<var 16 /var>tant la force, ils servaient à maintenir l'équilibre de leurs plateaux respectifs. Si les Uldiens et les Sildiens se sont autant inspirés de Belah'dia pour leurs drapeaux, c'était aussi parce que chacun des deux peuples successeurs voulait prouver à l'autre la supériorité de sa légitimité.
En outre, malgré leur identique volonté de mettre en avant une repré<var 16 /var>sen<var 16 /var>ta<var 16 /var>tion de l'idée de pouvoir sur leur étendard, celui envisagé par Ul'dah est prin<var 16 /var>ci<var 16 /var>pa<var 16 /var>le<var 16 /var>ment lié à la magie, tandis que celui de Sil'dih se rapporte en premier lieu à l'art de la guerre, ce qui indique une divergence de vues fondamentale. À ce propos, il nous paraît désormais évident que les gladiateurs qui s'affrontent dans notre Colisée sont davantage en symbiose avec la vision sildienne.
En y réfléchissant de plus près, la statue géante que notre garde du corps a affrontée au fond du palais en affichait également tous les symboles. Son casque était décoré de raisin aux motifs subtils<var 1D /var>; quant à son armure, elle brillait du même éclat argenté que la balance sildienne, malgré le manque de luminosité des sous-sols. Quand nous pensons qu'elle devait errer là depuis une éternité, remplissant seule son devoir de gardienne malgré la disparition de ses maîtres, les larmes nous montent aux yeux...","","False","0x00000009","",""
