"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","<tab>","<tab>","","False","0x00000000","",""
"","Whom the Silkie Serves<tab>What a surprise to learn that the old palace silkie was a creation of Mother's! The discovery impelled me to pursue the topic with Papashan, who, of anyone besides Father, knew my mother best of all. Naturally, I was circumspect in my inquiries, lest he become aware of my subterranean explorations. 
With fond remembrance, Papashan spoke of Mother's penchant for cleaning─a habit she refused to surrender even after taking up residence in the royal chambers. Her ladies-in-waiting were positively scandalized, and hid away every brush and broom that the sultana's hands not be sullied by common grime. Denied the usual tools of sanitation, Mother retaliated by employing a Sharlayan tutor, whereby she acquired the arts necessary to manifest a massive, mouselike familiar. Ingrained with an obsessive dislike of dirt, this arcane entity would even corner the palace guards to scrub spots from their armor─to the great amusement of the household staff. Then one day, without fanfare, the silkie was simply gone.
I suspect the cause of its disappearance lay in the deepening conflict with the Monetarists; with less and less time to slip away from the palace, Mother likely set her familiar to protect and maintain the secret garden in her absence. Yet what a stubborn and willful soul she was! To create a servant for cleaning is one thing, but to imbue it with such unbridled power is quite another!","使い魔の主<tab>　かつて王宮の掃除役を務めていた「シルキー」が、まさか母上の使い魔であったとはな。生前の母上をよく知るパパシャンなら、どういう経緯があったのか知っているやもしれぬと、少し話を聞いてみることにした。むろん探索については気づかれないよう、それとなく、な。
　パパシャンが言うには、母上は大層な綺麗好きであり、王宮に入られてからも、ご自身の手で掃除をしていたらしい。これを見て慌てたのが侍女たちだ。王妃の手を汚してはならぬと、掃除道具を隠すことまでしたという。これに対して母上は、自らの手で掃除できぬならと知都出身の魔道士を招いて術を学び、共に巨大な清掃用使い魔を作り上げたのだとか。汚れありと見るや、銀冑団の近衛騎士すら追い立てて掃除を始める様は、なかなかに観物であったが、いつの間にやら王宮から姿を消していたとのこと。
　おそらく、共和派との対立が深まる中で、思い出の地を訪れる時間を取ることも難しくなり、保守を任せたといったところだろうか。しかし、母上も大胆なことをするものだ。清掃用に使い魔を作ることもそうだが、あれほどの力を持たせるとは……奔放にも程があろう！","","False","0x00000001","",""
"","Pride and Acceptance<tab>With a mind to prepare for future explorations, I began trawling through the palace archives in search of documents with even a tangential mention of Sil'dih. For the most part, however, the shelves held little in the way of new information. The only account to snare my attention was that of an Ul'dahn soldier, who had written of his experiences fighting alongside the Amalj'aa during the zombie purge. His report touched upon the different approach his new allies took to warfare, and how those differences impeded their cooperative efforts.
It was said that the undead which flooded the waterways were beyond counting, and varied wildly in individual strength. The most effective strategy, or so this soldier believed, was to focus their efforts on the weaker zombies, and thus whittle the horde down to a more manageable size. Not so the Amalj'aa. When presented with the choice, the proud warriors would always seek to slay the mightiest enemies first. This display of superiority, they explained to the exasperated Ul'dahn, was the best way to wage war. To do otherwise─to begin an engagement with the lesser foe─would cast doubt upon one's martial prowess.
'Twould seem they learned to respect each other's reasoning, yet ultimately fought their battles as their peoples preferred. The Ul'dahn soldier returned to his former tactic, targeting the weakest undead for his initial assaults. An interesting point of culture, mayhap, but a helpful one? That remains to be seen.","誇り高き戦士の流儀<tab>　今後の探索に役立つかと思い、わらわは王宮の書庫でシラディハに関する記録を紐解いてみることにした。だが、王宮で保管されている記録ゆえ、すでに承知している情報が出てくるばかり。しいて目についたものといえば、ゾンビー掃討の折、アマルジャ族と共闘したウルダハの兵が記した報告書ぐらいか。そこには、アマルジャの勇士とウルダハの兵とでは、戦い方に相違があり、連携をとることに難儀している旨が書かれておった。
　当時、シラディハ水道にあふれていたゾンビーは数が多く、強さにはばらつきがあったという。件の兵は、手ごろな個体から相手取り、まずは総数を減らすことに尽力すべきだと考えておったが、アマルジャ族は見るからに強力そうな個体へと戦いを挑んでいたそうじゃ。そこで、なにゆえそのような戦い方をするのか、アマルジャ族に尋ねてみたらしい。曰く、強い敵から相手取ることが己の力を示す最上の戦法だと考えており、弱い敵から倒すのは自信のなさの表れとみなすのだと。
　結局、彼らは互いの思想を尊重しつつ、各々の好む戦法を採ったという。すなわち、ウルダハの兵は弱い個体から狙ったということだ。果たしてこの情報が役立つ場面があるかはわからぬが、記憶にとどめておくことにしよう。","","False","0x00000002","",""
"","A Spot in the Sunlight<tab>He, a member of the royal family. She, the daughter of a modest merchant house. They met at a palace banquet─an opportunity to mix with the notables of commerce─and it was love at first sight. Ah, I adore that story─'tis so very romantic. Mother would go on to tell me of the secluded place her and Father would visit ere they were bound in marriage; of a sun-dappled garden at the end of a secret tunnel, where they could enjoy each other's company away from prying eyes and judgmental stares. In other words, a perfect description of the sanctuary we discovered on our recent foray.
When they did at last announce the details of their engagement, the location of this magical place where Father proposed to Mother became the subject of much rumor and debate. I am told that the city's merchants, being the same incorrigible creatures then as they are now, seized upon this furor to turn a tidy profit. They never did come close to the truth of it, but after visiting the spot myself, 'tis easy to see why it has remained undisturbed.
I imagine the two of them in their younger years, whiling away an idle morning amidst the dawn-kissed petals, their haven protected beneath a barrier of Thanalan's scorching sand, and I cannot help but smile. Never until now have I managed to think of them without a pang of sadness. Have I been captive to grief for so very long...?","陽だまりの中で<tab>　王族である父上と、小さな商家の生まれである母上が出会われたのは、商人たちとの交流を目的とした、王宮主催の晩餐会だったという。たちどころに恋に落ちてしまわれたというのだから、なんともロマンティックな話よ。そんなふたりが婚前に逢瀬を重ねた場所は、人目を気にせずにすむ「秘密の花園」であったと聞いたことがある。そこは、地下深くに埋没しながらも、陽の光が差し込む花園であったと……そう、まさに此度の探索で訪れた場所のことであろう。
　おふたりの婚約が発表された折、父上が母上にプロポーズをなさった場所はどこなのか、いろいろと噂が飛び交っていたそうだ。その騒ぎに乗じて、商売に利用する不届き者が後を絶たなかったとも伝わるが、ウルダハ商人の商魂たくましさは今も昔も変わらぬということだろう。真相は終ぞ明らかにならなかったそうだが、此度の場所を訪れてみて、どうりで見つからぬわけだと腑に落ちた。
　ザナラーンの乾いた砂に埋もれてなお、花々が芽吹く陽だまりの中で、若き日の父上と母上が仲睦まじくされている姿が目に浮かんでは、自然と笑みがこぼれる。おふたりのことを笑顔で思い起こせるようになるまで、ずいぶんと時間がかかってしまったものよ……。","","False","0x00000003","",""
"","A Key Memory<tab>On my fifth nameday, my parents gifted me with a key wrought in silver─but not the knowledge of what it opened. “When you are a woman grown, we will take you to the precious place this key protects,” Mother had explained. Father had nodded, saying it was “where slumbers the memories which neither we, nor Ul'dah, should ever forget.” I, a child of five, understood only that I was being forced to wait for my true present. Oh, how I had sulked and fumed back then! Yet now I cling to that fading recollection with desperate fingers, like a failed merchant to her dwindling coinpurse.
'Twas too soon after when Mother and Father were called away to Thal's eternal halls. Their sudden absence left me hollow and dazed; my ascension to the throne followed by torturous days of uncertainty steeped in sorrow. It seemed I stumbled across the desert, the sands burning one moment, freezing the next. All thoughts of keys and secret places were cast aside, forgotten.
Why had they entrusted such a portentous gift to a daughter so young? Had they foreseen the “accident” which would befall them? Or had some other factor influenced their actions? Their true intentions are lost to time. There is only one thing I can know for certain: that the key was left in my hands for good reason.","鍵と約束<tab>　銀細工の鍵は、5歳の誕生日に父上と母上からいただいたのだが、どこで使うのかは教えてくださらなかった。貴方が素敵なレディに成長したら、この鍵に守られている「思い出の場所」へ連れていってあげるとだけ、母上はおっしゃっていた。そして父上は、ウルダハにとっての「思い出」もまた、そこに眠っているのだと語られていたが、幼いわらわにとっては、「すぐに開けぬ贈り物」で焦らされているように感じられてな。当時はふてくされもしたが、今となっては、それもまた大切な思い出となっている。
　その後ほどなくして、父上と母上は、ザル神の御許へと旅立たれてしまった。前触れもなく両親と引き離されたわらわは、さまざまな思惑の渦中で王位を継承し、悲しみと不安に苛まれる日々を過ごすことになる。ときに熱く、ときに冷たい砂に足を取られながら歩み続けるうち、わらわは約束のことも、鍵のことも、そして思い出の場所のことも、すっかりと忘れてしまったのじゃ。
　5歳になったばかりの未熟な娘に、なぜこの鍵を贈られたのか。まもなくして訪れる「事故」を予感されていたのか、それとも……。おふたりの想いは、もはや知る術もないが、今この手に鍵が遺されていることに、きっと意味があるのだろう。","","False","0x00000004","",""
"","In Father's Stead<tab>The Amalj'aa constructed Zahar'ak when they came to join Ul'dah in purging the undead infestation from the subterrane. And if Zahar'ak was their main war camp, then the old fortifications we passed through would have served as a forward base. The question, then, is why did my parents gift me the means to visit these rusted defenses? In my late father's possessions was a diary which made reference to “irrefutable evidence of the alliance”─mayhap there is more to the place we have yet to discover.
In life, Father was a staunch opponent of the edict to banish the so-called “beast tribes.” Arrayed against him were the Monetarists, who sought to preserve their special concessions and privileges by ousting their competitors. 'Twas with the backing of the Syndicate that they overruled the sultan's will, and forced their proposal into law. Unwilling to concede defeat, Father intended to take the battle to the court of public consensus. His weapons would not be easily forged documents or records, but physical proof of the Amalj'aa contribution to Ul'dah's continued prosperity. Then the “accident” happened, ending his plans to appeal for harmony ere they could truly begin.
Which brings us back to this mention of evidence. I know not what form it might take, or indeed, if it yet even exists, but should a thorough search of that forgotten base provide us with clues... We are on the cusp of brokering a lasting peace with the Amalj'aa─if I can but discover this elusive proof, then the aspirations Father had for our nation may finally become a reality.","父上の悲願<tab>　シラディハ水道でのゾンビー掃討の折、共闘に応じたアマルジャ族によってザハラク戦陣が設営された。あれが本営ならば、此度の探索で発見した拠点跡は前哨基地といったところか。父上と母上からいただいた鍵で秘匿されていたとなると、父上の遺された日記にあった「アマルジャとの共闘の証」と、何か関係がありそうだ。
　生前、父上は「獣人排斥令」の公布に反対されていたという。一方で獣人排斥によって利権を確保しようとしていた共和派は、砂蠍衆による後押しを利用することで、王の意に反して新法の公布を強行。これに対して父は、世論を動かして抗おうとしたらしい。容易に捏造できる文献や記録ではなく、物的な「アマルジャとの共闘の証」を示すことで、人々に融和を訴えかけようとされたのだ。だが、その計画は、父上の「事故死」によって、実現することなく終わってしまった。
　その「証」が何であるのか、今もどこかに存在しているのか、わらわにもわからぬ。しかし、あの拠点跡にもしも手掛かりがあるとしたら……。親孝行のひとつもして差し上げられなかったが、アマルジャ族との融和の機運が熟した今、父上に代わって、悲願を果たすことはできぬだろうか。かの地で「証」の行方が、わかればよいのだが。","","False","0x00000005","",""
"","Ul'dah's Sin to Bear<tab>When that Amalj'aa champion burst forth from his casket, the blood nigh froze within my veins. He must have suffered injury during the purge, the zombie corruption finding its way into his flesh...
The Traders' Spurn was concocted by Ul'dahn thaumaturges, and employed by the reigning sultan during our war with Sil'dih. Sasagan III even knowingly propagated the fiction that it was the <var 1A 02 /var>Sil'dihns<var 1A 01 /var> who devised this abhorrent alchemy in an effort to turn their own citizens into undying soldiers. An accusation from the House of Thorne saw Sasagan III later punished for his heinous acts, and thus ended the first Ul Dynasty. His lies, however, would live on to become accepted history.
This deceit was upheld by a desire to preserve not only the Ul Dynasty's authority, but also the standing of the Order of Nald'thal─an institution deeply entwined with thaumaturgical practices. And it can be said that few Ul'dahns would wish to accept that their home was built upon the corpse of a city so brutally slain by their forebears. Yet without a clear view of the past, we cannot be sure of our course for the future. The sight of that rotting Amalj'aa hero was all too stark a reminder: as a sultana of the House of Ul, I bear responsibility for my ancestor's atrocities. And though we suffer for the truth, even as Ishgard did for hers, the time has come to set the records aright.","ウルダハが負うべき罪<tab>　棺に納められていたアマルジャの勇士が、ゾンビーと化しておるとは。おそらく、ゾンビーとの戦いで受けた傷により、肉体を蝕まれたのであろう。
　人を死霊と化す禁忌の秘薬「ゾンビパウダー」。かつてウルダハは、自国の呪術士が作り上げたこの非道な秘薬を、シラディハとの戦争に利用した。しかも、時の王ササガンIII世は、シラディハ側が自国民を不死の兵とするために開発したものだと虚偽を流布した上で使ったのだ。その罪を巡って、のちにササガンIII世はソーン家から告発を受け、第一期ウル朝は終焉を迎えるわけだが……その嘘偽りは、今もなお通説となり根付いている。
　ウル朝の権威を保ちたい王族の意図、呪術士と強く結びついたナル・ザル教団の思惑、様々な想いが歴史を嘘で塗り固めてきた。自らが棲まう都が、非道な行いによって破壊された都の上に築かれたものであるという事実は、多くのウルダハの民にとっても認めがたいのであろう。しかし、過去をふりかえらねば、正しく明日へと歩むことなどできまい。あのアマルジャ族の姿を思い出しては、ウルの名を継いだ女王として責任を感じずにはいられぬ。イシュガルドのように、たとえ苦しむことになっても、歴史を書き戻す時が来ているのではないだろうか。","","False","0x00000006","",""
"","To Learn More of Myrrh<tab>I wished to consult with the Amalj'aa over a certain facet of our expedition, yet I could hardly bring up the subject during one of our regular councils. Should it become known that the royal person had been slipping out of the palace to conduct secret investigations, then my trusted escort would be caught up in an unpleasant storm of repercussions. Nay, I must be discreet.
As such, I approached the Amalj'aa war chief at meeting's end, and engaged him with the usual empty pleasantries─eventually steering the conversation to tribal custom. I explained that the coffin of a zombie-cursed warrior had been discovered within Ul'dahn territory, and wondered at the traditional rites one might perform to send his kin's unfortunate soul on to the afterlife.
Somewhat taken aback, the war chief advised that it was of paramount importance to avoid disturbing the warrior's undead slumber. “Leave the coffin untouched,” he warned. “Stand facing the valorous spirit, and perform a single bow. Offer your respects for a life well lived, celebrate the warrior's greatest victory, and then kneel in a moment of reflection.”
Thus did the Amalj'aa mourn comrades fallen on the field of battle, burning myrrh incense at the culmination of the ritual to guide their sanctified souls unto the everlasting flame.
In receiving his answer, I was suddenly struck by a cavalcade of questions I had never thought to ask. I felt ashamed at my ignorance, and am now resolved to learn more of this proud people's culture.","祈りとミルラ<tab>　シラディハ水道での一件に関して、アマルジャ族に尋ねたいことがあったのだが、彼らとの定例会議の折に、議題として提示するわけにはいかなかった。わらわがこっそりと王宮を抜け出して調査を行っていたことが露見すれば、協力してくれたあの者にも迷惑がかかってしまう。
　それゆえ、会議を終えたあとのひととき、出席していた酋長と他愛ない「雑談」を交えることにした。ウルダハ領内において発見された棺から、ゾンビーと化したアマルジャの勇士が現れたことを説明し、その者をどう弔うのが正しいのか、アマルジャ族の流儀を知りたいのだと、教えを乞うたのだ。すると酋長は、何であれ、勇士の眠りを妨げぬことが重要であると語ってくれた。蓋を開けて、中を確かめるようなことはせず、まずは棺へ向かって祈ることが肝要であると。「猛き御霊に一礼し、黙祷を捧げて、その武勲によってもたらされた勝利を喜び、敬意をもって膝をつくべし」……これが、戦場で散った同胞に捧ぐ、弔いの手順だという。そして、最後にミルラの香を焚いてやれば、御霊は浄化されるそうだ。
　こうして話を聞くたび、アマルジャ族について知るべきことはいまだ多いと痛感させられる。彼らの文化や慣習に触れて、理解を深めていかなければな。","","False","0x00000007","",""
"","Ul'dah and Sil'dih<tab>When Belah'dia splintered into Ul'dah and Sil'dih, the division only deepened with time. The history books tell the tale of escalating hostilities; of how the advent of the Traders' Spurn devastated the Sil'dihns, and brought the conflict to a horrific end. Ul'dah would later migrate to the site of the fallen metropolis, where even now the ruins of the past dot the landscape, or lie hidden from view deep underground. Such remnants proved useful when routing the municipal waterways, and so did they refer to this section of the subterrane as the “Sil'dihn aqueducts.” Given that the war turned savage over water sources, it seems to me a designation of particularly ghoulish sensibilities.
Distasteful naming aside, it should have come as no surprise that these old tunnels fed into other vestiges of Sil'dih. And yet I was wholly unprepared to set foot in the royal palace itself! Had the structure been exposed above ground, the wind-driven sand coupled with the heat of the Thanalan sun would have led to extensive erosion. But cocooned beneath the earth as it was, its chambers have been perfectly preserved.
How rare it must be to encounter ruins in such an unspoiled state. It will provide our historians with a wealth of material to study...assuming they can navigate the intervening passages. We must clear the way, first and foremost, and secure a safe path through.","ウルダハとシラディハ<tab>　ベラフディアから分裂し、対立を深めていったウルダハとシラディハ。その結末は歴史に語られる通り、ゾンビパウダーによるシラディハの滅亡によって幕を閉じた。のちに、ウルダハはシラディハの都があった場所へと遷都したゆえ、現在の都周辺や地下深くには、かの国の遺構が残されておる。上下水道を整備した折にも遺構を利用したため「シラディハ水道」と名付けられたそうだが……両国の対立が水源を巡る争いで激化したことを思えば、なんとも皮肉めいたものを感じずにはいられぬ。
　遺構を利用した水道ともなれば、別の遺構へ繋がっていたとて不思議ではないが、まさかシラディハの王宮らしき場所へと続いていようとはな。地上に露出していたなら、ザナラーンの熱い日差しと砂含みの風に晒されて、風化が進んでいたことだろう。しかし、地下深くに埋没していたおかげで、まるで時が止まったかのように保存されていた。
　あれほどまで状態のよい遺構は、そう簡単には見つからないだろう。それゆえ、史学者たちにとっては、重要な調査対象となるはずだ。ただ、あの入り組んだ水道に惑わされては、あの遺構へとたどり着くのは難しかろう。まずは道のりを整えてやらねばな。","","False","0x00000008","",""
"","Raising the Flags<tab>When we came across the banner of Sil'dih, so alike to our Ul'dahn flag, I was reminded that the first sultans of those warring nations were twin brothers. Yet the reason behind the design's similarity has naught to do with sibling imitation. In Belah'dia's time, 'twas the Flame of Magic and the Fruit of Knowledge which sat the scales of judgment. Ul'dah took the Flame as its own, balancing the scales with the Gem of Affluence, whilst Sil'dih claimed the Fruit, and set it against the Helm of Might. Each thought himself the rightful heir, and thus did both raise flags depicting the bounties of Belah'dia.
Both included a symbol of strength, but the difference lay in its interpretation: Ul'dah believed in the potency of its magicks; Sil'dih, in its military might. The gladiators who train in our Coliseum are mayhap the closest embodiment of Sil'dihn philosophy. 
In fact, reflecting on the encounter now, the fierce gladiator construct lurking in the palace depths could not have been a more apt incarnation of their beliefs: from the exquisite embossment of grapes upon its formidable helm, to the way its gleaming form─the same silvery hue as Sil'dih's scales─illuminated the subterranean gloom. Through all these years did it stand patient guard, faithfully serving a master centuries dead, and a nation long since fallen into ruin. 'Tis enough to turn one's mood melancholy.","国旗に掲げるもの<tab>　シラディハの国旗を目にしたとき、ウルダハとシラディハの初代国王が双子であったことが改めて思い起こさせられた。しかし、両国の国旗が似通っているのは、なにもそれが理由というわけではない。ベラフディアの時代、審理の天秤には聖火と葡萄が並んでおった。のちに、ウルダハは力を象徴する聖火を、シラディハは知恵を象徴する葡萄を受け継ぎ、富を示す宝石と力を示す大兜によって、それぞれ天秤の均衡を図ったという。そうして、両国がベラフディアと類似した国旗を掲げたのは、自国こそが正当な後継者であると主張するためでもあったのだ。
　双方とも「力」を国旗に掲げてはいるが、ウルダハの力は「魔法」であり、シラディハの力は「武術」と、その性質は大きく異なっておる。我が国のコロセウムに集う剣闘士たちの在りようは、かの国の掲げる「力」に近しいものやもしれぬな。
　今にして思えば、最後に待ち構えていた無骨なガーディアンは、かの国らしい様相であった。頭部を守る大兜に施されていたのは、繊細な葡萄の装飾。そして、シラディハの天秤と同じ白銀色の体は、薄暗い地底にあってなお、眩く輝いておった。だが、とうにシラディハは滅びておるというのに、仕える主を失ってなお王宮を守り続けていたとは、物悲しいものよのう。","","False","0x00000009","",""
