"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","<tab>","<tab>","","True","0x00020000","",""
"","<tab>","<tab>","","True","0x00020001","",""
"","<tab>Proceed to the Seat of the First Bow?","<tab>Proceed to the Seat of the First Bow?","","True","0x00020002","",""
"","<tab>Leave the Seat of the First Bow?","<tab>Выйти из Seat of the First Bow?","","False","0x00020003","",""
"","<tab>Leave the Lotus Stand?","<tab>Покинуть Lotus Stand?","","False","0x00020004","",""
"","Purchase Passage to Sweetbloom Pier<tab>Board the ferry to Sweetbloom Pier?","Купить билет в Sweetbloom Pier<tab>Сесть в лодку, направляющуюся
в Sweetbloom Pier?","","False","0x00020005","",""
"","<tab>Board the ferry to Old Gridania?","<tab>Сесть в лодку, направляющуюся в Old Gridania?","","False","0x00020006","",""
"","<tab>","<tab>","","True","0x00020007","",""
"","<tab>","<tab>","","True","0x00020008","",""
"","<tab>","<tab>","","True","0x00020009","",""
"","<tab>Exit room?","<tab>Exit room?","","True","0x0002000A","",""
"","<tab>Exit room?","<tab>Exit room?","","True","0x0002000B","",""
"","<tab>Exit room?","<tab>Exit room?","","True","0x0002000C","",""
"","<tab>Leave the Heart of the Sworn?","<tab>Leave the Heart of the Sworn?","","True","0x0002000D","",""
"","<tab>Take the ferry to Crescent Cove for 40 gil?","<tab>Take the ferry to Crescent Cove for 40 gil?","","True","0x0002000E","",""
"","<tab>Take the ferry to the Silver Bazaar for 40 gil?","<tab>Take the ferry to the Silver Bazaar for 40 gil?","","True","0x0002000F","",""
"","<tab>Enter the Waking Sands?","<tab>Enter the Waking Sands?","","True","0x00020010","",""
"","<tab>Leave the Waking Sands?","<tab>Leave the Waking Sands?","","True","0x00020011","",""
"","<tab>Enter the solar?","<tab>Enter the solar?","","True","0x00020012","",""
"","<tab>Leave the solar?","<tab>Leave the solar?","","True","0x00020013","",""
"","Ride Lift to the Airship Landing<tab>Proceed to the airship landing?","Ride Lift to the Airship Landing<tab>Proceed to the airship landing?","","True","0x00020014","",""
"","Ride Lift to the Drowning Wench<tab>Proceed to the Drowning Wench?","Поехать в Drowning Wench<tab>Перейти в Drowning Wench?","","False","0x00020015","",""
"","Ride Lift to Bulwark Hall<tab>Proceed to Bulwark Hall?","Поехать в Bulwark Hall<tab>Перейти в Bulwark Hall?","","False","0x00020016","",""
"","Ride Lift to the Airship Landing<tab>Proceed to the airship landing?","Ride Lift to the Airship Landing<tab>Proceed to the airship landing?","","True","0x00020017","",""
"","Ride Lift to the Hustings Strip<tab>Proceed to the Hustings Strip?","Ride Lift to the Hustings Strip<tab>Proceed to the Hustings Strip?","","True","0x00020018","",""
