"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_000<tab>Welcome back, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! Ready for a nap?","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_000<tab><var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>、おかえりぃ～！<br>どう？　このまま「ナップルーム」で休む？","","True","0x00000000","",""
"","TEXT_WARPINNOLDSHARLAYAN_Q1_000_100<tab>What would you like to do?","TEXT_WARPINNOLDSHARLAYAN_Q1_000_100<tab>何を聞く？","","True","0x00000001","",""
"","TEXT_WARPINNOLDSHARLAYAN_A1_000_101<tab>Retire to your room.","TEXT_WARPINNOLDSHARLAYAN_A1_000_101<tab>居室に移動する","","True","0x00000002","",""
"","TEXT_WARPINNOLDSHARLAYAN_A1_000_102<tab>Ask about the Andron.","TEXT_WARPINNOLDSHARLAYAN_A1_000_102<tab>ナップルームとは？","","True","0x00000003","",""
"","TEXT_WARPINNOLDSHARLAYAN_A1_000_103<tab>Nothing.","TEXT_WARPINNOLDSHARLAYAN_A1_000_103<tab>キャンセル","","True","0x00000004","",""
"","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_150<tab>Clean sheets and warm blankets await. Rest as long as you like!","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_150<tab>了解～、ゆっくり休みな～！<br>シーツもカバーもさらさらに整えてあるから、<br>好きなだけ頬ずりするといいよぉ～。","","True","0x00000005","",""
"","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_200<tab>As G'raha explained, the Andron's rooms were furnished for folks needing a break from all-night research or recently returned from expeditions.","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_200<tab>ナップルームは「仮眠部屋」って意味なんだよねぇ～。<br>もともとは、研究なんかで徹夜続きだった人とか、<br>調査から戻った人のための休憩用でさ～。","","True","0x00000006","",""
"","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_201<tab>The Students are used to seeing those walls plastered with articles and diagrams and personal messages, but I imagine it's quite a surprise for our newer guests...","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_201<tab>だから、初めて中に入った人は少し驚くかもねぇ～。<br>壁の至るところに、前の滞在者のメモや研究記事、<br>それから、ほかの利用者への伝言なんかも貼ってあるんだ～。","","True","0x00000007","",""
"","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_202<tab>Why not take them down, you ask? Well, it's often the same people who stay in these chambers, after all.","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_202<tab>なんで剥がさないかってぇ～？<br>まあ、ここを使う人は毎度お馴染みの顔ぶれが多いからねぇ～。","","True","0x00000008","",""
"","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_203<tab>And besides, when I see old notes written by friends who've since passed, it's... Well, it's comforting, in a way─as if they're still here with us.","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_203<tab>……それにほら、もう会えない人たちのメモを見ると、<br>ついさっきまでここにいたような感覚がしちゃってさ～。<br>また戻ってくるような気がするんだよねぇ～。","","True","0x00000009","",""
"","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_204<tab>Oh, and just to be clear: these are properly appointed bedrooms. Any mention of “naps” is not meant to dissuade you from getting a full night's sleep!","TEXT_WARPINNOLDSHARLAYAN_OJIKATSUNJIKA_000_204<tab>あ、そうそう……仮眠部屋なんて呼ばれてるけど、<br>さらさらで清潔なベッドは保証するからねぇ～。<br>そこは俺が管理人として、がんばってるところなの。","","True","0x0000000A","",""
